指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1129,1129
期末净值,final_nav,1.0957368779335797,1.0384111152606754
累计收益率,total_return,0.09573687793357966,0.03841111526067542
年化收益率,annual_return,0.020635221670535442,0.008456054207140795
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.006635221670535442,-0.005543945792859205
年化波动率,annual_volatility,0.009766465097846393,0.010395834056527848
夏普比率,sharpe,0.6793882539956629,-0.5332853297497567
最大回撤,max_drawdown,-0.007413030758258721,-0.011153880497478452
最大回撤起点,max_drawdown_start,2024-04-25,2022-11-24
最大回撤终点,max_drawdown_end,2024-04-29,2023-11-27
Calmar比率,calmar,2.7836417173294636,0.7581266635457004
日胜率_参考,win_rate,0.13020372010628875,0.1054030115146147
调仓周期数,signal_period_count,228,228
盈利调仓周期数,winning_signal_periods,37,31
调仓周期胜率,signal_period_win_rate,0.16228070175438597,0.13596491228070176
单周期平均收益,avg_signal_period_return,0.0004022776161678532,0.00016646689792641558
累计资本利得_BP,capital_gain_total_bp,80.740000000003,20.0800000000009
年化资本利得_BP,capital_gain_annualized_bp,18.03765957446875,4.485957446808712
资本利得交易笔数,capital_gain_trade_count,31,31
已平仓交易笔数,capital_gain_closed_trade_count,31,31
资本利得盈利笔数,capital_gain_winning_trades,23,18
资本利得亏损笔数,capital_gain_losing_trades,8,13
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.7419354838709677,0.5806451612903226
平均单笔资本利得_BP,capital_gain_avg_trade_bp,2.6045161290323553,0.6477419354839
资本利得中位数_BP,capital_gain_median_trade_bp,2.950000000000002,0.4499999999989923
平均每笔盈利_BP,capital_gain_avg_win_bp,4.296086956521956,3.4255555555555484
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.258750000000247,-3.1984615384614594
资本利得盈亏比,capital_gain_profit_loss_ratio,1.901975409638732,1.071001015445484
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000017,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-7.339999999999986,-7.440000000000987
平均每笔持有交易日,capital_gain_avg_holding_days,7.0,7.0
最长单笔持有交易日,capital_gain_max_holding_days,19,19
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-10.500000000000952,-16.629999999999043
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-11-12,2022-11-24
资本利得最大回撤终点,capital_gain_max_drawdown_end,2026-05-06,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,4,3
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
