指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,1124,1124
期末净值,final_nav,1.2082811201974446,1.150087041840341
累计收益率,total_return,0.2082811201974446,0.15008704184034105
年化收益率,annual_return,0.0433701531480124,0.031876938503208496
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.029370153148012404,0.017876938503208498
年化波动率,annual_volatility,0.015324147897885772,0.016515034248512802
夏普比率,sharpe,1.9165929057670161,1.082464512891842
最大回撤,max_drawdown,-0.011431558357732574,-0.011723058656954555
最大回撤起点,max_drawdown_start,2022-01-26,2022-01-24
最大回撤终点,max_drawdown_end,2022-04-13,2022-02-21
Calmar比率,calmar,3.7938968416039107,2.719165657701278
日胜率_参考,win_rate,0.3291814946619217,0.30604982206405695
调仓周期数,signal_period_count,227,227
盈利调仓周期数,winning_signal_periods,88,79
调仓周期胜率,signal_period_win_rate,0.3876651982378855,0.34801762114537443
单周期平均收益,avg_signal_period_return,0.0008366014457902579,0.0006193001784664434
累计资本利得_BP,capital_gain_total_bp,153.690000000002,101.43999999999997
年化资本利得_BP,capital_gain_annualized_bp,34.487871772039625,22.763027604630448
资本利得交易笔数,capital_gain_trade_count,46,46
已平仓交易笔数,capital_gain_closed_trade_count,45,45
资本利得盈利笔数,capital_gain_winning_trades,33,31
资本利得亏损笔数,capital_gain_losing_trades,12,14
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.7333333333333333,0.6888888888888889
平均单笔资本利得_BP,capital_gain_avg_trade_bp,3.2931111111111546,2.120888888888888
资本利得中位数_BP,capital_gain_median_trade_bp,2.459999999998992,1.13000000000002
平均每笔盈利_BP,capital_gain_avg_win_bp,5.510000000000031,4.554516129032354
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.8033333333332515,-3.2678571428573586
资本利得盈亏比,capital_gain_profit_loss_ratio,1.9655172413793787,1.393731711616366
最佳交易_BP,capital_gain_best_trade_bp,34.250000000000014,32.96
最差交易_BP,capital_gain_worst_trade_bp,-7.539999999999005,-9.010000000000996
平均每笔持有交易日,capital_gain_avg_holding_days,12.58695652173913,12.58695652173913
最长单笔持有交易日,capital_gain_max_holding_days,41,41
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-16.350000000000012,-15.620000000000005
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-01-24,2023-08-21
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-04-13,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,3,2
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,5.500000000000018,5.999999999999997
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
