交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-19,2022-01-20,2022-01-20,多头,1.0,1.0,2,6.050000000000014,1.439999999999983,4.610000000000031,是,是,已平仓
2,2022-01-24,2022-01-24,2022-01-24,多头,1.0,1.0,1,3.93000000000001,3.489999999999986,0.4400000000000239,是,是,已平仓
3,2022-01-28,2022-01-28,2022-01-28,多头,1.0,1.0,1,1.0400000000010057,3.269999999999003,-2.2299999999979976,是,是,已平仓
4,2022-02-09,2022-02-15,2022-02-15,多头,1.0,1.0,5,-5.719999999999995,-7.409999999999986,1.6899999999999906,否,是,已平仓
5,2022-02-21,2022-02-21,2022-02-21,多头,1.0,1.0,1,-1.7400000000000055,-3.249999999999989,1.5099999999999834,否,是,已平仓
6,2022-03-01,2022-03-03,2022-03-03,多头,1.0,1.0,3,-0.47999999999999443,-5.499999999999984,5.01999999999999,否,是,已平仓
7,2022-03-15,2022-03-15,2022-03-15,多头,1.0,1.0,1,-0.960000000000058,-4.999999999998998,4.03999999999894,否,是,已平仓
8,2022-03-21,2022-03-23,2022-03-23,多头,1.0,1.0,3,0.05999999999901928,-3.7500000000000036,3.8099999999990226,是,是,已平仓
9,2022-04-06,2022-04-08,2022-04-08,多头,1.0,1.0,3,1.6400000000000097,2.1400000000009953,-0.5000000000009857,是,是,已平仓
10,2022-04-14,2022-04-14,2022-04-14,多头,1.0,1.0,1,2.6300000000000283,-0.2500000000000071,2.8800000000000354,是,是,已平仓
11,2022-04-18,2022-04-18,2022-04-18,多头,1.0,1.0,1,0.1100000000000059,-5.290000000000017,5.400000000000023,是,是,已平仓
12,2022-04-26,2022-04-28,2022-04-28,多头,1.0,1.0,3,2.7200000000009856,-3.2599999999999993,5.9800000000009845,是,是,已平仓
13,2022-05-05,2022-05-05,2022-05-05,多头,1.0,1.0,1,2.849999999999971,1.0400000000010057,1.809999999998965,是,是,已平仓
14,2022-05-09,2022-05-09,2022-05-09,多头,1.0,1.0,1,0.5300000000000096,1.1900000000000106,-0.660000000000001,是,是,已平仓
15,2022-05-11,2022-05-11,2022-05-11,多头,1.0,1.0,1,0.7499999999990153,-1.509999999999012,2.259999999998027,是,是,已平仓
16,2022-05-13,2022-05-17,2022-05-17,多头,1.0,1.0,3,5.630000000001017,-1.230000000000016,6.860000000001033,是,是,已平仓
17,2022-05-25,2022-05-26,2022-05-26,多头,1.0,1.0,2,1.9400000000010036,5.500000000000019,-3.559999999999015,是,是,已平仓
18,2022-06-22,2022-06-22,2022-06-22,多头,1.0,1.0,1,0.1999999999999918,0.800000000000002,-0.6000000000000103,是,是,已平仓
19,2022-06-28,2022-06-28,2022-06-28,多头,1.0,1.0,1,-1.380000000000027,-0.8499999999999828,-0.5300000000000442,否,是,已平仓
20,2022-06-30,2022-06-30,2022-06-30,多头,1.0,1.0,1,1.6899999999999902,0.889999999999988,0.8000000000000022,是,是,已平仓
21,2022-07-04,2022-07-04,2022-07-04,多头,1.0,1.0,1,0.3500000000000031,-1.9000000000000263,2.2500000000000293,是,是,已平仓
22,2022-07-06,2022-07-12,2022-07-12,多头,1.0,1.0,5,0.8000000000000027,2.160000000000009,-1.3600000000000063,是,是,已平仓
23,2022-07-14,2022-07-14,2022-07-14,多头,1.0,1.0,1,-0.3799999999999984,1.600000000000004,-1.9800000000000024,否,是,已平仓
24,2022-07-18,2022-07-18,2022-07-18,多头,1.0,1.0,1,1.5000000000010143,0.1999999999999918,1.3000000000010226,是,是,已平仓
25,2022-07-20,2022-07-20,2022-07-20,多头,1.0,1.0,1,1.910000000000002,1.4899999999999982,0.4200000000000037,是,是,已平仓
26,2022-07-26,2022-07-27,2022-07-27,多头,1.0,1.0,2,1.460000000000003,0.8900000000009942,0.5699999999990089,是,是,已平仓
27,2022-07-29,2022-07-29,2022-07-29,多头,1.0,1.0,1,0.7799999999990106,2.900000000000992,-2.1200000000019816,是,是,已平仓
28,2022-08-08,2022-08-10,2022-08-10,多头,1.0,1.0,3,-0.37000000000002314,-0.2700000000000272,-0.09999999999999593,否,是,已平仓
29,2022-08-17,2022-08-23,2022-08-23,多头,1.0,1.0,5,3.020000000000002,2.709999999998997,0.3100000000010046,是,是,已平仓
30,2022-09-01,2022-09-01,2022-09-01,多头,1.0,1.0,1,0.899999999999998,0.999999999999994,-0.09999999999999598,是,是,已平仓
31,2022-09-05,2022-09-05,2022-09-05,多头,1.0,1.0,1,0.0499999999990091,0.460000000000009,-0.4100000000009999,是,是,已平仓
32,2022-09-07,2022-09-07,2022-09-07,多头,1.0,1.0,1,-0.470000000000019,-0.7499999999999868,0.2799999999999678,否,是,已平仓
33,2022-09-09,2022-09-13,2022-09-13,多头,1.0,1.0,2,0.18000000000000682,-1.7100000000009816,1.8900000000009884,是,是,已平仓
34,2022-09-16,2022-09-16,2022-09-16,多头,1.0,1.0,1,-0.6900000000000308,-1.0500000000000091,0.35999999999997834,否,是,已平仓
35,2022-09-21,2022-09-26,2022-09-26,多头,1.0,1.0,4,-3.4299999999990236,-5.139999999999,1.709999999999976,否,是,已平仓
36,2022-09-28,2022-09-28,2022-09-28,多头,1.0,1.0,1,-0.2299999999990157,-3.499999999999996,3.27000000000098,否,是,已平仓
37,2022-09-30,2022-09-30,2022-09-30,多头,1.0,1.0,1,-0.2500000000000071,-0.999999999999994,0.7499999999999869,否,是,已平仓
38,2022-10-11,2022-10-11,2022-10-11,多头,1.0,1.0,1,-0.3600000000009845,-0.2399999999999971,-0.12000000000098737,否,是,已平仓
39,2022-10-17,2022-10-20,2022-10-20,多头,1.0,1.0,4,1.8599999999989807,-1.9799999999989963,3.839999999997977,是,是,已平仓
40,2022-10-28,2022-10-28,2022-10-28,多头,1.0,1.0,1,1.250000000000001,3.0000000000010227,-1.7500000000010216,是,是,已平仓
41,2022-11-01,2022-11-03,2022-11-03,多头,1.0,1.0,3,-1.1899999999990043,-3.430000000001002,2.2400000000019977,否,是,已平仓
42,2022-11-07,2022-11-09,2022-11-09,多头,1.0,1.0,3,-0.49999999999997974,0.6999999999999713,-1.199999999999951,否,是,已平仓
43,2022-11-21,2022-11-25,2022-11-25,多头,1.0,1.0,5,2.360000000001007,-0.49999999999997957,2.8600000000009866,是,是,已平仓
44,2022-11-30,2022-11-30,2022-11-30,多头,1.0,1.0,1,1.329999999999977,-0.4999999999990082,1.829999999998985,是,是,已平仓
45,2022-12-06,2022-12-06,2022-12-06,多头,1.0,1.0,1,-2.3899999999989903,-2.500000000000002,0.11000000000101195,否,是,已平仓
46,2022-12-14,2022-12-20,2022-12-20,多头,1.0,1.0,5,-0.28000000000000275,2.1999999999999797,-2.4799999999999827,否,是,已平仓
47,2022-12-22,2022-12-22,2022-12-22,多头,1.0,1.0,1,-1.0699999999999943,1.0300000000009957,-2.10000000000099,否,是,已平仓
48,2023-01-16,2023-01-17,2023-01-17,多头,1.0,1.0,2,-0.7299999999989953,-0.07000000000100681,-0.6599999999979885,否,是,已平仓
49,2023-01-19,2023-01-20,2023-01-20,多头,1.0,1.0,2,-0.6500000000000257,-1.0899999999999799,0.4399999999999542,否,是,已平仓
50,2023-02-06,2023-02-15,2023-02-15,多头,1.0,1.0,8,1.250000000000001,0.2500000000000071,0.999999999999994,是,是,已平仓
51,2023-02-21,2023-02-22,2023-02-22,多头,1.0,1.0,2,0.6399999999999808,-0.05000000000098678,0.6900000000009676,是,是,已平仓
52,2023-02-24,2023-02-27,2023-02-27,多头,1.0,1.0,2,0.7300000000000015,1.0299999999999891,-0.2999999999999876,是,是,已平仓
53,2023-03-02,2023-03-02,2023-03-02,多头,1.0,1.0,1,-0.1200000000000159,-1.3399999999990155,1.2199999999989997,否,是,已平仓
54,2023-03-07,2023-03-08,2023-03-08,多头,1.0,1.0,2,-0.1100000000009774,-0.019999999999985585,-0.09000000000099181,否,是,已平仓
55,2023-03-10,2023-03-13,2023-03-13,多头,1.0,1.0,2,-0.6299999999989994,0.4900000000000043,-1.1199999999990036,否,是,已平仓
56,2023-03-16,2023-03-20,2023-03-20,多头,1.0,1.0,3,1.580000000000019,1.4799999999999884,0.10000000000003051,是,是,已平仓
57,2023-03-23,2023-03-23,2023-03-23,多头,1.0,1.0,1,1.0800000000000043,-0.750000000000993,1.8300000000009973,是,是,已平仓
58,2023-04-04,2023-04-12,2023-04-12,多头,1.0,1.0,6,2.79999999999999,4.459999999999013,-1.6599999999990231,是,是,已平仓
59,2023-04-18,2023-04-18,2023-04-18,多头,1.0,1.0,1,0.7100000000000162,1.1299999999999852,-0.41999999999996906,是,是,已平仓
60,2023-04-20,2023-04-20,2023-04-20,多头,1.0,1.0,1,1.1999999999999855,0.01000000000001,1.1899999999999755,是,是,已平仓
61,2023-04-24,2023-04-24,2023-04-24,多头,1.0,1.0,1,1.2200000000009772,0.8199999999999874,0.4000000000009898,是,是,已平仓
62,2023-05-05,2023-05-05,2023-05-05,多头,1.0,1.0,1,0.4700000000009904,2.7499999999999747,-2.279999999998984,是,是,已平仓
63,2023-05-09,2023-05-10,2023-05-10,多头,1.0,1.0,2,3.8799999999999946,2.7399999999999993,1.1399999999999952,是,是,已平仓
64,2023-05-15,2023-05-15,2023-05-15,多头,1.0,1.0,1,0.8900000000009942,-1.3200000000000016,2.2100000000009956,是,是,已平仓
65,2023-05-17,2023-05-18,2023-05-18,多头,1.0,1.0,2,-0.5900000000000003,-0.5499999999999949,-0.040000000000005365,否,是,已平仓
66,2023-05-23,2023-05-23,2023-05-23,多头,1.0,1.0,1,1.2799999999999965,1.7000000000000002,-0.4200000000000037,是,是,已平仓
67,2023-06-05,2023-06-05,2023-06-05,多头,1.0,1.0,1,0.4799999999990229,0.2500000000000071,0.22999999999901577,是,是,已平仓
68,2023-06-07,2023-06-07,2023-06-07,多头,1.0,1.0,1,-0.1400000000000012,-0.01000000000001,-0.1299999999999912,否,是,已平仓
69,2023-06-09,2023-06-13,2023-06-13,多头,1.0,1.0,3,3.3200000000000243,5.949999999999983,-2.629999999999959,是,是,已平仓
70,2023-06-21,2023-06-21,2023-06-21,多头,1.0,1.0,1,0.8700000000000028,0.5000000000000143,0.36999999999998845,是,是,已平仓
71,2023-06-29,2023-06-30,2023-06-30,多头,1.0,1.0,2,1.0699999999999945,2.9999999999990106,-1.929999999999016,是,是,已平仓
72,2023-07-04,2023-07-05,2023-07-05,多头,1.0,1.0,2,-2.90999999999899,0.0,-2.90999999999899,否,是,已平仓
73,2023-07-07,2023-07-13,2023-07-13,多头,1.0,1.0,5,3.92,-0.2100000000000018,4.130000000000002,是,是,已平仓
74,2023-07-18,2023-07-18,2023-07-18,多头,1.0,1.0,1,0.9299999999999932,1.2999999999999816,-0.36999999999998845,是,是,已平仓
75,2023-07-24,2023-07-24,2023-07-24,多头,1.0,1.0,1,1.229999999999981,1.4499999999990214,-0.2199999999990403,是,是,已平仓
76,2023-08-03,2023-08-03,2023-08-03,多头,1.0,1.0,1,-0.9999999999990226,0.899999999999998,-1.8999999999990207,否,是,已平仓
77,2023-08-07,2023-08-09,2023-08-09,多头,1.0,1.0,3,1.750000000000015,0.0800000000000106,1.6700000000000046,是,是,已平仓
78,2023-08-14,2023-08-14,2023-08-14,多头,1.0,1.0,1,1.4300000000009792,1.6900000000000248,-0.25999999999904566,是,是,已平仓
79,2023-08-24,2023-08-24,2023-08-24,多头,1.0,1.0,1,1.6899999999999902,-0.0800000000000106,1.7700000000000007,是,是,已平仓
80,2023-08-28,2023-08-28,2023-08-28,多头,1.0,1.0,1,-0.1999999999999918,-1.349999999999997,1.1500000000000052,否,是,已平仓
81,2023-08-30,2023-08-30,2023-08-30,多头,1.0,1.0,1,0.889999999999988,0.9999999999989878,-0.10999999999899979,是,是,已平仓
82,2023-09-01,2023-09-01,2023-09-01,多头,1.0,1.0,1,-0.0999999999999959,-2.7499999999990035,2.6499999999990074,否,是,已平仓
83,2023-09-14,2023-09-20,2023-09-20,多头,1.0,1.0,5,-2.910000000001002,-5.000000000000004,2.0899999999990024,否,是,已平仓
84,2023-09-22,2023-09-22,2023-09-22,多头,1.0,1.0,1,-1.9900000000000129,-2.000000000000022,0.010000000000009335,否,是,已平仓
85,2023-09-26,2023-09-27,2023-09-27,多头,1.0,1.0,2,0.6300000000000056,0.9900000000009901,-0.36000000000098453,是,是,已平仓
86,2023-10-17,2023-10-18,2023-10-18,多头,1.0,1.0,2,-0.7200000000009975,-2.7500000000000093,2.0299999999990117,否,是,已平仓
87,2023-10-27,2023-10-27,2023-10-27,多头,1.0,1.0,1,1.9600000000000173,0.190000000000988,1.7699999999990292,是,是,已平仓
88,2023-11-06,2023-11-06,2023-11-06,多头,1.0,1.0,1,-1.889999999999982,0.5900000000000003,-2.479999999999982,否,是,已平仓
89,2023-11-08,2023-11-08,2023-11-08,多头,1.0,1.0,1,1.3999999999990065,1.6800000000009865,-0.28000000000198,是,是,已平仓
90,2023-11-10,2023-11-10,2023-11-10,多头,1.0,1.0,1,1.0399999999999991,0.5000000000000143,0.5399999999999848,是,是,已平仓
91,2023-11-14,2023-11-14,2023-11-14,多头,1.0,1.0,1,-0.2100000000000018,-1.1900000000000106,0.9800000000000089,否,是,已平仓
92,2023-11-16,2023-11-16,2023-11-16,多头,1.0,1.0,1,0.2699999999999924,0.7500000000000215,-0.4800000000000291,是,是,已平仓
93,2023-11-22,2023-11-23,2023-11-23,多头,1.0,1.0,2,-0.5300000000000096,-3.3899999999999904,2.859999999999981,否,是,已平仓
94,2023-12-04,2023-12-08,2023-12-08,多头,1.0,1.0,5,1.3699999999999828,-0.11000000000000593,1.4799999999999887,是,是,已平仓
95,2023-12-13,2023-12-13,2023-12-13,多头,1.0,1.0,1,1.600000000000004,1.4899999999999982,0.11000000000000587,是,是,已平仓
96,2023-12-21,2023-12-21,2023-12-21,多头,1.0,1.0,1,1.7300000000000302,3.2099999999999835,-1.4799999999999534,是,是,已平仓
97,2024-01-04,2024-01-04,2024-01-04,多头,1.0,1.0,1,1.8399999999989956,1.6300000000010058,0.2099999999979898,是,是,已平仓
98,2024-01-10,2024-01-11,2024-01-11,多头,1.0,1.0,2,0.14000000000000123,-1.3000000000000165,1.4400000000000177,是,是,已平仓
99,2024-01-19,2024-01-19,2024-01-19,多头,1.0,1.0,1,0.8500000000009889,0.6499999999999908,0.20000000000099805,是,是,已平仓
100,2024-01-29,2024-01-30,2024-01-30,多头,1.0,1.0,2,4.220000000000023,4.369999999999999,-0.14999999999997637,是,是,已平仓
101,2024-02-01,2024-02-05,2024-02-05,多头,1.0,1.0,3,3.4299999999999957,3.279999999999013,0.15000000000098268,是,是,已平仓
102,2024-02-07,2024-02-08,2024-02-08,多头,1.0,1.0,2,1.090000000000015,1.460000000001009,-0.370000000000994,是,是,已平仓
103,2024-02-21,2024-02-21,2024-02-21,多头,1.0,1.0,1,0.6399999999999808,0.1499999999999765,0.4900000000000043,是,是,已平仓
104,2024-02-23,2024-02-23,2024-02-23,多头,1.0,1.0,1,0.0700000000000006,0.2399999999999971,-0.1699999999999965,是,是,已平仓
105,2024-02-27,2024-02-29,2024-02-29,多头,1.0,1.0,3,3.0200000000000022,4.139999999999006,-1.1199999999990036,是,是,已平仓
106,2024-03-11,2024-03-12,2024-03-12,多头,1.0,1.0,2,-2.549999999999982,-6.509999999999987,3.9600000000000053,否,是,已平仓
107,2024-03-15,2024-03-15,2024-03-15,多头,1.0,1.0,1,1.2600000000000111,2.2499999999990234,-0.9899999999990123,是,是,已平仓
108,2024-03-20,2024-03-22,2024-03-22,多头,1.0,1.0,3,-1.2099999999989897,-2.500000000000002,1.2900000000010126,否,是,已平仓
109,2024-03-29,2024-04-01,2024-04-01,多头,1.0,1.0,2,-0.7799999999999822,-0.5599999999999701,-0.22000000000001207,否,是,已平仓
110,2024-04-03,2024-04-08,2024-04-08,多头,1.0,1.0,2,1.2100000000010018,1.0500000000000091,0.16000000000099268,是,是,已平仓
111,2024-04-10,2024-04-11,2024-04-11,多头,1.0,1.0,2,0.30999999999999783,-1.2600000000000111,1.570000000000009,是,是,已平仓
112,2024-04-16,2024-04-18,2024-04-18,多头,1.0,1.0,3,3.820000000000004,2.6100000000009795,1.2099999999990243,是,是,已平仓
113,2024-04-22,2024-04-22,2024-04-22,多头,1.0,1.0,1,2.580000000000984,1.0500000000000091,1.530000000000975,是,是,已平仓
114,2024-04-24,2024-04-24,2024-04-24,多头,1.0,1.0,1,-2.1900000000000044,-4.670000000000021,2.480000000000017,否,是,已平仓
115,2024-05-09,2024-05-10,2024-05-10,多头,1.0,1.0,2,-2.109999999999993,-1.669999999998999,-0.44000000000099426,否,是,已平仓
116,2024-05-20,2024-05-21,2024-05-21,多头,1.0,1.0,2,-1.3600000000010133,-0.6399999999999808,-0.7200000000010325,否,是,已平仓
117,2024-05-30,2024-05-31,2024-05-31,多头,1.0,1.0,2,-0.4700000000009904,-1.4999999999999736,1.0299999999989833,否,是,已平仓
118,2024-06-04,2024-06-05,2024-06-05,多头,1.0,1.0,2,1.970000000000999,0.449999999999999,1.5200000000009999,是,是,已平仓
119,2024-06-11,2024-06-11,2024-06-11,多头,1.0,1.0,1,1.810000000000006,0.4200000000000037,1.3900000000000023,是,是,已平仓
120,2024-06-14,2024-06-14,2024-06-14,多头,1.0,1.0,1,0.6800000000000208,1.1999999999999855,-0.5199999999999647,是,是,已平仓
121,2024-06-19,2024-06-20,2024-06-20,多头,1.0,1.0,2,0.6400000000009871,0.9199999999990119,-0.27999999999802483,是,是,已平仓
122,2024-06-27,2024-07-01,2024-07-01,多头,1.0,1.0,3,-2.550000000000018,-2.6099999999999732,0.0599999999999552,否,是,已平仓
123,2024-07-03,2024-07-03,2024-07-03,多头,1.0,1.0,1,2.149999999999999,-0.5699999999990089,2.7199999999990077,是,是,已平仓
124,2024-07-09,2024-07-11,2024-07-11,多头,1.0,1.0,3,2.229999999999004,2.5599999999999934,-0.3300000000009895,是,是,已平仓
125,2024-07-15,2024-07-15,2024-07-15,多头,1.0,1.0,1,0.0099999999999753,0.6300000000000056,-0.6200000000000303,是,是,已平仓
126,2024-07-17,2024-07-19,2024-07-19,多头,1.0,1.0,3,0.7799999999999823,-0.010000000000981446,0.7900000000009637,是,是,已平仓
127,2024-07-23,2024-07-24,2024-07-24,多头,1.0,1.0,2,2.270000000000015,0.7999999999999674,1.4700000000000477,是,是,已平仓
128,2024-08-01,2024-08-01,2024-08-01,多头,1.0,1.0,1,2.389999999999996,1.9699999999999929,0.42000000000000326,是,是,已平仓
129,2024-08-06,2024-08-09,2024-08-09,多头,1.0,1.0,4,-3.660000000000017,-6.099999999999994,2.4399999999999773,否,是,已平仓
130,2024-08-19,2024-08-20,2024-08-20,多头,1.0,1.0,2,0.6100000000009924,2.680000000001015,-2.0700000000000225,是,是,已平仓
131,2024-08-30,2024-09-05,2024-09-05,多头,1.0,1.0,5,2.1400000000009953,3.6500000000000075,-1.5099999999990121,是,是,已平仓
132,2024-09-10,2024-09-10,2024-09-10,多头,1.0,1.0,1,1.8600000000009929,1.2400000000000255,0.6200000000009673,是,是,已平仓
133,2024-09-12,2024-09-20,2024-09-20,多头,1.0,1.0,5,3.2700000000000085,6.130000000000996,-2.860000000000988,是,是,已平仓
134,2024-10-14,2024-10-14,2024-10-14,多头,1.0,1.0,1,2.160000000000009,0.2399999999999971,1.920000000000012,是,是,已平仓
135,2024-10-16,2024-10-16,2024-10-16,多头,1.0,1.0,1,0.0800000000000106,-0.7700000000000068,0.8500000000000174,是,是,已平仓
136,2024-10-31,2024-10-31,2024-10-31,多头,1.0,1.0,1,0.0400000000000053,1.2099999999990243,-1.169999999999019,是,是,已平仓
137,2024-11-04,2024-11-13,2024-11-13,多头,1.0,1.0,8,4.999999999998998,5.300000000000027,-0.3000000000010292,是,是,已平仓
138,2024-11-15,2024-11-18,2024-11-18,多头,1.0,1.0,2,-2.0200000000000085,-3.0900000000000025,1.069999999999994,否,是,已平仓
139,2024-11-21,2024-11-21,2024-11-21,多头,1.0,1.0,1,0.6699999999990047,1.8200000000009875,-1.1500000000019828,是,是,已平仓
140,2024-12-06,2024-12-06,2024-12-06,多头,1.0,1.0,1,0.5400000000000196,-0.7700000000000068,1.3100000000000263,是,是,已平仓
141,2024-12-10,2024-12-11,2024-12-11,多头,1.0,1.0,2,9.869999999999985,9.499999999999995,0.36999999999999034,是,是,已平仓
142,2024-12-16,2024-12-16,2024-12-16,多头,1.0,1.0,1,4.329999999999994,5.559999999999975,-1.2299999999999809,是,是,已平仓
