交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-17,2022-01-21,2022-01-21,多头,1.0,1.0,5,8.139999999999988,7.600000000000003,0.5399999999999849,是,是,已平仓
2,2022-02-21,2022-02-25,2022-02-25,多头,1.0,1.0,5,-4.839999999999983,2.2499999999999956,-7.0899999999999785,否,是,已平仓
3,2022-04-11,2022-04-15,2022-04-15,多头,1.0,1.0,5,0.7700000000000071,-0.49000000000097554,1.2600000000009826,是,是,已平仓
4,2022-05-05,2022-05-06,2022-05-06,多头,1.0,1.0,2,5.5899999999999705,1.13000000000002,4.45999999999995,是,是,已平仓
5,2022-05-30,2022-06-02,2022-06-02,多头,1.0,1.0,4,-1.7899999999999863,-6.269999999999991,4.480000000000004,否,是,已平仓
6,2022-07-04,2022-08-12,2022-08-12,多头,1.0,1.0,30,13.930000000000991,9.07999999999999,4.8500000000010015,是,是,已平仓
7,2022-08-22,2022-09-16,2022-09-16,多头,1.0,1.0,19,-0.42000000000000304,-8.550000000000015,8.130000000000011,否,是,已平仓
8,2022-09-26,2022-10-28,2022-10-28,多头,1.0,1.0,20,0.7499999999990148,1.4900000000010054,-0.7400000000019906,是,是,已平仓
9,2022-11-07,2022-11-11,2022-11-11,多头,1.0,1.0,5,-1.7499999999999805,-3.3100000000000143,1.5600000000000338,否,是,已平仓
10,2023-01-03,2023-01-06,2023-01-06,多头,1.0,1.0,4,0.7199999999999916,0.2500000000000071,0.46999999999998454,是,是,已平仓
11,2023-02-27,2023-03-03,2023-03-03,多头,1.0,1.0,5,0.6300000000000057,0.999999999999994,-0.36999999999998834,是,是,已平仓
12,2023-04-17,2023-04-21,2023-04-21,多头,1.0,1.0,5,1.270000000000021,0.23000000000002196,1.039999999999999,是,是,已平仓
13,2023-05-04,2023-05-12,2023-05-12,多头,1.0,1.0,7,6.460000000000008,7.300000000000015,-0.840000000000007,是,是,已平仓
14,2023-05-22,2023-06-02,2023-06-02,多头,1.0,1.0,10,0.16999999999999682,2.000000000000022,-1.8300000000000254,是,是,已平仓
15,2023-07-10,2023-07-28,2023-07-28,多头,1.0,1.0,15,5.1599999999990205,-1.3000000000000167,6.459999999999037,是,是,已平仓
16,2023-08-07,2023-09-01,2023-09-01,多头,1.0,1.0,20,10.04999999999999,6.190000000000987,3.859999999999003,是,是,已平仓
17,2023-11-13,2023-12-01,2023-12-01,多头,1.0,1.0,15,3.3000000000000047,-1.8100000000000058,5.11000000000001,是,是,已平仓
18,2023-12-11,2024-01-05,2024-01-05,多头,1.0,1.0,19,15.800000000000017,14.610000000000005,1.190000000000012,是,是,已平仓
19,2024-01-22,2024-01-26,2024-01-26,多头,1.0,1.0,5,1.3499999999989911,0.33000000000001806,1.019999999998973,是,是,已平仓
20,2024-03-04,2024-03-15,2024-03-15,多头,1.0,1.0,10,6.02000000000099,4.75000000000003,1.2700000000009597,是,是,已平仓
21,2024-04-08,2024-04-30,2024-04-30,多头,1.0,1.0,17,7.430000000000005,-1.9100000000000046,9.34000000000001,是,是,已平仓
22,2024-05-13,2024-05-17,2024-05-17,多头,1.0,1.0,5,3.1500000000009996,0.4499999999989923,2.7000000000020075,是,是,已平仓
23,2024-06-11,2024-06-14,2024-06-14,多头,1.0,1.0,4,2.8300000000000196,2.7500000000009805,0.07999999999903906,是,是,已平仓
24,2024-07-22,2024-08-02,2024-08-02,多头,1.0,1.0,10,8.979999999999995,13.369999999999981,-4.389999999999986,是,是,已平仓
25,2024-11-11,2024-11-15,2024-11-15,多头,1.0,1.0,5,1.2999999999999818,1.189999999999976,0.11000000000000587,是,是,已平仓
26,2024-11-25,2024-12-20,2024-12-20,多头,1.0,1.0,20,40.92000000000002,38.140000000000015,2.7800000000000082,是,是,已平仓
27,2025-02-05,2025-02-07,2025-02-07,多头,1.0,1.0,3,1.3200000000000018,2.6699999999989927,-1.349999999998991,是,是,已平仓
28,2025-02-17,2025-02-21,2025-02-21,多头,1.0,1.0,5,-7.929999999999014,-6.539999999999984,-1.3899999999990298,否,是,已平仓
29,2025-03-24,2025-03-28,2025-03-28,多头,1.0,1.0,5,1.0300000000009955,3.3199999999999896,-2.289999999998994,是,是,已平仓
30,2025-04-07,2025-04-11,2025-04-11,多头,1.0,1.0,5,2.7599999999999847,6.120000000000014,-3.3600000000000296,是,是,已平仓
31,2025-04-21,2025-05-16,2025-05-16,多头,1.0,1.0,17,4.979999999999983,-2.9999999999999822,7.979999999999965,是,是,已平仓
32,2025-05-26,2025-06-06,2025-06-06,多头,1.0,1.0,9,0.7499999999999868,6.610000000000019,-5.860000000000032,是,是,已平仓
33,2025-06-16,2025-07-18,2025-07-18,多头,1.0,1.0,25,4.0099999999999865,-2.1200000000000037,6.12999999999999,是,是,已平仓
34,2025-08-04,2025-08-08,2025-08-08,多头,1.0,1.0,5,-0.2100000000000016,1.6800000000000148,-1.8900000000000163,否,是,已平仓
