指标,字段,策略,基准
起始日期,start_date,2024-01-16,2024-01-16
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,639,639
期末净值,final_nav,1.0894238841006687,1.128812541547354
累计收益率,total_return,0.0894238841006687,0.128812541547354
年化收益率,annual_return,0.03440875927442777,0.0490224835332167
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.02040875927442777,0.0350224835332167
年化波动率,annual_volatility,0.01335555651313509,0.014476782713146044
夏普比率,sharpe,1.5281099858591374,2.4192173238473464
最大回撤,max_drawdown,-0.006609323962549651,-0.02532986739859333
最大回撤起点,max_drawdown_start,2025-02-13,2025-02-06
最大回撤终点,max_drawdown_end,2025-03-07,2025-03-17
Calmar比率,calmar,5.206093614021311,1.9353628174121082
日胜率_参考,win_rate,0.24882629107981222,0.2112676056338028
调仓周期数,signal_period_count,632,632
盈利调仓周期数,winning_signal_periods,159,135
调仓周期胜率,signal_period_win_rate,0.25158227848101267,0.21360759493670886
单周期平均收益,avg_signal_period_return,0.00013587757600174924,4.7926185538155865e-05
累计资本利得_BP,capital_gain_total_bp,74.87000000000195,14.320000000000995
年化资本利得_BP,capital_gain_annualized_bp,29.572476489028986,5.656175548589735
资本利得交易笔数,capital_gain_trade_count,71,71
已平仓交易笔数,capital_gain_closed_trade_count,70,70
资本利得盈利笔数,capital_gain_winning_trades,44,35
资本利得亏损笔数,capital_gain_losing_trades,21,30
资本利得持平笔数,capital_gain_flat_trades,5,5
资本利得交易胜率,capital_gain_trade_win_rate,0.6285714285714286,0.5
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.0558571428571701,0.1782857142857285
资本利得中位数_BP,capital_gain_median_trade_bp,0.6150000000000078,0.06499999999999564
平均每笔盈利_BP,capital_gain_avg_win_bp,2.6034090909091585,2.1888571428570547
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.9352380952381454,-2.1376666666665307
资本利得盈亏比,capital_gain_profit_loss_ratio,1.3452655243378668,1.0239468935867115
最佳交易_BP,capital_gain_best_trade_bp,14.90999999999999,13.589999999999991
最差交易_BP,capital_gain_worst_trade_bp,-7.689999999999989,-10.469999999999994
平均每笔持有交易日,capital_gain_avg_holding_days,3.352112676056338,3.352112676056338
最长单笔持有交易日,capital_gain_max_holding_days,12,12
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-7.6899999999999835,-14.33000000000111
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-02-13,2025-04-07
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-03-07,2026-04-01
最长连续亏损笔数,capital_gain_longest_losing_streak,3,3
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.9600000000000233,1.8400000000000014
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
