交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2024-03-06,2024-03-07,2024-03-07,多头,1.0,1.0,2,5.089999999999991,3.929999999999975,1.1600000000000161,是,是,已平仓
2,2024-04-03,2024-04-03,2024-04-03,多头,1.0,1.0,1,0.5800000000009964,0.899999999999998,-0.31999999999900164,是,是,已平仓
3,2024-04-16,2024-04-22,2024-04-22,多头,1.0,1.0,5,5.100000000001006,2.880000000000001,2.220000000001005,是,是,已平仓
4,2024-04-24,2024-04-24,2024-04-24,多头,1.0,1.0,1,-2.1900000000000044,-4.670000000000021,2.480000000000017,否,是,已平仓
5,2024-05-10,2024-05-10,2024-05-10,多头,1.0,1.0,1,-0.2500000000000071,0.640000000000987,-0.8900000000009941,否,是,已平仓
6,2024-05-21,2024-05-21,2024-05-21,多头,1.0,1.0,1,-1.3100000000000265,-0.3599999999999784,-0.9500000000000481,否,是,已平仓
7,2024-06-04,2024-06-11,2024-06-11,多头,1.0,1.0,5,5.560000000000009,0.6199999999999957,4.940000000000014,是,是,已平仓
8,2024-06-19,2024-06-21,2024-06-21,多头,1.0,1.0,3,0.3299999999999832,-0.3399999999999931,0.6699999999999763,是,是,已平仓
9,2024-06-28,2024-07-01,2024-07-01,多头,1.0,1.0,2,-4.950000000000024,-4.049999999999991,-0.9000000000000332,否,是,已平仓
10,2024-07-03,2024-07-03,2024-07-03,多头,1.0,1.0,1,2.149999999999999,-0.5699999999990089,2.7199999999990077,是,是,已平仓
11,2024-07-15,2024-07-15,2024-07-15,多头,1.0,1.0,1,0.0099999999999753,0.6300000000000056,-0.6200000000000303,是,是,已平仓
12,2024-07-17,2024-07-19,2024-07-19,多头,1.0,1.0,3,0.7799999999999823,-0.010000000000981446,0.7900000000009637,是,是,已平仓
13,2024-07-23,2024-07-24,2024-07-24,多头,1.0,1.0,2,2.270000000000015,0.7999999999999674,1.4700000000000477,是,是,已平仓
14,2024-07-30,2024-07-30,2024-07-30,多头,1.0,1.0,1,1.2599999999999765,0.9400000000000032,0.3199999999999733,是,是,已平仓
15,2024-08-01,2024-08-01,2024-08-01,多头,1.0,1.0,1,2.389999999999996,1.9699999999999929,0.42000000000000326,是,是,已平仓
16,2024-08-07,2024-08-07,2024-08-07,多头,1.0,1.0,1,2.1500000000010053,0.7699999999990006,1.3800000000020047,是,是,已平仓
17,2024-08-09,2024-08-09,2024-08-09,多头,1.0,1.0,1,-2.6200000000000183,-1.759999999999991,-0.8600000000000274,否,是,已平仓
18,2024-09-05,2024-09-05,2024-09-05,多头,1.0,1.0,1,0.0400000000000053,-0.0199999999999853,0.0599999999999906,是,是,已平仓
19,2024-10-16,2024-10-16,2024-10-16,多头,1.0,1.0,1,0.0,0.0,0.0,否,是,已平仓
20,2024-11-07,2024-11-15,2024-11-15,多头,1.0,1.0,7,1.8499999999999768,2.8599999999999803,-1.0100000000000036,是,是,已平仓
21,2024-12-10,2024-12-17,2024-12-17,多头,1.0,1.0,6,17.439999999999994,19.31000000000002,-1.8700000000000259,是,是,已平仓
22,2024-12-24,2024-12-24,2024-12-24,多头,1.0,1.0,1,-1.0399999999999991,-1.470000000000013,0.4300000000000139,否,是,已平仓
23,2025-01-02,2025-01-06,2025-01-06,多头,1.0,1.0,3,10.17999999999998,7.859999999999984,2.319999999999996,是,是,已平仓
24,2025-02-07,2025-02-10,2025-02-10,多头,1.0,1.0,2,-0.7499999999999868,-3.839999999999989,3.0900000000000025,否,是,已平仓
25,2025-02-12,2025-02-13,2025-02-13,多头,1.0,1.0,2,0.7200000000000262,-0.7199999999999914,1.4400000000000177,是,是,已平仓
26,2025-03-07,2025-03-07,2025-03-07,多头,1.0,1.0,1,-5.000000000000004,-5.470000000000024,0.4700000000000193,否,是,已平仓
27,2025-03-24,2025-03-24,2025-03-24,多头,1.0,1.0,1,-0.1299999999990198,0.449999999999999,-0.5799999999990189,否,是,已平仓
28,2025-03-27,2025-03-27,2025-03-27,多头,1.0,1.0,1,-1.3300000000000116,-1.1900000000000106,-0.140000000000001,否,是,已平仓
29,2025-03-31,2025-04-08,2025-04-08,多头,1.0,1.0,6,14.73999999999899,14.930000000000012,-0.19000000000102268,是,是,已平仓
30,2025-04-11,2025-04-14,2025-04-14,多头,1.0,1.0,2,1.6499999999999848,-1.4000000000000123,3.049999999999997,是,是,已平仓
31,2025-04-16,2025-04-16,2025-04-16,多头,1.0,1.0,1,0.0,0.0,0.0,否,是,已平仓
32,2025-04-18,2025-04-23,2025-04-23,多头,1.0,1.0,4,2.3300000000010117,-0.8900000000000228,3.2200000000010345,是,是,已平仓
33,2025-05-06,2025-05-15,2025-05-15,多头,1.0,1.0,8,-0.5000000000000144,-5.549999999999999,5.049999999999985,否,是,已平仓
34,2025-05-23,2025-05-23,2025-05-23,多头,1.0,1.0,1,-0.2500000000009786,-0.2200000000000118,-0.03000000000096681,否,是,已平仓
35,2025-05-29,2025-06-04,2025-06-04,多头,1.0,1.0,4,0.5000000000000142,1.2799999999999963,-0.779999999999982,是,是,已平仓
36,2025-06-11,2025-06-16,2025-06-16,多头,1.0,1.0,4,4.019999999999996,1.3700000000000168,2.649999999999979,是,是,已平仓
37,2025-06-18,2025-06-18,2025-06-18,多头,1.0,1.0,1,2.0399999999999934,-0.1999999999999918,2.239999999999985,是,是,已平仓
38,2025-06-30,2025-07-14,2025-07-14,多头,1.0,1.0,11,1.1800000000000008,-2.6400000000000032,3.820000000000004,是,是,已平仓
39,2025-08-04,2025-08-08,2025-08-08,多头,1.0,1.0,5,-0.2100000000000016,1.6800000000000148,-1.8900000000000163,否,是,已平仓
40,2025-09-01,2025-09-03,2025-09-03,多头,1.0,1.0,3,1.4799999999990168,3.9499999999999957,-2.470000000000979,是,是,已平仓
41,2025-09-05,2025-09-08,2025-09-08,多头,1.0,1.0,2,-4.500000000000995,-4.539999999999996,0.039999999999000835,否,是,已平仓
42,2025-09-22,2025-09-22,2025-09-22,多头,1.0,1.0,1,0.2300000000000218,1.4199999999999977,-1.189999999999976,是,是,已平仓
43,2025-10-22,2025-10-22,2025-10-22,多头,1.0,1.0,1,0.0,0.6399999999999808,-0.6399999999999808,否,是,已平仓
44,2025-10-31,2025-11-14,2025-11-14,多头,1.0,1.0,11,4.100000000000008,-0.4200000000000038,4.520000000000011,是,是,已平仓
45,2025-11-18,2025-11-18,2025-11-18,多头,1.0,1.0,1,-0.0500000000000153,-0.1200000000000159,0.07000000000000059,否,是,已平仓
46,2025-11-20,2025-11-20,2025-11-20,多头,1.0,1.0,1,0.0299999999999953,0.4400000000000237,-0.4100000000000284,是,是,已平仓
47,2025-12-31,2026-01-05,2026-01-05,多头,1.0,1.0,2,-1.2200000000000057,-0.019999999999985807,-1.20000000000002,否,是,已平仓
48,2026-02-10,2026-02-13,2026-02-13,多头,1.0,1.0,4,2.360000000000001,1.8599999999990153,0.5000000000009859,是,是,已平仓
49,2026-03-09,2026-03-12,2026-03-12,多头,1.0,1.0,4,-1.4099999999999884,-2.4199999999999915,1.0100000000000031,否,是,已平仓
50,2026-03-19,2026-03-20,2026-03-20,多头,1.0,1.0,2,0.810000000000012,-1.239999999999991,2.0500000000000034,是,是,已平仓
51,2026-03-24,2026-03-24,2026-03-24,多头,1.0,1.0,1,0.3200000000000078,0.439999999999989,-0.11999999999998123,是,是,已平仓
52,2026-03-27,2026-04-16,2026-04-16,多头,1.0,1.0,14,4.899999999999973,3.849999999999999,1.0499999999999736,是,是,已平仓
53,2026-04-20,2026-04-24,2026-04-24,多头,1.0,1.0,5,1.759999999999991,0.22000000000001196,1.539999999999979,是,是,已平仓
54,2026-04-29,2026-05-14,2026-05-14,多头,1.0,1.0,9,3.8499999999999988,0.6600000000000008,3.1899999999999977,是,是,已平仓
55,2026-05-18,2026-05-19,2026-05-19,多头,1.0,1.0,2,0.889999999999988,3.130000000000008,-2.2400000000000198,是,是,已平仓
56,2026-05-21,2026-05-22,2026-05-22,多头,1.0,1.0,2,0.09000000000002062,-1.3700000000009884,1.460000000001009,是,是,已平仓
57,2026-05-28,2026-06-03,2026-06-03,多头,1.0,1.0,5,5.400000000000996,0.8799999999999778,4.520000000001018,是,是,已平仓
58,2026-06-08,2026-06-10,2026-06-10,多头,1.0,1.0,3,-2.820000000000981,-2.6899999999999844,-0.13000000000099643,否,是,已平仓
59,2026-06-29,2026-07-03,2026-07-03,多头,1.0,1.0,5,0.500000000000986,-1.489999999999998,1.9900000000009839,是,是,已平仓
60,2026-07-14,2026-07-14,2026-07-14,多头,1.0,1.0,1,-0.6899999999999962,0.3999999999999837,-1.0899999999999799,否,是,已平仓
61,2026-07-16,2026-07-16,2026-07-16,多头,1.0,1.0,1,0.0,0.0,0.0,否,是,已平仓
62,2026-07-20,2026-07-20,2026-07-20,多头,1.0,1.0,1,0.0500000000000153,-0.4900000000000043,0.5400000000000196,是,是,已平仓
63,2026-07-22,2026-07-28,2026-07-28,多头,1.0,1.0,5,2.479999999999982,0.9900000000000188,1.4899999999999634,是,是,已平仓
64,2026-07-30,2026-08-24,2026-08-24,多头,1.0,1.0,18,3.0399999999999867,5.350000000000008,-2.310000000000021,是,是,已平仓
65,2026-08-28,,2026-09-04,多头,1.0,1.0,6,0.9600000000000233,1.8400000000000014,-0.8799999999999781,是,否,未平仓
