指标,字段,策略,基准
起始日期,start_date,2024-01-18,2024-01-18
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,637,637
期末净值,final_nav,1.068281887530209,1.0070773479612007
累计收益率,total_return,0.06828188753020892,0.007077347961200742
年化收益率,annual_return,0.02651688521199147,0.0027982633711314264
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.01251688521199147,-0.011201736628868574
年化波动率,annual_volatility,0.01487757047815443,0.01663699674693882
夏普比率,sharpe,0.8413258892216785,-0.6733028081483321
最大回撤,max_drawdown,-0.014109181124842163,-0.020193169039920744
最大回撤起点,max_drawdown_start,2024-08-05,2024-03-06
最大回撤终点,max_drawdown_end,2025-03-25,2024-04-29
Calmar比率,calmar,1.8794063934229996,0.13857475097640293
日胜率_参考,win_rate,0.29827315541601257,0.2731554160125589
调仓周期数,signal_period_count,133,133
盈利调仓周期数,winning_signal_periods,46,42
调仓周期胜率,signal_period_win_rate,0.3458646616541353,0.3157894736842105
单周期平均收益,avg_signal_period_return,0.0004983969414940544,0.00028963767489139806
累计资本利得_BP,capital_gain_total_bp,46.97000000000388,17.66999999999994
年化资本利得_BP,capital_gain_annualized_bp,18.61075471698267,7.001320754716959
资本利得交易笔数,capital_gain_trade_count,29,29
已平仓交易笔数,capital_gain_closed_trade_count,28,28
资本利得盈利笔数,capital_gain_winning_trades,16,16
资本利得亏损笔数,capital_gain_losing_trades,12,12
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.5714285714285714,0.5714285714285714
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.6328571428572813,0.5792857142857125
资本利得中位数_BP,capital_gain_median_trade_bp,1.1950000000005012,0.20500000000050056
平均每笔盈利_BP,capital_gain_avg_win_bp,4.573125000000248,3.663750000000121
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.2875000000000063,-3.5333333333334984
资本利得盈亏比,capital_gain_profit_loss_ratio,1.9991803278689553,1.0369103773584765
最佳交易_BP,capital_gain_best_trade_bp,14.859999999999976,18.899999999999995
最差交易_BP,capital_gain_worst_trade_bp,-6.1599999999990125,-9.010000000000996
平均每笔持有交易日,capital_gain_avg_holding_days,10.620689655172415,10.620689655172415
最长单笔持有交易日,capital_gain_max_holding_days,34,34
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-19.45999999999907,-17.16999999999903
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-08-05,2024-06-28
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-03-25,2025-02-21
最长连续亏损笔数,capital_gain_longest_losing_streak,4,2
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,1.250000000000001,1.4499999999999933
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
