signal_date,总分,结论,仓位
2024-01-15,40.0,中性,0.0
2024-01-22,55.0,中性,0.0
2024-01-29,10.0,看空,0.0
2024-02-05,70.0,看多,1.0
2024-02-26,60.0,中性,0.0
2024-03-04,85.0,看多,1.0
2024-03-11,70.0,看多,1.0
2024-03-18,40.0,中性,0.0
2024-03-25,55.0,中性,0.0
2024-04-01,45.0,中性,0.0
2024-04-08,95.0,看多,1.0
2024-04-15,70.0,看多,1.0
2024-04-22,70.0,看多,1.0
2024-04-29,70.0,看多,1.0
2024-05-06,25.0,看空,0.0
2024-05-13,100.0,看多,1.0
2024-05-20,35.0,中性,0.0
2024-05-27,60.0,中性,0.0
2024-06-03,35.0,中性,0.0
2024-06-10,95.0,看多,1.0
2024-06-17,10.0,看空,0.0
2024-06-24,80.0,看多,1.0
2024-07-01,70.0,看多,1.0
2024-07-08,30.0,中性,0.0
2024-07-15,67.5,中性,0.0
2024-07-22,72.5,看多,1.0
2024-07-29,55.0,中性,0.0
2024-08-05,70.0,看多,1.0
2024-08-12,77.5,看多,1.0
2024-08-19,25.0,看空,0.0
2024-08-26,20.0,看空,0.0
2024-09-02,40.0,中性,0.0
2024-09-09,22.5,看空,0.0
2024-09-16,52.5,中性,0.0
2024-09-23,57.5,中性,0.0
2024-09-30,15.0,看空,0.0
2024-10-07,37.5,中性,0.0
2024-10-14,45.0,中性,0.0
2024-10-21,75.0,看多,1.0
2024-10-28,12.5,看空,0.0
2024-11-04,42.5,中性,0.0
2024-11-11,75.0,看多,1.0
2024-11-18,77.5,看多,1.0
2024-11-25,60.0,中性,0.0
2024-12-02,57.5,中性,0.0
2024-12-09,57.5,中性,0.0
2024-12-16,67.5,中性,0.0
2024-12-23,42.5,中性,0.0
2025-01-06,40.0,中性,0.0
2025-01-13,27.5,看空,0.0
2025-01-20,37.5,中性,0.0
2025-01-27,22.5,看空,0.0
2025-02-03,72.5,看多,1.0
2025-02-10,70.0,看多,1.0
2025-02-17,85.0,看多,1.0
2025-02-24,0.0,看空,0.0
2025-03-03,5.0,看空,0.0
2025-03-10,42.5,中性,0.0
2025-03-17,5.0,看空,0.0
2025-03-24,70.0,看多,1.0
2025-03-31,70.0,看多,1.0
2025-04-07,72.5,看多,1.0
2025-04-14,55.0,中性,0.0
2025-04-21,72.5,看多,1.0
2025-04-28,87.5,看多,1.0
2025-05-05,75.0,看多,1.0
2025-05-12,95.0,看多,1.0
2025-05-19,25.0,看空,0.0
2025-05-26,90.0,看多,1.0
2025-06-02,60.0,中性,0.0
2025-06-09,27.5,看空,0.0
2025-06-16,92.5,看多,1.0
2025-06-23,87.5,看多,1.0
2025-06-30,77.5,看多,1.0
2025-07-07,75.0,看多,1.0
2025-07-14,75.0,看多,1.0
2025-07-21,22.5,看空,0.0
2025-07-28,40.0,中性,0.0
2025-08-04,57.5,中性,0.0
2025-08-11,30.0,中性,0.0
2025-08-18,22.5,看空,0.0
2025-08-25,7.5,看空,0.0
2025-09-01,80.0,看多,1.0
2025-09-08,77.5,看多,1.0
2025-09-15,27.5,看空,0.0
2025-09-22,77.5,看多,1.0
2025-09-29,10.0,看空,0.0
2025-10-06,82.5,看多,1.0
2025-10-13,32.5,中性,0.0
2025-10-20,45.0,中性,0.0
2025-10-27,75.0,看多,1.0
2025-11-03,77.5,看多,1.0
2025-11-10,95.0,看多,1.0
2025-11-17,25.0,看空,0.0
2025-11-24,22.5,看空,0.0
2025-12-01,30.0,中性,0.0
2025-12-08,15.0,看空,0.0
2025-12-15,32.5,中性,0.0
2025-12-22,32.5,中性,0.0
2025-12-29,77.5,看多,1.0
2026-01-05,80.0,看多,1.0
2026-01-12,27.5,看空,0.0
2026-01-19,27.5,看空,0.0
2026-01-26,90.0,看多,1.0
2026-02-02,72.5,看多,1.0
2026-02-09,72.5,看多,1.0
2026-03-02,5.0,看空,0.0
2026-03-09,97.5,看多,1.0
2026-03-16,92.5,看多,1.0
2026-03-23,75.0,看多,1.0
2026-03-30,77.5,看多,1.0
2026-04-06,77.5,看多,1.0
2026-04-13,75.0,看多,1.0
2026-04-20,75.0,看多,1.0
2026-04-27,65.0,中性,0.0
2026-05-04,95.0,看多,1.0
2026-05-11,40.0,中性,0.0
2026-05-18,80.0,看多,1.0
2026-05-25,55.0,中性,0.0
2026-06-01,75.0,看多,1.0
2026-06-08,80.0,看多,1.0
2026-06-15,25.0,看空,0.0
2026-06-22,75.0,看多,1.0
2026-06-29,75.0,看多,1.0
2026-07-06,35.0,中性,0.0
2026-07-13,25.0,看空,0.0
2026-07-20,65.0,中性,0.0
2026-07-27,70.0,看多,1.0
2026-08-03,75.0,看多,1.0
2026-08-10,75.0,看多,1.0
2026-08-17,70.0,看多,1.0
2026-08-24,65.0,中性,0.0
2026-08-31,75.0,看多,1.0
