signal_date,总分,结论,仓位
2024-01-16,62.5,中性,0.0
2024-01-17,60.0,中性,0.0
2024-01-18,57.5,中性,0.0
2024-01-19,62.5,中性,0.0
2024-01-22,60.0,中性,0.0
2024-01-23,47.5,中性,0.0
2024-01-24,47.5,中性,0.0
2024-01-25,45.0,中性,0.0
2024-01-26,35.0,中性,0.0
2024-01-29,37.5,中性,0.0
2024-01-30,25.0,看空,0.0
2024-01-31,22.5,看空,0.0
2024-02-01,30.0,中性,0.0
2024-02-02,37.5,中性,0.0
2024-02-05,37.5,中性,0.0
2024-02-06,60.0,中性,0.0
2024-02-07,55.0,中性,0.0
2024-02-19,37.5,中性,0.0
2024-02-20,27.5,看空,0.0
2024-02-21,32.5,中性,0.0
2024-02-22,32.5,中性,0.0
2024-02-23,37.5,中性,0.0
2024-02-26,15.0,看空,0.0
2024-02-27,32.5,中性,0.0
2024-02-28,27.5,看空,0.0
2024-02-29,47.5,中性,0.0
2024-03-01,52.5,中性,0.0
2024-03-04,52.5,中性,0.0
2024-03-05,52.5,中性,0.0
2024-03-06,70.0,看多,1.0
2024-03-07,70.0,看多,1.0
2024-03-08,45.0,中性,0.0
2024-03-11,50.0,中性,0.0
2024-03-12,22.5,看空,0.0
2024-03-13,25.0,看空,0.0
2024-03-14,20.0,看空,0.0
2024-03-15,30.0,中性,0.0
2024-03-18,42.5,中性,0.0
2024-03-19,65.0,中性,0.0
2024-03-20,65.0,中性,0.0
2024-03-21,47.5,中性,0.0
2024-03-22,47.5,中性,0.0
2024-03-25,27.5,看空,0.0
2024-03-26,32.5,中性,0.0
2024-03-27,32.5,中性,0.0
2024-03-28,47.5,中性,0.0
2024-03-29,50.0,中性,0.0
2024-04-01,67.5,中性,0.0
2024-04-02,67.5,中性,0.0
2024-04-03,72.5,看多,1.0
2024-04-08,42.5,中性,0.0
2024-04-09,50.0,中性,0.0
2024-04-10,55.0,中性,0.0
2024-04-11,57.5,中性,0.0
2024-04-12,40.0,中性,0.0
2024-04-15,32.5,中性,0.0
2024-04-16,20.0,看空,0.0
2024-04-17,20.0,看空,0.0
2024-04-18,22.5,看空,0.0
2024-04-19,20.0,看空,0.0
2024-04-22,20.0,看空,0.0
2024-04-23,25.0,看空,0.0
2024-04-24,25.0,看空,0.0
2024-04-25,22.5,看空,0.0
2024-04-26,37.5,中性,0.0
2024-04-29,42.5,中性,0.0
2024-04-30,37.5,中性,0.0
2024-05-06,35.0,中性,0.0
2024-05-07,40.0,中性,0.0
2024-05-08,37.5,中性,0.0
2024-05-09,37.5,中性,0.0
2024-05-10,47.5,中性,0.0
2024-05-13,50.0,中性,0.0
2024-05-14,40.0,中性,0.0
2024-05-15,42.5,中性,0.0
2024-05-16,27.5,看空,0.0
2024-05-17,30.0,中性,0.0
2024-05-20,25.0,看空,0.0
2024-05-21,25.0,看空,0.0
2024-05-22,20.0,看空,0.0
2024-05-23,17.5,看空,0.0
2024-05-24,22.5,看空,0.0
2024-05-27,22.5,看空,0.0
2024-05-28,35.0,中性,0.0
2024-05-29,17.5,看空,0.0
2024-05-30,20.0,看空,0.0
2024-05-31,27.5,看空,0.0
2024-06-03,25.0,看空,0.0
2024-06-04,30.0,中性,0.0
2024-06-05,35.0,中性,0.0
2024-06-06,27.5,看空,0.0
2024-06-07,40.0,中性,0.0
2024-06-11,37.5,中性,0.0
2024-06-12,37.5,中性,0.0
2024-06-13,27.5,看空,0.0
2024-06-14,45.0,中性,0.0
2024-06-17,22.5,看空,0.0
2024-06-18,20.0,看空,0.0
2024-06-19,32.5,中性,0.0
2024-06-20,32.5,中性,0.0
2024-06-21,32.5,中性,0.0
2024-06-24,30.0,中性,0.0
2024-06-25,22.5,看空,0.0
2024-06-26,17.5,看空,0.0
2024-06-27,27.5,看空,0.0
2024-06-28,12.5,看空,0.0
2024-07-01,20.0,看空,0.0
2024-07-02,15.0,看空,0.0
2024-07-03,20.0,看空,0.0
2024-07-04,35.0,中性,0.0
2024-07-05,32.5,中性,0.0
2024-07-08,32.5,中性,0.0
2024-07-09,32.5,中性,0.0
2024-07-10,32.5,中性,0.0
2024-07-11,27.5,看空,0.0
2024-07-12,27.5,看空,0.0
2024-07-15,27.5,看空,0.0
2024-07-16,25.0,看空,0.0
2024-07-17,45.0,中性,0.0
2024-07-18,47.5,中性,0.0
2024-07-19,45.0,中性,0.0
2024-07-22,32.5,中性,0.0
2024-07-23,25.0,看空,0.0
2024-07-24,25.0,看空,0.0
2024-07-25,22.5,看空,0.0
2024-07-26,22.5,看空,0.0
2024-07-29,30.0,中性,0.0
2024-07-30,42.5,中性,0.0
2024-07-31,27.5,看空,0.0
2024-08-01,30.0,中性,0.0
2024-08-02,10.0,看空,0.0
2024-08-05,12.5,看空,0.0
2024-08-06,15.0,看空,0.0
2024-08-07,32.5,中性,0.0
2024-08-08,12.5,看空,0.0
2024-08-09,35.0,中性,0.0
2024-08-12,22.5,看空,0.0
2024-08-13,15.0,看空,0.0
2024-08-14,15.0,看空,0.0
2024-08-15,25.0,看空,0.0
2024-08-16,12.5,看空,0.0
2024-08-19,27.5,看空,0.0
2024-08-20,7.5,看空,0.0
2024-08-21,5.0,看空,0.0
2024-08-22,2.5,看空,0.0
2024-08-23,5.0,看空,0.0
2024-08-26,2.5,看空,0.0
2024-08-27,5.0,看空,0.0
2024-08-28,5.0,看空,0.0
2024-08-29,5.0,看空,0.0
2024-08-30,12.5,看空,0.0
2024-09-02,37.5,中性,0.0
2024-09-03,27.5,看空,0.0
2024-09-04,27.5,看空,0.0
2024-09-05,30.0,中性,0.0
2024-09-06,22.5,看空,0.0
2024-09-09,17.5,看空,0.0
2024-09-10,20.0,看空,0.0
2024-09-11,25.0,看空,0.0
2024-09-12,25.0,看空,0.0
2024-09-13,2.5,看空,0.0
2024-09-18,27.5,看空,0.0
2024-09-19,30.0,中性,0.0
2024-09-20,10.0,看空,0.0
2024-09-23,27.5,看空,0.0
2024-09-24,27.5,看空,0.0
2024-09-25,5.0,看空,0.0
2024-09-26,25.0,看空,0.0
2024-09-27,12.5,看空,0.0
2024-09-30,17.5,看空,0.0
2024-10-08,70.0,看多,1.0
2024-10-09,70.0,看多,1.0
2024-10-10,67.5,中性,0.0
2024-10-11,67.5,中性,0.0
2024-10-14,52.5,中性,0.0
2024-10-15,60.0,中性,0.0
2024-10-16,72.5,看多,1.0
2024-10-17,52.5,中性,0.0
2024-10-18,62.5,中性,0.0
2024-10-21,65.0,中性,0.0
2024-10-22,65.0,中性,0.0
2024-10-23,65.0,中性,0.0
2024-10-24,20.0,看空,0.0
2024-10-25,5.0,看空,0.0
2024-10-28,5.0,看空,0.0
2024-10-29,12.5,看空,0.0
2024-10-30,12.5,看空,0.0
2024-10-31,27.5,看空,0.0
2024-11-01,47.5,中性,0.0
2024-11-04,50.0,中性,0.0
2024-11-05,50.0,中性,0.0
2024-11-06,50.0,中性,0.0
2024-11-07,95.0,看多,1.0
2024-11-08,97.5,看多,1.0
2024-11-11,97.5,看多,1.0
2024-11-12,80.0,看多,1.0
2024-11-13,82.5,看多,1.0
2024-11-14,95.0,看多,1.0
2024-11-15,72.5,看多,1.0
2024-11-18,67.5,中性,0.0
2024-11-19,67.5,中性,0.0
2024-11-20,52.5,中性,0.0
2024-11-21,52.5,中性,0.0
2024-11-22,50.0,中性,0.0
2024-11-25,50.0,中性,0.0
2024-11-26,50.0,中性,0.0
2024-11-27,50.0,中性,0.0
2024-11-28,50.0,中性,0.0
2024-11-29,50.0,中性,0.0
