指标,字段,策略,基准
起始日期,start_date,2024-01-18,2024-01-18
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,637,637
期末净值,final_nav,1.0400425580715398,1.0039577514319884
累计收益率,total_return,0.04004255807153978,0.003957751431988399
年化收益率,annual_return,0.015678128501550148,0.0015662959825659684
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.0016781285015501479,-0.012433704017434032
年化波动率,annual_volatility,0.00933846897904811,0.010607077378435515
夏普比率,sharpe,0.17970060245584313,-1.1722082882804363
最大回撤,max_drawdown,-0.007413030758258943,-0.01883870407643462
最大回撤起点,max_drawdown_start,2024-04-25,2024-03-06
最大回撤终点,max_drawdown_end,2024-04-29,2024-04-29
Calmar比率,calmar,2.114941784651705,0.08314244845139065
日胜率_参考,win_rate,0.12244897959183673,0.11145996860282574
调仓周期数,signal_period_count,133,133
盈利调仓周期数,winning_signal_periods,22,19
调仓周期胜率,signal_period_win_rate,0.16541353383458646,0.14285714285714285
单周期平均收益,avg_signal_period_return,0.0002960668280794784,0.00016942068443566595
累计资本利得_BP,capital_gain_total_bp,34.030000000000975,15.85000000000093
年化资本利得_BP,capital_gain_annualized_bp,13.483584905660763,6.280188679245652
资本利得交易笔数,capital_gain_trade_count,20,20
已平仓交易笔数,capital_gain_closed_trade_count,19,19
资本利得盈利笔数,capital_gain_winning_trades,15,12
资本利得亏损笔数,capital_gain_losing_trades,4,7
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.7894736842105263,0.631578947368421
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.7252631578947877,0.7578947368421546
资本利得中位数_BP,capital_gain_median_trade_bp,2.1999999999999797,0.4499999999989923
平均每笔盈利_BP,capital_gain_avg_win_bp,2.829333333333396,2.529166666666744
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.414999999999995,-2.278571428571427
资本利得盈亏比,capital_gain_profit_loss_ratio,1.1715665976535825,1.1099791013584464
最佳交易_BP,capital_gain_best_trade_bp,7.9299999999999855,8.5
最差交易_BP,capital_gain_worst_trade_bp,-7.339999999999986,-4.8799999999999875
平均每笔持有交易日,capital_gain_avg_holding_days,5.65,5.65
最长单笔持有交易日,capital_gain_max_holding_days,12,12
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-8.829999999999984,-12.700000000000003
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-04-23,2024-04-23
资本利得最大回撤终点,capital_gain_max_drawdown_end,2024-04-29,2024-04-29
最长连续亏损笔数,capital_gain_longest_losing_streak,2,3
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,1.250000000000001,1.4499999999999933
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
