signal_date,总分,结论,仓位
2024-01-15,47.5,中性,0.0
2024-01-22,57.5,中性,0.0
2024-01-29,10.0,看空,0.0
2024-02-05,72.5,看多,1.0
2024-02-26,57.5,中性,0.0
2024-03-04,95.0,看多,1.0
2024-03-11,80.0,看多,1.0
2024-03-18,42.5,中性,0.0
2024-03-25,57.5,中性,0.0
2024-04-01,45.0,中性,0.0
2024-04-08,87.5,看多,1.0
2024-04-15,70.0,看多,1.0
2024-04-22,72.5,看多,1.0
2024-04-29,65.0,中性,0.0
2024-05-06,22.5,看空,0.0
2024-05-13,92.5,看多,1.0
2024-05-20,40.0,中性,0.0
2024-05-27,60.0,中性,0.0
2024-06-03,40.0,中性,0.0
2024-06-10,97.5,看多,1.0
2024-06-17,5.0,看空,0.0
2024-06-24,77.5,看多,1.0
2024-07-01,67.5,中性,0.0
2024-07-08,30.0,中性,0.0
2024-07-15,67.5,中性,0.0
2024-07-22,72.5,看多,1.0
2024-07-29,55.0,中性,0.0
2024-08-05,70.0,看多,1.0
2024-08-12,77.5,看多,1.0
2024-08-19,25.0,看空,0.0
2024-08-26,20.0,看空,0.0
2024-09-02,40.0,中性,0.0
2024-09-09,22.5,看空,0.0
2024-09-16,52.5,中性,0.0
2024-09-23,57.5,中性,0.0
2024-09-30,15.0,看空,0.0
2024-10-07,37.5,中性,0.0
2024-10-14,95.0,看多,1.0
2024-10-21,25.0,看空,0.0
2024-10-28,25.0,看空,0.0
2024-11-04,75.0,看多,1.0
2024-11-11,75.0,看多,1.0
2024-11-18,30.0,中性,0.0
2024-11-25,25.0,看空,0.0
2024-12-02,30.0,中性,0.0
2024-12-09,25.0,看空,0.0
2024-12-16,45.0,中性,0.0
2024-12-23,47.5,中性,0.0
2025-01-06,75.0,看多,1.0
2025-01-13,47.5,中性,0.0
2025-01-20,17.5,看空,0.0
2025-01-27,25.0,看空,0.0
2025-02-03,67.5,中性,0.0
2025-02-10,72.5,看多,1.0
2025-02-17,60.0,中性,0.0
2025-02-24,7.5,看空,0.0
2025-03-03,25.0,看空,0.0
2025-03-10,42.5,中性,0.0
2025-03-17,17.5,看空,0.0
2025-03-24,62.5,中性,0.0
2025-03-31,80.0,看多,1.0
2025-04-07,75.0,看多,1.0
2025-04-14,70.0,看多,1.0
2025-04-21,75.0,看多,1.0
2025-04-28,72.5,看多,1.0
2025-05-05,82.5,看多,1.0
2025-05-12,87.5,看多,1.0
2025-05-19,22.5,看空,0.0
2025-05-26,72.5,看多,1.0
2025-06-02,85.0,看多,1.0
2025-06-09,30.0,中性,0.0
2025-06-16,72.5,看多,1.0
2025-06-23,60.0,中性,0.0
2025-06-30,92.5,看多,1.0
2025-07-07,67.5,中性,0.0
2025-07-14,75.0,看多,1.0
2025-07-21,20.0,看空,0.0
2025-07-28,20.0,看空,0.0
2025-08-04,77.5,看多,1.0
2025-08-11,32.5,中性,0.0
2025-08-18,12.5,看空,0.0
2025-08-25,10.0,看空,0.0
2025-09-01,90.0,看多,1.0
2025-09-08,67.5,中性,0.0
2025-09-15,22.5,看空,0.0
2025-09-22,75.0,看多,1.0
2025-09-29,20.0,看空,0.0
2025-10-06,87.5,看多,1.0
2025-10-13,32.5,中性,0.0
2025-10-20,20.0,看空,0.0
2025-10-27,67.5,中性,0.0
2025-11-03,85.0,看多,1.0
2025-11-10,72.5,看多,1.0
2025-11-17,22.5,看空,0.0
2025-11-24,12.5,看空,0.0
2025-12-01,32.5,中性,0.0
2025-12-08,27.5,看空,0.0
2025-12-15,32.5,中性,0.0
2025-12-22,32.5,中性,0.0
2025-12-29,72.5,看多,1.0
2026-01-05,82.5,看多,1.0
2026-01-12,22.5,看空,0.0
2026-01-19,15.0,看空,0.0
2026-01-26,60.0,中性,0.0
2026-02-02,55.0,中性,0.0
2026-02-09,70.0,看多,1.0
2026-03-02,7.5,看空,0.0
2026-03-09,90.0,看多,1.0
2026-03-16,67.5,中性,0.0
2026-03-23,65.0,中性,0.0
2026-03-30,82.5,看多,1.0
2026-04-06,75.0,看多,1.0
2026-04-13,75.0,看多,1.0
2026-04-20,75.0,看多,1.0
2026-04-27,75.0,看多,1.0
2026-05-04,87.5,看多,1.0
2026-05-11,35.0,中性,0.0
2026-05-18,80.0,看多,1.0
2026-05-25,55.0,中性,0.0
2026-06-01,82.5,看多,1.0
2026-06-08,80.0,看多,1.0
2026-06-15,30.0,中性,0.0
2026-06-22,75.0,看多,1.0
2026-06-29,75.0,看多,1.0
2026-07-06,37.5,中性,0.0
2026-07-13,22.5,看空,0.0
2026-07-20,62.5,中性,0.0
2026-07-27,77.5,看多,1.0
2026-08-03,75.0,看多,1.0
2026-08-10,67.5,中性,0.0
2026-08-17,72.5,看多,1.0
2026-08-24,70.0,看多,1.0
2026-08-31,82.5,看多,1.0
