signal_date,总分,结论,仓位
2024-01-16,57.5,中性,0.0
2024-01-17,55.0,中性,0.0
2024-01-18,52.5,中性,0.0
2024-01-19,62.5,中性,0.0
2024-01-22,60.0,中性,0.0
2024-01-23,50.0,中性,0.0
2024-01-24,50.0,中性,0.0
2024-01-25,42.5,中性,0.0
2024-01-26,30.0,中性,0.0
2024-01-29,32.5,中性,0.0
2024-01-30,22.5,看空,0.0
2024-01-31,20.0,看空,0.0
2024-02-01,32.5,中性,0.0
2024-02-02,42.5,中性,0.0
2024-02-05,42.5,中性,0.0
2024-02-06,65.0,中性,0.0
2024-02-07,62.5,中性,0.0
2024-02-19,42.5,中性,0.0
2024-02-20,30.0,中性,0.0
2024-02-21,37.5,中性,0.0
2024-02-22,40.0,中性,0.0
2024-02-23,42.5,中性,0.0
2024-02-26,25.0,看空,0.0
2024-02-27,40.0,中性,0.0
2024-02-28,35.0,中性,0.0
2024-02-29,50.0,中性,0.0
2024-03-01,60.0,中性,0.0
2024-03-04,60.0,中性,0.0
2024-03-05,60.0,中性,0.0
2024-03-06,72.5,看多,1.0
2024-03-07,75.0,看多,1.0
2024-03-08,42.5,中性,0.0
2024-03-11,52.5,中性,0.0
2024-03-12,27.5,看空,0.0
2024-03-13,30.0,中性,0.0
2024-03-14,20.0,看空,0.0
2024-03-15,37.5,中性,0.0
2024-03-18,40.0,中性,0.0
2024-03-19,62.5,中性,0.0
2024-03-20,62.5,中性,0.0
2024-03-21,50.0,中性,0.0
2024-03-22,50.0,中性,0.0
2024-03-25,30.0,中性,0.0
2024-03-26,32.5,中性,0.0
2024-03-27,32.5,中性,0.0
2024-03-28,45.0,中性,0.0
2024-03-29,47.5,中性,0.0
2024-04-01,65.0,中性,0.0
2024-04-02,65.0,中性,0.0
2024-04-03,75.0,看多,1.0
2024-04-08,52.5,中性,0.0
2024-04-09,52.5,中性,0.0
2024-04-10,62.5,中性,0.0
2024-04-11,65.0,中性,0.0
2024-04-12,47.5,中性,0.0
2024-04-15,37.5,中性,0.0
2024-04-16,75.0,看多,1.0
2024-04-17,75.0,看多,1.0
2024-04-18,82.5,看多,1.0
2024-04-19,72.5,看多,1.0
2024-04-22,72.5,看多,1.0
2024-04-23,67.5,中性,0.0
2024-04-24,70.0,看多,1.0
2024-04-25,60.0,中性,0.0
2024-04-26,67.5,中性,0.0
2024-04-29,52.5,中性,0.0
2024-04-30,12.5,看空,0.0
2024-05-06,15.0,看空,0.0
2024-05-07,22.5,看空,0.0
2024-05-08,32.5,中性,0.0
2024-05-09,37.5,中性,0.0
2024-05-10,82.5,看多,1.0
2024-05-13,67.5,中性,0.0
2024-05-14,17.5,看空,0.0
2024-05-15,62.5,中性,0.0
2024-05-16,20.0,看空,0.0
