交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2024-01-18,2024-01-26,2024-01-26,多头,1.0,1.0,7,2.1999999999999797,0.9800000000000089,1.2199999999999709,是,是,已平仓
2,2024-03-04,2024-03-08,2024-03-08,多头,1.0,1.0,5,7.9299999999999855,8.5,-0.5700000000000145,是,是,已平仓
3,2024-04-08,2024-04-12,2024-04-12,多头,1.0,1.0,5,3.019999999998996,-1.1102230246251565e-16,3.019999999998996,是,是,已平仓
4,2024-04-22,2024-04-26,2024-04-26,多头,1.0,1.0,5,0.9299999999999935,-5.439999999998987,6.3699999999989805,是,是,已平仓
5,2024-05-13,2024-05-17,2024-05-17,多头,1.0,1.0,5,3.1500000000009996,0.4499999999989923,2.7000000000020075,是,是,已平仓
6,2024-06-11,2024-06-14,2024-06-14,多头,1.0,1.0,4,2.8300000000000196,2.7500000000009805,0.07999999999903906,是,是,已平仓
7,2024-07-22,2024-08-02,2024-08-02,多头,1.0,1.0,10,8.979999999999995,13.369999999999981,-4.389999999999986,是,是,已平仓
8,2024-10-14,2024-10-18,2024-10-18,多头,1.0,1.0,5,5.760000000000002,3.080000000000027,2.6799999999999744,是,是,已平仓
9,2024-11-04,2024-11-15,2024-11-15,多头,1.0,1.0,10,5.099999999998994,4.580000000000002,0.5199999999989924,是,是,已平仓
10,2025-03-10,2025-03-14,2025-03-14,多头,1.0,1.0,5,-7.339999999999986,-3.149999999999993,-4.189999999999992,否,是,已平仓
11,2025-04-28,2025-04-30,2025-04-30,多头,1.0,1.0,3,5.04000000000001,3.6299999999999875,1.4100000000000223,是,是,已平仓
12,2025-05-12,2025-05-16,2025-05-16,多头,1.0,1.0,5,-2.5000000000000027,-4.4199999999999795,1.9199999999999768,否,是,已平仓
13,2025-05-26,2025-05-30,2025-05-30,多头,1.0,1.0,5,-1.2000000000000204,4.959999999999999,-6.16000000000002,否,是,已平仓
14,2025-06-16,2025-06-20,2025-06-20,多头,1.0,1.0,5,1.7100000000000104,0.439999999999989,1.2700000000000213,是,是,已平仓
15,2025-10-09,2025-10-17,2025-10-17,多头,1.0,1.0,7,2.5299999999989913,3.5900000000000167,-1.0600000000010255,是,是,已平仓
16,2025-11-10,2025-11-14,2025-11-14,多头,1.0,1.0,5,-0.11000000000000548,0.01999999999998528,-0.12999999999999076,否,是,已平仓
17,2025-12-15,2025-12-19,2025-12-19,多头,1.0,1.0,5,0.4699999999999844,0.879999999999978,-0.40999999999999365,是,是,已平仓
18,2025-12-29,2025-12-31,2025-12-31,多头,1.0,1.0,3,-2.109999999999994,-0.9699999999999986,-1.1399999999999955,否,是,已平仓
19,2026-05-06,2026-05-08,2026-05-08,多头,1.0,1.0,3,0.6000000000000099,-1.7500000000000155,2.3500000000000254,是,是,已平仓
