signal_date,总分,结论,仓位
2024-01-15,77.5,看多,1.0
2024-01-22,72.5,看多,1.0
2024-01-29,50.0,中性,0.0
2024-02-05,40.0,中性,0.0
2024-02-26,27.5,看空,0.0
2024-03-04,77.5,看多,1.0
2024-03-11,50.0,中性,0.0
2024-03-18,30.0,中性,0.0
2024-03-25,32.5,中性,0.0
2024-04-01,67.5,中性,0.0
2024-04-08,80.0,看多,1.0
2024-04-15,60.0,中性,0.0
2024-04-22,75.0,看多,1.0
2024-04-29,60.0,中性,0.0
2024-05-06,20.0,看空,0.0
2024-05-13,70.0,看多,1.0
2024-05-20,20.0,看空,0.0
2024-05-27,35.0,中性,0.0
2024-06-03,55.0,中性,0.0
2024-06-10,75.0,看多,1.0
2024-06-17,15.0,看空,0.0
2024-06-24,55.0,中性,0.0
2024-07-01,55.0,中性,0.0
2024-07-08,50.0,中性,0.0
2024-07-15,37.5,中性,0.0
2024-07-22,70.0,看多,1.0
2024-07-29,70.0,看多,1.0
2024-08-05,32.5,中性,0.0
2024-08-12,57.5,中性,0.0
2024-08-19,35.0,中性,0.0
2024-08-26,5.0,看空,0.0
2024-09-02,37.5,中性,0.0
2024-09-09,37.5,中性,0.0
2024-09-16,25.0,看空,0.0
2024-09-23,42.5,中性,0.0
2024-09-30,37.5,中性,0.0
2024-10-07,40.0,中性,0.0
2024-10-14,90.0,看多,1.0
2024-10-21,35.0,中性,0.0
2024-10-28,27.5,看空,0.0
2024-11-04,72.5,看多,1.0
2024-11-11,70.0,看多,1.0
2024-11-18,37.5,中性,0.0
2024-11-25,27.5,看空,0.0
2024-12-02,32.5,中性,0.0
2024-12-09,32.5,中性,0.0
2024-12-16,47.5,中性,0.0
2024-12-23,52.5,中性,0.0
2025-01-06,67.5,中性,0.0
2025-01-13,42.5,中性,0.0
2025-01-20,47.5,中性,0.0
2025-01-27,55.0,中性,0.0
2025-02-03,47.5,中性,0.0
2025-02-10,35.0,中性,0.0
2025-02-17,45.0,中性,0.0
2025-02-24,2.5,看空,0.0
2025-03-03,27.5,看空,0.0
2025-03-10,75.0,看多,1.0
2025-03-17,25.0,看空,0.0
2025-03-24,32.5,中性,0.0
2025-03-31,37.5,中性,0.0
2025-04-07,50.0,中性,0.0
2025-04-14,47.5,中性,0.0
2025-04-21,55.0,中性,0.0
2025-04-28,82.5,看多,1.0
2025-05-05,65.0,中性,0.0
2025-05-12,72.5,看多,1.0
2025-05-19,40.0,中性,0.0
2025-05-26,80.0,看多,1.0
2025-06-02,45.0,中性,0.0
2025-06-09,37.5,中性,0.0
2025-06-16,80.0,看多,1.0
2025-06-23,62.5,中性,0.0
2025-06-30,55.0,中性,0.0
2025-07-07,62.5,中性,0.0
2025-07-14,60.0,中性,0.0
2025-07-21,15.0,看空,0.0
2025-07-28,37.5,中性,0.0
2025-08-04,50.0,中性,0.0
2025-08-11,65.0,中性,0.0
2025-08-18,15.0,看空,0.0
2025-08-25,27.5,看空,0.0
2025-09-01,65.0,中性,0.0
2025-09-08,60.0,中性,0.0
2025-09-15,45.0,中性,0.0
2025-09-22,60.0,中性,0.0
2025-09-29,50.0,中性,0.0
2025-10-06,90.0,看多,1.0
2025-10-13,70.0,看多,1.0
2025-10-20,50.0,中性,0.0
2025-10-27,55.0,中性,0.0
2025-11-03,62.5,中性,0.0
2025-11-10,70.0,看多,1.0
2025-11-17,40.0,中性,0.0
2025-11-24,20.0,看空,0.0
2025-12-01,57.5,中性,0.0
2025-12-08,57.5,中性,0.0
2025-12-15,70.0,看多,1.0
2025-12-22,65.0,中性,0.0
2025-12-29,75.0,看多,1.0
2026-01-05,65.0,中性,0.0
2026-01-12,42.5,中性,0.0
2026-01-19,52.5,中性,0.0
2026-01-26,40.0,中性,0.0
2026-02-02,32.5,中性,0.0
2026-02-09,32.5,中性,0.0
2026-03-02,22.5,看空,0.0
2026-03-09,65.0,中性,0.0
2026-03-16,37.5,中性,0.0
2026-03-23,27.5,看空,0.0
2026-03-30,55.0,中性,0.0
2026-04-06,47.5,中性,0.0
2026-04-13,55.0,中性,0.0
2026-04-20,62.5,中性,0.0
2026-04-27,42.5,中性,0.0
2026-05-04,77.5,看多,1.0
2026-05-11,50.0,中性,0.0
2026-05-18,62.5,中性,0.0
2026-05-25,32.5,中性,0.0
2026-06-01,47.5,中性,0.0
2026-06-08,62.5,中性,0.0
2026-06-15,37.5,中性,0.0
2026-06-22,47.5,中性,0.0
2026-06-29,47.5,中性,0.0
2026-07-06,35.0,中性,0.0
2026-07-13,45.0,中性,0.0
2026-07-20,30.0,中性,0.0
2026-07-27,45.0,中性,0.0
2026-08-03,47.5,中性,0.0
2026-08-10,47.5,中性,0.0
2026-08-17,40.0,中性,0.0
2026-08-24,30.0,中性,0.0
2026-08-31,47.5,中性,0.0
