交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2024-02-05,2024-02-23,2024-02-23,多头,1.0,1.0,9,6.999999999999992,2.3499999999990195,4.650000000000972,是,是,已平仓
2,2024-03-04,2024-03-15,2024-03-15,多头,1.0,1.0,10,6.02000000000099,4.75000000000003,1.2700000000009597,是,是,已平仓
3,2024-04-08,2024-04-26,2024-04-26,多头,1.0,1.0,15,5.2899999999990115,-3.1799999999999886,8.469999999999,是,是,已平仓
4,2024-05-13,2024-05-17,2024-05-17,多头,1.0,1.0,5,3.1500000000009996,0.4499999999989923,2.7000000000020075,是,是,已平仓
5,2024-06-11,2024-06-14,2024-06-14,多头,1.0,1.0,4,2.8300000000000196,2.7500000000009805,0.07999999999903906,是,是,已平仓
6,2024-06-24,2024-06-28,2024-06-28,多头,1.0,1.0,5,3.1700000000000133,5.129999999998989,-1.959999999998976,是,是,已平仓
7,2024-07-15,2024-07-26,2024-07-26,多头,1.0,1.0,10,3.960000000001012,7.350000000001973,-3.390000000000961,是,是,已平仓
8,2024-08-05,2024-08-16,2024-08-16,多头,1.0,1.0,10,-2.9399999999999915,-7.010000000000002,4.07000000000001,否,是,已平仓
9,2024-10-18,2024-10-18,2024-10-18,多头,1.0,1.0,1,0.0,0.0,0.0,否,是,已平仓
10,2024-11-04,2024-11-15,2024-11-15,多头,1.0,1.0,10,5.099999999998994,4.580000000000002,0.5199999999989924,是,是,已平仓
11,2025-02-05,2025-02-21,2025-02-21,多头,1.0,1.0,13,-6.1599999999990125,-9.010000000000996,2.850000000001984,否,是,已平仓
12,2025-03-31,2025-04-11,2025-04-11,多头,1.0,1.0,9,13.829999999998982,15.580000000000002,-1.7500000000010196,是,是,已平仓
13,2025-04-18,2025-05-16,2025-05-16,多头,1.0,1.0,18,4.979999999999983,-2.9999999999999827,7.979999999999965,是,是,已平仓
14,2025-05-26,2025-06-06,2025-06-06,多头,1.0,1.0,9,0.7499999999999868,6.610000000000019,-5.860000000000032,是,是,已平仓
15,2025-06-16,2025-06-20,2025-06-20,多头,1.0,1.0,5,1.7100000000000104,0.439999999999989,1.2700000000000213,是,是,已平仓
16,2025-06-30,2025-07-04,2025-07-04,多头,1.0,1.0,5,2.7500000000000098,0.2900000000000125,2.4599999999999973,是,是,已平仓
17,2025-07-14,2025-07-18,2025-07-18,多头,1.0,1.0,5,1.0799999999999699,0.23000000000002177,0.8499999999999481,是,是,已平仓
18,2025-08-04,2025-08-08,2025-08-08,多头,1.0,1.0,5,-0.2100000000000016,1.6800000000000148,-1.8900000000000163,否,是,已平仓
19,2025-09-01,2025-09-05,2025-09-05,多头,1.0,1.0,5,0.47999999999902343,1.1900000000000106,-0.7100000000009872,是,是,已平仓
20,2025-09-22,2025-09-26,2025-09-26,多头,1.0,1.0,5,-1.770000000000001,0.2100000000000024,-1.9800000000000033,否,是,已平仓
21,2025-10-09,2025-10-10,2025-10-10,多头,1.0,1.0,2,-0.9200000000009896,1.4499999999999929,-2.3700000000009824,否,是,已平仓
22,2025-11-03,2025-11-14,2025-11-14,多头,1.0,1.0,10,3.6399999999999983,-1.8599999999999868,5.499999999999985,是,是,已平仓
23,2025-12-29,2026-01-09,2026-01-09,多头,1.0,1.0,8,-3.4700000000000015,-4.060000000000002,0.5900000000000007,否,是,已平仓
24,2026-02-09,2026-02-27,2026-02-27,多头,1.0,1.0,9,-0.35999999999900717,2.2499999999999956,-2.609999999999003,否,是,已平仓
25,2026-03-09,2026-03-13,2026-03-13,多头,1.0,1.0,5,-0.09999999999999631,-3.3299999999999996,3.230000000000003,否,是,已平仓
26,2026-03-30,2026-05-08,2026-05-08,多头,1.0,1.0,26,6.85999999999902,3.3500000000009917,3.509999999998028,是,是,已平仓
27,2026-05-18,2026-05-22,2026-05-22,多头,1.0,1.0,5,1.7400000000000053,1.3900000000000023,0.350000000000003,是,是,已平仓
28,2026-06-01,2026-06-12,2026-06-12,多头,1.0,1.0,10,-1.9500000000000068,-3.3699999999989987,1.4199999999989918,否,是,已平仓
29,2026-06-22,2026-07-03,2026-07-03,多头,1.0,1.0,10,0.6500000000009973,-1.640000000000009,2.2900000000010063,是,是,已平仓
30,2026-07-27,2026-08-07,2026-08-07,多头,1.0,1.0,10,2.3499999999999908,1.6799999999999804,0.6700000000000104,是,是,已平仓
31,2026-08-17,,2026-09-04,多头,1.0,1.0,15,0.0,1.6000000000000043,-1.6000000000000043,否,否,未平仓
