交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2024-01-19,2024-01-19,2024-01-19,多头,1.0,1.0,1,0.8500000000009889,0.6499999999999908,0.20000000000099805,是,是,已平仓
2,2024-02-01,2024-02-08,2024-02-08,多头,1.0,1.0,6,1.6599999999999948,-0.4900000000000042,2.149999999999999,是,是,已平仓
3,2024-02-21,2024-02-21,2024-02-21,多头,1.0,1.0,1,0.6399999999999808,0.1499999999999765,0.4900000000000043,是,是,已平仓
4,2024-02-23,2024-02-23,2024-02-23,多头,1.0,1.0,1,0.0700000000000006,0.2399999999999971,-0.1699999999999965,是,是,已平仓
5,2024-02-29,2024-03-06,2024-03-06,多头,1.0,1.0,5,3.1499999999999932,7.260000000000009,-4.110000000000015,是,是,已平仓
6,2024-03-11,2024-03-11,2024-03-11,多头,1.0,1.0,1,-0.5199999999989935,-2.249999999999995,1.7300000000010016,否,是,已平仓
7,2024-03-15,2024-03-15,2024-03-15,多头,1.0,1.0,1,1.2600000000000111,2.2499999999990234,-0.9899999999990123,是,是,已平仓
8,2024-03-21,2024-03-22,2024-03-22,多头,1.0,1.0,2,-1.6499999999990134,-0.999999999999994,-0.6499999999990194,否,是,已平仓
9,2024-04-03,2024-04-08,2024-04-08,多头,1.0,1.0,2,1.2100000000010018,1.0500000000000091,0.16000000000099268,是,是,已平仓
10,2024-04-10,2024-04-24,2024-04-24,多头,1.0,1.0,11,6.279999999999999,0.0,6.279999999999999,是,是,已平仓
11,2024-04-26,2024-04-26,2024-04-26,多头,1.0,1.0,1,-2.7800000000000047,-4.719999999998996,1.9399999999989914,否,是,已平仓
12,2024-05-10,2024-05-13,2024-05-13,多头,1.0,1.0,2,2.459999999999997,2.85999999999998,-0.39999999999998304,是,是,已平仓
13,2024-05-21,2024-05-21,2024-05-21,多头,1.0,1.0,1,-1.3100000000000265,-0.3599999999999784,-0.9500000000000481,否,是,已平仓
14,2024-06-04,2024-06-11,2024-06-11,多头,1.0,1.0,5,5.560000000000009,0.6199999999999957,4.940000000000014,是,是,已平仓
15,2024-06-14,2024-06-14,2024-06-14,多头,1.0,1.0,1,0.6800000000000208,1.1999999999999855,-0.5199999999999647,是,是,已平仓
16,2024-06-19,2024-06-21,2024-06-21,多头,1.0,1.0,3,0.3299999999999832,-0.3399999999999931,0.6699999999999763,是,是,已平仓
17,2024-06-28,2024-07-01,2024-07-01,多头,1.0,1.0,2,-4.950000000000024,-4.049999999999991,-0.9000000000000332,否,是,已平仓
18,2024-07-03,2024-07-03,2024-07-03,多头,1.0,1.0,1,2.149999999999999,-0.5699999999990089,2.7199999999990077,是,是,已平仓
19,2024-07-15,2024-07-15,2024-07-15,多头,1.0,1.0,1,0.0099999999999753,0.6300000000000056,-0.6200000000000303,是,是,已平仓
20,2024-07-17,2024-07-24,2024-07-24,多头,1.0,1.0,6,2.0299999999999834,2.3199999999989895,-0.28999999999900616,是,是,已平仓
21,2024-07-30,2024-07-30,2024-07-30,多头,1.0,1.0,1,1.2599999999999765,0.9400000000000032,0.3199999999999733,是,是,已平仓
22,2024-08-01,2024-08-01,2024-08-01,多头,1.0,1.0,1,2.389999999999996,1.9699999999999929,0.42000000000000326,是,是,已平仓
23,2024-08-05,2024-08-12,2024-08-12,多头,1.0,1.0,6,-5.439999999998987,-12.309999999999995,6.870000000001008,否,是,已平仓
24,2024-09-05,2024-09-06,2024-09-06,多头,1.0,1.0,2,1.1699999999990192,-0.5199999999989935,1.6899999999980126,是,是,已平仓
25,2024-09-20,2024-09-20,2024-09-20,多头,1.0,1.0,1,1.250000000000001,0.190000000000988,1.059999999999013,是,是,已平仓
26,2024-10-16,2024-10-16,2024-10-16,多头,1.0,1.0,1,0.0,0.0,0.0,否,是,已平仓
27,2024-10-31,2024-10-31,2024-10-31,多头,1.0,1.0,1,0.0400000000000053,1.2099999999990243,-1.169999999999019,是,是,已平仓
28,2024-11-04,2024-11-13,2024-11-13,多头,1.0,1.0,8,4.999999999998998,5.300000000000027,-0.3000000000010292,是,是,已平仓
29,2024-11-15,2024-11-18,2024-11-18,多头,1.0,1.0,2,-2.0200000000000085,-3.0900000000000025,1.069999999999994,否,是,已平仓
30,2024-12-06,2024-12-06,2024-12-06,多头,1.0,1.0,1,0.5400000000000196,-0.7700000000000068,1.3100000000000263,是,是,已平仓
