信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给/发行量_得分,供给/发行占比_得分,供给/10Y以上发行_得分,需求/银行总净买入_得分,估值/地方债-国债利差_得分,估值/地方债-国债利差变化_得分,估值/地方债-NCD利差_得分,情绪/非银情绪_得分
2022-01-13,2022-01-14,1.0,看多,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,5.0,0.0,0.0,2.5,0.0,45.0
2022-01-14,2022-01-17,1.0,看多,0.00012473015873015747,-0.0005535168393521195,0.000678246998082277,0.0001247301587301,0.0,0.0,-0.7699999999990006,0.7699999999990006,否,其他,否,否,其他,0.0,20.0,5.0,0.0,0.0,2.5,0.0,45.0
2022-01-17,2022-01-18,1.0,看多,0.002030075363925521,0.000757413748194935,0.001272661615730586,0.0001247301587301,0.0019053452051953,2.2500000000000298,0.7499999999990153,1.5000000000010143,是,有效进攻,是,否,有效进攻,0.0,20.0,5.0,0.0,0.0,2.5,0.0,45.0
2022-01-18,2022-01-19,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,5.0,0.0,45.0
2022-01-19,2022-01-20,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,5.0,0.0,45.0
2022-01-20,2022-01-21,1.0,看多,0.003945871365900411,0.00048026727828265336,0.0034656040876177574,0.0001220476190476,0.0038238237468528,4.49999999999999,0.4299999999990075,4.070000000000983,是,有效进攻,是,否,有效进攻,0.0,20.0,0.0,0.0,0.0,5.0,0.0,45.0
2022-01-21,2022-01-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,5.0,0.0,45.0
2022-01-24,2022-01-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,5.0,0.0,45.0
2022-01-25,2022-01-26,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,0.0,0.0,0.0,2.5,0.0,45.0
2022-01-26,2022-01-27,1.0,看多,0.00011904761904757422,-0.0013397012818212595,0.0014587489008688337,0.0001190476190476,0.0,0.0,-1.6700000000000048,1.6700000000000048,否,其他,否,否,其他,0.0,20.0,0.0,0.0,0.0,5.0,0.0,45.0
2022-01-27,2022-01-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,2.5,0.0,45.0
2022-01-28,2022-02-07,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,0.0,0.0,2.5,0.0,45.0
2022-02-07,2022-02-08,1.0,看多,-0.001389234546219087,-0.0019281952288328075,0.0005389606826137205,0.0001195793650793,-0.0015088139112985,-1.770000000000001,-2.3499999999999908,0.5799999999999899,否,其他,否,是,其他,0.0,40.0,5.0,0.0,0.0,2.5,0.0,45.0
2022-02-08,2022-02-09,1.0,看多,0.00018841518634649113,0.00035903518561286596,-0.00017061999926637483,0.0001202817460317,6.813344031491617e-05,0.0799999999990044,0.2899999999999778,-0.21000000000097338,是,有效进攻,是,否,有效进攻,0.0,40.0,5.0,0.0,0.0,5.0,0.0,45.0
2022-02-09,2022-02-10,1.0,看多,0.0016533149487412135,-0.0007658287001727215,0.002419143648913935,0.00012025,0.0015330649487413,1.799999999999996,-1.010000000000004,2.81,是,其他,否,否,其他,0.0,40.0,5.0,0.0,0.0,2.5,0.0,45.0
2022-02-10,2022-02-11,1.0,看多,8.543631118018702e-05,0.00010844444444435553,-2.3008133264168507e-05,0.0001195357142857,-3.4099403105600515e-05,-0.0400000000000053,0.0,-0.0400000000000053,否,其他,是,否,有效进攻,0.0,40.0,5.0,0.0,0.0,5.0,0.0,45.0
2022-02-11,2022-02-14,1.0,看多,-0.004603119365177988,-0.004760217762742713,0.00015709839756472554,0.0001195515873015,-0.0047226709524796,-5.539999999999989,-5.629999999999975,0.08999999999998565,否,其他,否,是,其他,0.0,40.0,10.0,0.0,0.0,5.0,0.0,45.0
2022-02-14,2022-02-15,1.0,看多,-0.00020127406655945368,-0.0009844111541446043,0.0007831370875851507,0.00012175,-0.0003230240665595,-0.3799999999999984,-1.2700000000000211,0.8900000000000228,否,其他,否,是,其他,0.0,40.0,5.0,0.0,0.0,2.5,0.0,45.0
2022-02-15,2022-02-16,1.0,看多,-0.001203941309134815,0.0005420394585440302,-0.0017459807676788452,0.0001219007936507,-0.0013258421027855,-1.559999999999999,0.5000000000000143,-2.0600000000000134,否,其他,是,是,其他,0.0,20.0,5.0,0.0,0.0,2.5,0.0,45.0
2022-02-16,2022-02-17,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,0.0,0.0,0.0,2.5,0.0,45.0
2022-02-17,2022-02-18,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,0.0,0.0,0.0,0.0,0.0,45.0
2022-02-18,2022-02-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,0.0,0.0,0.0,2.5,0.0,45.0
2022-02-21,2022-02-22,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,5.0,0.0,45.0
2022-02-22,2022-02-23,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,2.5,0.0,45.0
2022-02-23,2022-02-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,2.5,0.0,45.0
2022-02-24,2022-02-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,2.5,0.0,45.0
2022-02-25,2022-02-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,0.0,0.0,0.0,0.0,45.0
2022-02-28,2022-03-01,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,2022-03-02,1.0,看多,0.000929201575309957,-0.0022628544392232497,0.0031920560145332066,0.0001249801587301,0.0008042214165797,0.950000000000048,-2.7500000000000093,3.7000000000000575,是,其他,否,否,其他,0.0,40.0,10.0,0.0,0.0,0.0,0.0,45.0
2022-03-02,2022-03-03,1.0,看多,0.0005819604455770122,-0.0011813140365504182,0.0017632744821274304,0.0001246031746031,0.0004573572709739,0.5399999999999849,-1.4999999999999736,2.0399999999999583,是,其他,否,否,其他,0.0,20.0,5.0,0.0,0.0,0.0,0.0,45.0
2022-03-03,2022-03-04,1.0,看多,-0.0015445765002327638,-0.0009644699506605736,-0.0005801065495721902,0.0001243888888888,-0.0016689653891217,-1.9700000000000275,-1.250000000000001,-0.7200000000000264,否,该空没空,否,是,该空没空,0.0,40.0,5.0,0.0,0.0,2.5,0.0,45.0
2022-03-04,2022-03-07,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,40.0,5.0,0.0,0.0,2.5,0.0,0.0
2022-03-07,2022-03-08,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,5.0,0.0,0.0,5.0,0.0,0.0
2022-03-08,2022-03-09,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,0.0,0.0,0.0,2.5,0.0,0.0
2022-03-09,2022-03-10,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,0.0,0.0,0.0,2.5,0.0,0.0
2022-03-10,2022-03-11,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-11,2022-03-14,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,0.0,0.0,0.0,2.5,0.0,0.0
2022-03-14,2022-03-15,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,2022-03-16,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,5.0,0.0,0.0,2.5,0.0,0.0
2022-03-16,2022-03-17,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,5.0,0.0,0.0,2.5,0.0,0.0
2022-03-17,2022-03-18,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0
2022-03-18,2022-03-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,2022-03-22,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,20.0,0.0,0.0,0.0,2.5,0.0,0.0
