交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-04-06,2022-04-15,2022-04-15,多头,1.0,1.0,8,2.410000000000017,1.6500000000000195,0.7599999999999976,是,是,已平仓
2,2022-05-05,2022-05-06,2022-05-06,多头,1.0,1.0,2,5.5899999999999705,1.13000000000002,4.45999999999995,是,是,已平仓
3,2022-08-29,2022-09-02,2022-09-02,多头,1.0,1.0,5,3.33,2.039999999999993,1.2900000000000071,是,是,已平仓
4,2022-11-21,2022-11-25,2022-11-25,多头,1.0,1.0,5,2.360000000001007,-0.49999999999997957,2.8600000000009866,是,是,已平仓
5,2023-01-09,2023-01-13,2023-01-13,多头,1.0,1.0,5,4.179999999999983,-6.819999999999014,10.999999999998998,是,是,已平仓
6,2023-05-04,2023-05-05,2023-05-05,多头,1.0,1.0,2,2.8500000000010117,4.49999999999999,-1.6499999999989785,是,是,已平仓
7,2023-07-10,2023-07-14,2023-07-14,多头,1.0,1.0,5,4.409999999998998,-0.40999999999999365,4.819999999998992,是,是,已平仓
8,2023-11-13,2023-12-01,2023-12-01,多头,1.0,1.0,15,3.3000000000000047,-1.8100000000000058,5.11000000000001,是,是,已平仓
9,2023-12-11,2024-01-19,2024-01-19,多头,1.0,1.0,29,20.960000000000978,16.240000000000006,4.720000000000972,是,是,已平仓
10,2024-03-04,2024-03-08,2024-03-08,多头,1.0,1.0,5,7.9299999999999855,8.5,-0.5700000000000145,是,是,已平仓
11,2024-04-01,2024-04-12,2024-04-12,多头,1.0,1.0,8,4.329999999999994,0.6399999999990094,3.6900000000009845,是,是,已平仓
12,2024-05-13,2024-05-17,2024-05-17,多头,1.0,1.0,5,3.1500000000009996,0.4499999999989923,2.7000000000020075,是,是,已平仓
13,2024-06-11,2024-06-14,2024-06-14,多头,1.0,1.0,4,2.8300000000000196,2.7500000000009805,0.07999999999903906,是,是,已平仓
14,2024-10-14,2024-10-18,2024-10-18,多头,1.0,1.0,5,5.760000000000002,3.080000000000027,2.6799999999999744,是,是,已平仓
15,2024-11-04,2024-11-15,2024-11-15,多头,1.0,1.0,10,5.099999999998994,4.580000000000002,0.5199999999989924,是,是,已平仓
16,2025-03-10,2025-03-14,2025-03-14,多头,1.0,1.0,5,-7.339999999999986,-3.149999999999993,-4.189999999999992,否,是,已平仓
17,2025-04-21,2025-04-25,2025-04-25,多头,1.0,1.0,5,1.4399999999999828,-1.1299999999999852,2.5699999999999683,是,是,已平仓
18,2025-08-11,2025-08-15,2025-08-15,多头,1.0,1.0,5,-2.0000000000000226,-5.739999999999009,3.7399999999989864,否,是,已平仓
19,2025-10-09,2025-10-17,2025-10-17,多头,1.0,1.0,7,2.5299999999989913,3.5900000000000167,-1.0600000000010255,是,是,已平仓
20,2025-11-03,2025-11-07,2025-11-07,多头,1.0,1.0,5,3.7500000000000036,-1.8799999999999721,5.629999999999976,是,是,已平仓
21,2025-12-15,2025-12-19,2025-12-19,多头,1.0,1.0,5,0.4699999999999844,0.879999999999978,-0.40999999999999365,是,是,已平仓
22,2025-12-29,2025-12-31,2025-12-31,多头,1.0,1.0,3,-2.109999999999994,-0.9699999999999986,-1.1399999999999955,否,是,已平仓
23,2026-05-06,2026-05-08,2026-05-08,多头,1.0,1.0,3,0.6000000000000099,-1.7500000000000155,2.3500000000000254,是,是,已平仓
