指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1129,1129
期末净值,final_nav,1.0837713309411132,1.0367278694557776
累计收益率,total_return,0.08377133094111322,0.03672786945577755
年化收益率,annual_return,0.018134658426237404,0.00809062760212953
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.004134658426237404,-0.0059093723978704705
年化波动率,annual_volatility,0.007799414128768491,0.00807129982966469
夏普比率,sharpe,0.5301242321505316,-0.7321463113229393
最大回撤,max_drawdown,-0.008945398879700805,-0.009825761800119848
最大回撤起点,max_drawdown_start,2024-11-12,2024-11-12
最大回撤终点,max_drawdown_end,2025-08-14,2025-08-15
Calmar比率,calmar,2.0272610165421656,0.8234097026482818
日胜率_参考,win_rate,0.09477413640389726,0.07617360496014172
调仓周期数,signal_period_count,228,228
盈利调仓周期数,winning_signal_periods,28,23
调仓周期胜率,signal_period_win_rate,0.12280701754385964,0.10087719298245613
单周期平均收益,avg_signal_period_return,0.00035390476484940255,0.0001589965244534095
累计资本利得_BP,capital_gain_total_bp,75.83000000000094,25.87000000000107
年化资本利得_BP,capital_gain_annualized_bp,16.940744680851274,5.779468085106623
资本利得交易笔数,capital_gain_trade_count,23,23
已平仓交易笔数,capital_gain_closed_trade_count,23,23
资本利得盈利笔数,capital_gain_winning_trades,20,13
资本利得亏损笔数,capital_gain_losing_trades,3,10
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.8695652173913043,0.5652173913043478
平均单笔资本利得_BP,capital_gain_avg_trade_bp,3.296956521739171,1.1247826086956987
资本利得中位数_BP,capital_gain_median_trade_bp,3.1500000000009996,0.6399999999990094
平均每笔盈利_BP,capital_gain_avg_win_bp,4.364000000000047,3.848461538461464
平均每笔亏损_BP,capital_gain_avg_loss_bp,-3.8166666666666678,-2.4159999999997965
资本利得盈亏比,capital_gain_profit_loss_ratio,1.1434061135371298,1.5929062659196143
最佳交易_BP,capital_gain_best_trade_bp,20.960000000000978,16.240000000000006
最差交易_BP,capital_gain_worst_trade_bp,-7.339999999999986,-6.819999999999014
平均每笔持有交易日,capital_gain_avg_holding_days,6.565217391304348,6.565217391304348
最长单笔持有交易日,capital_gain_max_holding_days,29,29
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-11.450000000000017,-12.869999999999028
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-11-12,2022-11-24
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-08-14,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,1,3
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
