交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-14,2022-01-14,2022-01-14,多头,1.0,1.0,1,0.0,-0.7699999999990006,0.7699999999990006,否,是,已平仓
2,2022-03-01,2022-03-01,2022-03-01,多头,1.0,1.0,1,0.950000000000048,-2.7500000000000093,3.7000000000000575,是,是,已平仓
3,2022-03-14,2022-03-15,2022-03-15,多头,1.0,1.0,2,2.9200000000000057,-2.749999999999003,5.669999999999009,是,是,已平仓
4,2022-03-29,2022-03-31,2022-03-31,多头,1.0,1.0,3,1.1499999999999704,0.2499999999990008,0.9000000000009696,是,是,已平仓
5,2022-04-07,2022-04-12,2022-04-12,多头,1.0,1.0,4,2.389999999999997,-1.0100000000000038,3.400000000000001,是,是,已平仓
6,2022-06-02,2022-06-02,2022-06-02,多头,1.0,1.0,1,0.2799999999989963,-0.5000000000000143,0.7799999999990106,是,是,已平仓
7,2023-05-04,2023-05-04,2023-05-04,多头,1.0,1.0,1,2.380000000000021,1.7500000000000155,0.6300000000000057,是,是,已平仓
8,2023-06-01,2023-06-01,2023-06-01,多头,1.0,1.0,1,0.9399999999999686,0.2499999999999724,0.6899999999999962,是,是,已平仓
9,2023-10-27,2023-10-30,2023-10-30,多头,1.0,1.0,2,3.0600000000000076,0.110000000000006,2.9500000000000015,是,是,已平仓
10,2023-11-02,2023-11-06,2023-11-06,多头,1.0,1.0,3,-0.3900000000009798,2.989999999999972,-3.3800000000009516,否,是,已平仓
11,2023-11-08,2023-11-15,2023-11-15,多头,1.0,1.0,6,1.8699999999990253,-0.010000000000009779,1.879999999999035,是,是,已平仓
12,2023-11-20,2023-12-01,2023-12-01,多头,1.0,1.0,10,3.849999999999999,-1.0100000000000042,4.860000000000003,是,是,已平仓
13,2023-12-05,2023-12-14,2023-12-14,多头,1.0,1.0,8,3.069999999999983,3.489999999999986,-0.42000000000000304,是,是,已平仓
14,2023-12-18,2024-01-08,2024-01-08,多头,1.0,1.0,15,13.100000000000025,10.910000000000016,2.1900000000000084,是,是,已平仓
15,2024-01-10,2024-01-15,2024-01-15,多头,1.0,1.0,4,0.22999999999998721,-3.4999999999999964,3.7299999999999836,是,是,已平仓
16,2024-03-06,2024-03-06,2024-03-06,多头,1.0,1.0,1,1.999999999999988,5.189999999999986,-3.189999999999998,是,是,已平仓
17,2024-04-01,2024-04-01,2024-04-01,多头,1.0,1.0,1,-1.2699999999999865,-1.8100000000009773,0.5400000000009908,否,是,已平仓
18,2024-04-03,2024-04-03,2024-04-03,多头,1.0,1.0,1,0.5800000000009964,0.899999999999998,-0.31999999999900164,是,是,已平仓
19,2024-10-08,2024-10-11,2024-10-11,多头,1.0,1.0,4,-6.5799999999999885,1.259999999999976,-7.839999999999964,否,是,已平仓
20,2024-11-07,2024-11-11,2024-11-11,多头,1.0,1.0,3,1.6899999999999902,3.139999999999983,-1.4499999999999926,是,是,已平仓
21,2024-11-13,2024-11-13,2024-11-13,多头,1.0,1.0,1,-0.800000000000002,-1.4699999999999782,0.6699999999999762,否,是,已平仓
22,2025-01-03,2025-01-06,2025-01-06,多头,1.0,1.0,2,2.3899999999999966,1.1099999999989936,1.280000000001003,是,是,已平仓
23,2025-01-24,2025-01-24,2025-01-24,多头,1.0,1.0,1,0.0599999999999906,0.800000000000002,-0.7400000000000114,是,是,已平仓
24,2025-03-12,2025-03-14,2025-03-14,多头,1.0,1.0,3,-1.6400000000009807,5.359999999999012,-6.999999999999993,否,是,已平仓
25,2025-04-01,2025-04-01,2025-04-01,多头,1.0,1.0,1,0.6000000000000103,0.2500000000000071,0.3500000000000032,是,是,已平仓
26,2025-04-03,2025-04-03,2025-04-03,多头,1.0,1.0,1,6.029999999999994,7.069999999999993,-1.0399999999999991,是,是,已平仓
27,2025-06-30,2025-07-01,2025-07-01,多头,1.0,1.0,2,-0.7499999999999867,0.29000000000001247,-1.0399999999999991,否,是,已平仓
