指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1129,1129
期末净值,final_nav,1.0928117785542233,1.0492340323964107
累计收益率,total_return,0.09281177855422329,0.049234032396410665
年化收益率,annual_return,0.02002589947758837,0.010794746338595562
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.006025899477588371,-0.003205253661404438
年化波动率,annual_volatility,0.008824216349330066,0.009646009683616575
夏普比率,sharpe,0.6828821097576395,-0.33228804101746384
最大回撤,max_drawdown,-0.010530547309171578,-0.010824665160610869
最大回撤起点,max_drawdown_start,2025-01-08,2022-11-24
最大回撤终点,max_drawdown_end,2026-03-11,2023-01-13
Calmar比率,calmar,1.9016959792912964,0.9972360510397886
日胜率_参考,win_rate,0.12223206377325066,0.10451727192205491
调仓周期数,signal_period_count,228,228
盈利调仓周期数,winning_signal_periods,33,31
调仓周期胜率,signal_period_win_rate,0.14473684210526316,0.13596491228070176
单周期平均收益,avg_signal_period_return,0.0003906097470627833,0.00021183803935848652
累计资本利得_BP,capital_gain_total_bp,79.47,33.43
年化资本利得_BP,capital_gain_annualized_bp,17.753936170212764,7.468404255319149
资本利得交易笔数,capital_gain_trade_count,31,31
已平仓交易笔数,capital_gain_closed_trade_count,31,31
资本利得盈利笔数,capital_gain_winning_trades,22,18
资本利得亏损笔数,capital_gain_losing_trades,9,13
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.7096774193548387,0.5806451612903226
平均单笔资本利得_BP,capital_gain_avg_trade_bp,2.5635483870967737,1.0783870967741933
资本利得中位数_BP,capital_gain_median_trade_bp,2.950000000000002,0.879999999999978
平均每笔盈利_BP,capital_gain_avg_win_bp,4.6336363636364535,3.7799999999999403
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.496666666666885,-2.6623076923076114
资本利得盈亏比,capital_gain_profit_loss_ratio,1.8559291176112342,1.4198208610228464
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000017,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-7.339999999999986,-6.819999999999014
平均每笔持有交易日,capital_gain_avg_holding_days,6.580645161290323,6.580645161290323
最长单笔持有交易日,capital_gain_max_holding_days,20,20
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-15.370000000001994,-14.079999999999025
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-01-08,2022-11-24
资本利得最大回撤终点,capital_gain_max_drawdown_end,2026-06-11,2023-01-13
最长连续亏损笔数,capital_gain_longest_losing_streak,4,4
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
