指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1131,1131
期末净值,final_nav,1.1720199477425208,1.0644919704862523
累计收益率,total_return,0.17201994774252083,0.06449197048625233
年化收益率,annual_return,0.03603187142894804,0.014035111988136117
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.02203187142894804,3.51119881361172e-05
年化波动率,annual_volatility,0.01297481472584205,0.014163431560711297
夏普比率,sharpe,1.6980490199268101,0.0024790593992430636
最大回撤,max_drawdown,-0.007264836821225806,-0.017238595794755396
最大回撤起点,max_drawdown_start,2022-09-13,2022-01-20
最大回撤终点,max_drawdown_end,2022-11-25,2022-04-27
Calmar比率,calmar,4.959763352656878,0.8141679377624311
日胜率_参考,win_rate,0.26702033598585323,0.23342175066312998
调仓周期数,signal_period_count,1112,1112
盈利调仓周期数,winning_signal_periods,296,260
调仓周期胜率,signal_period_win_rate,0.26618705035971224,0.23381294964028776
单周期平均收益,avg_signal_period_return,0.000143090981712345,5.660530412447085e-05
累计资本利得_BP,capital_gain_total_bp,130.5800000000079,24.74999999999311
年化资本利得_BP,capital_gain_annualized_bp,29.120495575223007,5.519469026547136
资本利得交易笔数,capital_gain_trade_count,115,115
已平仓交易笔数,capital_gain_closed_trade_count,114,114
资本利得盈利笔数,capital_gain_winning_trades,72,55
资本利得亏损笔数,capital_gain_losing_trades,36,54
资本利得持平笔数,capital_gain_flat_trades,6,5
资本利得交易胜率,capital_gain_trade_win_rate,0.631578947368421,0.4824561403508772
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.1435964912281396,0.2092982456139747
资本利得中位数_BP,capital_gain_median_trade_bp,0.5250000000004904,0.0
平均每笔盈利_BP,capital_gain_avg_win_bp,2.7519444444445416,2.739090909090781
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.8824999999999745,-2.347962962962961
资本利得盈亏比,capital_gain_profit_loss_ratio,1.4618562785894176,1.1665818210497856
最佳交易_BP,capital_gain_best_trade_bp,14.90999999999999,14.750000000000005
最差交易_BP,capital_gain_worst_trade_bp,-7.689999999999989,-10.469999999999994
平均每笔持有交易日,capital_gain_avg_holding_days,4.043478260869565,4.043478260869565
最长单笔持有交易日,capital_gain_max_holding_days,28,28
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-11.939999999999035,-26.180000000002863
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-09-05,2022-01-20
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-11-25,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,5,5
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.21000000000000185,0.8899999999999879
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
