信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给|发行量_得分,供给|发行占比_得分,供给|10Y以上发行_得分,需求|银行总净买入_得分,估值|地方债-国债利差_得分,估值|地方债-国债利差变化_得分,估值|地方债-NCD利差_得分,情绪|非银情绪_得分
2022-01-17,2022-01-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,17.5,0.0,30.0
2022-01-24,2022-02-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,35.0,0.0,30.0
2022-02-14,2022-02-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,0.0,15.0,0.0,0.0,17.5,0.0,30.0
2022-02-21,2022-02-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,35.0,0.0,30.0
2022-02-28,2022-03-07,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,2022-03-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,35.0,0.0,0.0
2022-03-14,2022-03-21,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,2022-03-28,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,0.0,0.0,0.0,17.5,0.0,0.0
2022-03-28,2022-04-04,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,17.5,0.0,0.0
2022-04-04,2022-04-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,0.0,30.0,0.0,0.0,17.5,0.0,0.0
2022-04-11,2022-04-18,1.0,看多,0.0012560089962778687,0.00012307475701356374,0.001132934239264305,0.0006159126984125001,0.0006481736023328,0.7700000000000071,-0.49000000000097554,1.2600000000009826,是,其他,是,否,有效进攻,5.0,0.0,30.0,0.0,0.0,17.5,0.0,30.0
2022-04-18,2022-04-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,30.0,0.0,0.0,35.0,0.0,0.0
2022-04-25,2022-05-02,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,35.0,0.0,0.0
2022-05-02,2022-05-09,1.0,看多,0.004993285124373248,0.0011970067571169807,0.003796278367256267,0.00024751984126970003,0.0047395496360628005,5.5899999999999705,1.13000000000002,4.45999999999995,是,有效进攻,是,否,有效进攻,5.0,0.0,30.0,0.0,0.0,17.5,0.0,30.0
2022-05-09,2022-05-16,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0
2022-05-16,2022-05-23,1.0,看多,0.00410455923321984,0.0026174281298421143,0.0014871311033777257,0.0006080198412695,0.0034915313207945003,4.110000000000988,2.399999999999972,1.710000000001016,是,有效进攻,是,否,有效进攻,0.0,0.0,15.0,0.0,0.0,35.0,0.0,30.0
2022-05-23,2022-05-30,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
2022-05-30,2022-06-06,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,0.0,0.0,30.0
2022-06-06,2022-06-13,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,15.0,0.0,0.0,17.5,0.0,0.0
2022-06-13,2022-06-20,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-20,2022-06-27,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0
2022-06-27,2022-07-04,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0
2022-07-04,2022-07-11,1.0,看多,0.00018593339721117985,-0.0005501213749092848,0.0007360547721204647,0.0006203928571425,-0.0004277889560164998,-0.49999999999997957,-1.2900000000000058,0.7900000000000262,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,35.0,0.0,30.0
2022-07-11,2022-07-18,1.0,看多,0.005059888744474383,0.005105852485374207,-4.596374089982369e-05,0.0006150079365076,0.0044360105039126995,5.229999999999959,5.269999999999997,-0.04000000000003823,是,有效进攻,是,否,有效进攻,2.5,0.0,30.0,0.0,0.0,35.0,0.0,30.0
2022-07-18,2022-07-25,1.0,看多,0.0038561560914576187,0.0004341595109975671,0.0034219965804600516,0.0006069285714282999,0.0032464643185436,3.8200000000000034,-0.129999999999991,3.9499999999999944,是,其他,是,否,有效进攻,2.5,0.0,30.0,0.0,0.0,17.5,0.0,30.0
2022-07-25,2022-08-01,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,17.5,0.0,30.0
2022-08-01,2022-08-08,1.0,看多,0.003933547962432504,0.0024484977186796097,0.0014850502437528945,0.0005932539682537001,0.0033354656114995994,3.90999999999999,2.2099999999990185,1.7000000000009714,是,有效进攻,是,否,有效进攻,2.5,0.0,30.0,0.0,0.0,17.5,0.0,30.0
2022-08-08,2022-08-15,1.0,看多,-0.0005819064260730311,0.00047333127482396264,-0.0010552377008969938,0.0005903730158727,-0.0011709329277841472,-1.3699999999990105,-0.08000000000001067,-1.2899999999989997,否,该空没空,是,是,其他,5.0,0.0,30.0,0.0,0.0,17.5,0.0,30.0
2022-08-15,2022-08-22,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,17.5,0.0,0.0
2022-08-22,2022-08-29,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,30.0,0.0,0.0,0.0,0.0,30.0
2022-08-29,2022-09-05,1.0,看多,0.0034280509390349767,0.0022911871359452274,0.0011368638030897493,0.0005796031746030001,0.0028484100826496996,3.33,2.039999999999993,1.2900000000000071,是,有效进攻,是,否,有效进攻,5.0,0.0,15.0,0.0,0.0,35.0,0.0,30.0
2022-09-05,2022-09-12,1.0,看多,0.00024670350629674154,-0.0005591143336957094,0.0008058178399924509,0.00057521031746,-0.0003267378947401598,-0.37999999999999834,-1.239999999999991,0.8599999999999928,否,其他,否,否,其他,5.0,0.0,30.0,0.0,0.0,17.5,0.0,30.0
2022-09-12,2022-09-19,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,17.5,0.0,30.0
2022-09-19,2022-09-26,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,30.0,0.0,0.0,17.5,0.0,0.0
2022-09-26,2022-10-17,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,0.0,15.0,0.0,0.0,17.5,0.0,30.0
2022-10-17,2022-10-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,17.5,0.0,30.0
2022-10-24,2022-10-31,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,35.0,0.0,30.0
2022-10-31,2022-11-07,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2022-11-07,2022-11-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,15.0,0.0,0.0,17.5,0.0,30.0
2022-11-14,2022-11-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,0.0,15.0,0.0,0.0,35.0,0.0,0.0
2022-11-21,2022-11-28,1.0,看多,0.0026023514727593344,0.00011430538312162675,0.0024880460896377077,0.0005963809523806,0.0020081122147508003,2.360000000001007,-0.49999999999997957,2.8600000000009866,是,其他,是,否,有效进攻,5.0,0.0,30.0,0.0,0.0,35.0,0.0,0.0
2022-11-28,2022-12-05,1.0,看多,0.0013534346832764221,-0.0026721209095266207,0.004025555592803043,0.0005993690476188,0.0007569254225121,0.8899999999990168,-3.760000000000013,4.64999999999903,是,其他,否,否,其他,5.0,0.0,30.0,0.0,0.0,35.0,0.0,0.0
2022-12-05,2022-12-12,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,0.0,30.0,0.0,0.0,17.5,0.0,0.0
2022-12-12,2022-12-19,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,0.0,30.0,0.0,0.0,17.5,0.0,0.0
2022-12-19,2022-12-26,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
2022-12-26,2023-01-02,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0
2023-01-02,2023-01-09,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,0.0,15.0,0.0,0.0,17.5,0.0,30.0
