指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1129,1129
期末净值,final_nav,1.2407750742425783,1.1821100800931477
累计收益率,total_return,0.24077507424257827,0.18211008009314766
年化收益率,annual_return,0.049376727415356925,0.03808302321585799
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.035376727415356926,0.024083023215857993
年化波动率,annual_volatility,0.015537302436011006,0.01694097620090725
夏普比率,sharpe,2.2768899273894436,1.4215841478230908
最大回撤,max_drawdown,-0.011431558357732574,-0.011723058656954444
最大回撤起点,max_drawdown_start,2022-01-26,2022-01-24
最大回撤终点,max_drawdown_end,2022-04-13,2022-02-21
Calmar比率,calmar,4.319334763484573,3.2485569108080923
日胜率_参考,win_rate,0.33215234720992026,0.31443755535872453
调仓周期数,signal_period_count,228,228
盈利调仓周期数,winning_signal_periods,92,81
调仓周期胜率,signal_period_win_rate,0.40350877192982454,0.35526315789473684
单周期平均收益,avg_signal_period_return,0.0009494182586630921,0.0007373642602315309
累计资本利得_BP,capital_gain_total_bp,183.14000000000095,131.78999999999888
年化资本利得_BP,capital_gain_annualized_bp,40.91425531914915,29.44244680851039
资本利得交易笔数,capital_gain_trade_count,44,44
已平仓交易笔数,capital_gain_closed_trade_count,43,43
资本利得盈利笔数,capital_gain_winning_trades,35,30
资本利得亏损笔数,capital_gain_losing_trades,8,13
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.813953488372093,0.6976744186046512
平均单笔资本利得_BP,capital_gain_avg_trade_bp,4.2474418604651385,3.0532558139534625
资本利得中位数_BP,capital_gain_median_trade_bp,2.8300000000000196,1.449999999999993
平均每笔盈利_BP,capital_gain_avg_win_bp,5.628285714285771,5.364000000000063
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.7937500000001243,-2.279230769231002
资本利得盈亏比,capital_gain_profit_loss_ratio,3.1377202588350555,2.35342558218001
最佳交易_BP,capital_gain_best_trade_bp,40.07,40.49
最差交易_BP,capital_gain_worst_trade_bp,-3.4700000000000015,-4.060000000000001
平均每笔持有交易日,capital_gain_avg_holding_days,13.181818181818182,13.181818181818182
最长单笔持有交易日,capital_gain_max_holding_days,41,41
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-16.350000000000012,-16.360000000000014
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-01-24,2023-08-21
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-04-13,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,3,2
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.49999999999997974,0.49999999999997957
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
