日期,信号日期,总分,结论,目标仓位,仓位,止盈止损事件,条件基准仓位,交易标的到期收益率_百分比,比较基准到期收益率_百分比,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2022-01-13,2022-01-13,70.0,看多,1.0,1.0,,1.0,3.1432,2.7858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2022-01-14,2022-01-14,75.0,看多,1.0,1.0,,1.0,3.1432,2.7935,0.00012473015873015874,-0.0005535168393521149,0.00012473015873015874,-0.0,0.00011054761904761904,-0.000664064458399734,1.41825396825397e-05,0.000664064458399734,-0.0,-0.7699999999990006,0.7699999999990006,-0.0,-0.7699999999990006,0.7699999999990006,0.00012473015873015874,0.0,0.00011054761904761904,-0.000664064458399734,1.0001247301587302,0.9994464831606479,1.000678622627134
2022-01-17,2022-01-17,70.0,看多,1.0,1.0,,1.0,3.1207,2.786,0.002030075363925528,0.0007574137481949736,0.00012473015873015874,0.001905345205195369,0.00011085317460317421,0.0006465605735917994,1.3876984126984536e-05,0.0012587846316035696,2.2500000000000298,0.7499999999990153,1.5000000000010143,2.2500000000000298,-0.019999999999985252,2.2700000000000147,0.0002494603174603175,0.001905345205195369,0.00022140079365079327,-1.7503884807934587e-05,1.002155058734278,1.0002034776675788,1.001951184044321
2022-01-18,2022-01-18,52.5,中性,0.0,0.0,,0.0,3.0911,2.7415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2500000000000298,-0.019999999999985252,2.2700000000000147,0.0002494603174603175,0.001905345205195369,0.00022140079365079327,-1.7503884807934587e-05,1.002155058734278,1.0002034776675788,1.001951184044321
2022-01-19,2022-01-19,52.5,中性,0.0,0.0,,0.0,3.0756,2.7314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2500000000000298,-0.019999999999985252,2.2700000000000147,0.0002494603174603175,0.001905345205195369,0.00022140079365079327,-1.7503884807934587e-05,1.002155058734278,1.0002034776675788,1.001951184044321
2022-01-20,2022-01-20,70.0,看多,1.0,1.0,,1.0,3.0306,2.7271,0.003945871365900451,0.0004802672782827111,0.00012204761904761904,0.003823823746852832,0.0001083888888888885,0.0003718783893938226,1.365873015873054e-05,0.003451945357459009,4.49999999999999,0.42999999999900756,4.070000000000983,6.7500000000000195,0.4099999999990223,6.340000000000997,0.0003715079365079365,0.0057291689520482005,0.00032978968253968177,0.000354374504585888,1.0061094336847298,1.000683842669527,1.005421883300053
2022-01-21,2022-01-21,55.0,中性,0.0,0.0,,0.0,3.0393,2.71,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,6.7500000000000195,0.4099999999990223,6.340000000000997,0.0003715079365079365,0.0057291689520482005,0.00032978968253968177,0.000354374504585888,1.0061094336847298,1.000683842669527,1.005421883300053
2022-01-24,2022-01-24,52.5,中性,0.0,0.0,,0.0,3.0,2.6751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7500000000000195,0.4099999999990223,6.340000000000997,0.0003715079365079365,0.0057291689520482005,0.00032978968253968177,0.000354374504585888,1.0061094336847298,1.000683842669527,1.005421883300053
2022-01-25,2022-01-25,72.5,看多,1.0,1.0,,1.0,3.0,2.6979,0.00011904761904761905,-0.0018713812579201812,0.00011904761904761905,-0.0,0.00010615476190476191,-0.001977536019824943,1.2892857142857137e-05,0.001977536019824943,-0.0,-2.2799999999999905,2.2799999999999905,6.7500000000000195,-1.8700000000009682,8.620000000000989,0.0004905555555555555,0.0057291689520482005,0.00043594444444444366,-0.0016231615152390551,1.0062292086173112,0.9988111816812517,1.0074268561186641
2022-01-26,2022-01-26,70.0,看多,1.0,1.0,,1.0,3.0,2.7146,0.00011904761904761905,-0.001339701281821383,0.00011904761904761905,-0.0,0.00010705952380952381,-0.0014467608056309069,1.1988095238095236e-05,0.0014467608056309069,-0.0,-1.6700000000000048,1.6700000000000048,6.7500000000000195,-3.540000000000973,10.290000000000994,0.0006096031746031746,0.0057291689520482005,0.0005430039682539675,-0.0030699223208699618,1.0063489978088132,0.9974730730608559,1.0088984103808643
