交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-13,2022-01-17,2022-01-17,多头,1.0,1.0,3,2.2500000000000298,-0.019999999999985252,2.270000000000015,是,是,已平仓
2,2022-01-20,2022-01-20,2022-01-20,多头,1.0,1.0,1,4.49999999999999,0.42999999999900756,4.070000000000983,是,是,已平仓
3,2022-01-25,2022-01-26,2022-01-26,多头,1.0,1.0,2,0.0,-3.9499999999999953,3.9499999999999953,否,是,已平仓
4,2022-01-28,2022-02-16,2022-02-16,多头,1.0,1.0,9,-7.359999999998999,-5.440000000000999,-1.9199999999980006,否,是,已平仓
5,2022-02-18,2022-02-18,2022-02-18,多头,1.0,1.0,1,0.7700000000000068,-1.7599999999999907,2.5299999999999976,是,是,已平仓
6,2022-03-01,2022-03-03,2022-03-03,多头,1.0,1.0,3,-0.4799999999999942,-5.499999999999984,5.01999999999999,否,是,已平仓
7,2022-04-08,2022-04-11,2022-04-11,多头,1.0,1.0,2,1.670000000000005,-2.859999999999981,4.529999999999986,是,是,已平仓
8,2022-04-26,2022-05-10,2022-05-10,多头,1.0,1.0,8,7.960000000000987,0.7099999999990096,7.250000000001977,是,是,已平仓
9,2022-05-13,2022-05-18,2022-05-18,多头,1.0,1.0,4,7.660000000000029,2.5400000000000076,5.1200000000000205,是,是,已平仓
10,2022-06-30,2022-07-04,2022-07-04,多头,1.0,1.0,3,1.1299999999999852,-1.5100000000000182,2.6400000000000032,是,是,已平仓
11,2022-07-06,2022-08-12,2022-08-12,多头,1.0,1.0,28,11.960000000000997,9.860000000000007,2.100000000000991,是,是,已平仓
12,2022-08-17,2022-08-30,2022-08-30,多头,1.0,1.0,10,3.620000000000012,2.1599999999990027,1.4600000000010094,是,是,已平仓
