指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1131,1131
期末净值,final_nav,1.1800179720015322,1.065161511849518
累计收益率,total_return,0.18001797200153224,0.0651615118495179
年化收益率,annual_return,0.03760438594710869,0.014177313435691286
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.02360438594710869,0.00017731343569128526
年化波动率,annual_volatility,0.013462246000737825,0.014377315828579897
夏普比率,sharpe,1.7533765127910308,0.012332860862582803
最大回撤,max_drawdown,-0.007531714138814483,-0.018411441492342084
最大回撤起点,max_drawdown_start,2024-04-25,2022-08-18
最大回撤终点,max_drawdown_end,2024-05-10,2022-11-30
Calmar比率,calmar,4.992805788169192,0.7700273463969722
日胜率_参考,win_rate,0.27674624226348365,0.24049513704686118
累计资本利得_BP,capital_gain_total_bp,136.35000000000707,23.83999999999403
年化资本利得_BP,capital_gain_annualized_bp,30.407256637169716,5.316530973449996
资本利得交易笔数,capital_gain_trade_count,114,114
已平仓交易笔数,capital_gain_closed_trade_count,113,113
资本利得盈利笔数,capital_gain_winning_trades,75,57
资本利得亏损笔数,capital_gain_losing_trades,35,56
资本利得持平笔数,capital_gain_flat_trades,3,0
资本利得交易胜率,capital_gain_trade_win_rate,0.6637168141592921,0.504424778761062
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.2047787610620098,0.2030973451326907
资本利得中位数_BP,capital_gain_median_trade_bp,0.7200000000000262,0.12999999999999123
平均每笔盈利_BP,capital_gain_avg_win_bp,2.7090666666667476,2.6308771929823496
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.9154285714285435,-2.268035714285713
资本利得盈亏比,capital_gain_profit_loss_ratio,1.4143396976929825,1.1599804960791407
最佳交易_BP,capital_gain_best_trade_bp,15.530000000000022,15.499999999999993
最差交易_BP,capital_gain_worst_trade_bp,-7.739999999998998,-10.469999999999994
平均每笔持有交易日,capital_gain_avg_holding_days,4.140350877192983,4.140350877192983
最长单笔持有交易日,capital_gain_max_holding_days,28,28
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-14.130000000000045,-28.860000000002874
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-09-05,2022-01-20
资本利得最大回撤终点,capital_gain_max_drawdown_end,2023-01-20,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,3,6
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.21000000000000185,0.8899999999999879
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
