交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-04-11,2022-05-06,2022-05-06,多头,1.0,1.0,17,2.8800000000000012,-7.440000000000986,10.320000000000988,是,是,已平仓
2,2022-05-16,2022-05-20,2022-05-20,多头,1.0,1.0,5,4.110000000000988,2.399999999999972,1.710000000001016,是,是,已平仓
3,2022-07-04,2022-07-22,2022-07-22,多头,1.0,1.0,15,8.549999999999983,3.8499999999999988,4.699999999999984,是,是,已平仓
4,2022-08-01,2022-08-12,2022-08-12,多头,1.0,1.0,10,2.540000000000978,2.129999999999008,0.4100000000019701,是,是,已平仓
5,2022-08-29,2022-09-09,2022-09-09,多头,1.0,1.0,10,2.9500000000000015,0.8000000000000025,2.149999999999999,是,是,已平仓
6,2022-11-21,2022-12-02,2022-12-02,多头,1.0,1.0,10,3.250000000000023,-4.259999999999994,7.510000000000017,是,是,已平仓
7,2023-01-09,2023-01-13,2023-01-13,多头,1.0,1.0,5,4.179999999999983,-6.819999999999014,10.999999999998998,是,是,已平仓
8,2023-05-04,2023-05-05,2023-05-05,多头,1.0,1.0,2,2.8500000000010117,4.49999999999999,-1.6499999999989785,是,是,已平仓
9,2023-07-10,2023-07-14,2023-07-14,多头,1.0,1.0,5,4.409999999998998,-0.4099999999999937,4.819999999998992,是,是,已平仓
10,2023-11-13,2023-12-01,2023-12-01,多头,1.0,1.0,15,3.300000000000004,-1.8100000000000058,5.11000000000001,是,是,已平仓
11,2023-12-11,2024-01-05,2024-01-05,多头,1.0,1.0,19,15.800000000000015,14.610000000000005,1.1900000000000102,是,是,已平仓
12,2024-01-15,2024-01-19,2024-01-19,多头,1.0,1.0,5,5.080000000000987,1.449999999999993,3.6300000000009938,是,是,已平仓
13,2024-03-04,2024-03-08,2024-03-08,多头,1.0,1.0,5,7.9299999999999855,8.500000000000002,-0.5700000000000163,是,是,已平仓
14,2024-04-08,2024-04-12,2024-04-12,多头,1.0,1.0,5,3.019999999998996,1.1102230246251565e-16,3.019999999998996,是,是,已平仓
15,2024-04-22,2024-04-30,2024-04-30,多头,1.0,1.0,7,0.9200000000009894,-4.8799999999999875,5.800000000000977,是,是,已平仓
16,2024-05-13,2024-05-17,2024-05-17,多头,1.0,1.0,5,3.1500000000009996,0.44999999999899276,2.7000000000020066,是,是,已平仓
17,2024-06-11,2024-06-14,2024-06-14,多头,1.0,1.0,4,2.8300000000000196,2.7500000000009805,0.07999999999903906,是,是,已平仓
18,2024-07-22,2024-07-26,2024-07-26,多头,1.0,1.0,5,3.9800000000009965,6.700000000000976,-2.7199999999999798,是,是,已平仓
19,2024-10-14,2024-10-18,2024-10-18,多头,1.0,1.0,5,4.270000000000003,1.830000000000026,2.4399999999999773,是,是,已平仓
20,2024-11-11,2024-11-15,2024-11-15,多头,1.0,1.0,5,1.299999999999982,1.189999999999976,0.11000000000000609,是,是,已平仓
21,2025-03-10,2025-03-14,2025-03-14,多头,1.0,1.0,5,-7.339999999999986,-3.1499999999999946,-4.189999999999991,否,是,已平仓
22,2025-04-28,2025-05-16,2025-05-16,多头,1.0,1.0,12,3.540000000000001,-1.869999999999997,5.409999999999998,是,是,已平仓
23,2025-06-16,2025-06-20,2025-06-20,多头,1.0,1.0,5,1.7100000000000102,0.439999999999989,1.2700000000000211,是,是,已平仓
24,2025-09-01,2025-09-05,2025-09-05,多头,1.0,1.0,5,0.479999999999023,1.1900000000000102,-0.7100000000009872,是,是,已平仓
25,2025-10-09,2025-10-17,2025-10-17,多头,1.0,1.0,7,2.5299999999989917,3.5900000000000167,-1.060000000001025,是,是,已平仓
26,2025-11-10,2025-11-14,2025-11-14,多头,1.0,1.0,5,-0.11000000000000593,0.019999999999985363,-0.1299999999999913,否,是,已平仓
27,2025-12-15,2025-12-19,2025-12-19,多头,1.0,1.0,5,0.4699999999999843,0.8799999999999781,-0.4099999999999938,是,是,已平仓
28,2025-12-29,2025-12-31,2025-12-31,多头,1.0,1.0,3,-2.109999999999994,-0.9699999999999984,-1.1399999999999957,否,是,已平仓
29,2026-03-09,2026-03-13,2026-03-13,多头,1.0,1.0,5,-0.09999999999999609,-3.3299999999999996,3.2300000000000035,否,是,已平仓
30,2026-05-06,2026-05-08,2026-05-08,多头,1.0,1.0,3,0.6000000000000103,-1.7500000000000155,2.350000000000026,是,是,已平仓
31,2026-08-31,2026-09-04,2026-09-04,多头,1.0,1.0,5,1.250000000000001,1.449999999999993,-0.19999999999999196,是,是,已平仓
