交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-14,2022-01-14,2022-01-14,多头,1.0,1.0,1,0.0,-0.7699999999990006,0.7699999999990006,否,是,已平仓
2,2022-03-01,2022-03-01,2022-03-01,多头,1.0,1.0,1,0.950000000000048,-2.7500000000000093,3.7000000000000575,是,是,已平仓
3,2022-04-07,2022-04-08,2022-04-08,多头,1.0,1.0,2,1.3900000000000023,0.750000000000993,0.6399999999990094,是,是,已平仓
4,2022-04-14,2022-04-14,2022-04-14,多头,1.0,1.0,1,2.6300000000000283,-0.25000000000000716,2.8800000000000354,是,是,已平仓
5,2023-09-15,2023-09-15,2023-09-15,多头,1.0,1.0,1,0.18999999999998185,-3.249999999999989,3.4399999999999706,是,是,已平仓
6,2023-10-27,2023-10-30,2023-10-30,多头,1.0,1.0,2,3.060000000000007,0.11000000000000593,2.950000000000001,是,是,已平仓
7,2023-11-02,2023-11-02,2023-11-02,多头,1.0,1.0,1,1.269999999999015,2.999999999999982,-1.7300000000009668,是,是,已平仓
8,2023-11-14,2023-12-01,2023-12-01,多头,1.0,1.0,14,4.5900000000000105,-1.7100000000000106,6.300000000000021,是,是,已平仓
9,2023-12-06,2023-12-14,2023-12-14,多头,1.0,1.0,7,1.3200000000000016,2.74,-1.4199999999999986,是,是,已平仓
10,2023-12-18,2023-12-20,2023-12-20,多头,1.0,1.0,3,2.79999999999999,0.05000000000001542,2.7499999999999747,是,是,已平仓
11,2023-12-22,2024-01-03,2024-01-03,多头,1.0,1.0,8,3.580000000000978,3.699999999999988,-0.11999999999901023,是,是,已平仓
12,2024-01-05,2024-01-05,2024-01-05,多头,1.0,1.0,1,2.420000000000026,1.9299999999990158,0.4900000000010103,是,是,已平仓
13,2024-01-17,2024-01-17,2024-01-17,多头,1.0,1.0,1,2.2799999999999905,1.7500000000000155,0.5299999999999749,是,是,已平仓
14,2024-04-01,2024-04-03,2024-04-03,多头,1.0,1.0,3,1.310000000000998,0.6399999999990095,0.6700000000019884,是,是,已平仓
15,2024-10-09,2024-10-10,2024-10-10,多头,1.0,1.0,2,1.1699999999999904,4.870000000000985,-3.700000000000995,是,是,已平仓
16,2024-11-01,2024-11-04,2024-11-04,多头,1.0,1.0,2,2.540000000000979,2.009999999999998,0.5300000000009808,是,是,已平仓
17,2025-03-07,2025-03-14,2025-03-14,多头,1.0,1.0,6,-12.33999999999999,-8.620000000000017,-3.719999999999972,否,是,已平仓
18,2025-03-31,2025-04-03,2025-04-03,多头,1.0,1.0,4,11.069999999998998,9.45999999999999,1.6099999999990082,是,是,已平仓
19,2025-04-16,2025-04-16,2025-04-16,多头,1.0,1.0,1,1.4300000000000077,1.5300000000000036,-0.09999999999999587,是,是,已平仓
20,2025-04-18,2025-04-23,2025-04-23,多头,1.0,1.0,4,2.3300000000010117,-0.8900000000000228,3.2200000000010345,是,是,已平仓
21,2025-05-06,2025-05-15,2025-05-15,多头,1.0,1.0,8,-0.5000000000000144,-5.549999999999999,5.049999999999985,否,是,已平仓
22,2025-05-23,2025-05-23,2025-05-23,多头,1.0,1.0,1,-0.2500000000009786,-0.22000000000001185,-0.030000000000966753,否,是,已平仓
23,2025-05-29,2025-06-04,2025-06-04,多头,1.0,1.0,4,0.5000000000000143,1.2799999999999963,-0.7799999999999819,是,是,已平仓
24,2025-06-11,2025-06-16,2025-06-16,多头,1.0,1.0,4,4.019999999999996,1.370000000000017,2.649999999999979,是,是,已平仓
25,2025-06-18,2025-06-18,2025-06-18,多头,1.0,1.0,1,2.0399999999999934,-0.19999999999999185,2.239999999999985,是,是,已平仓
26,2025-06-30,2025-07-14,2025-07-14,多头,1.0,1.0,11,1.1800000000000008,-2.6400000000000032,3.820000000000004,是,是,已平仓
27,2025-08-04,2025-08-08,2025-08-08,多头,1.0,1.0,5,-0.21000000000000163,1.6800000000000148,-1.8900000000000166,否,是,已平仓
