指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1131,1131
期末净值,final_nav,1.077909186733459,1.0243630091602516
累计收益率,total_return,0.07790918673345892,0.02436300916025158
年化收益率,annual_return,0.016871587838574786,0.00538247192913599
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.002871587838574786,-0.00861752807086401
年化波动率,annual_volatility,0.008188239323824707,0.008778959924973649
夏普比率,sharpe,0.3506966180408946,-0.9816115057490568
最大回撤,max_drawdown,-0.0105772940348412,-0.01244311650107821
最大回撤起点,max_drawdown_start,2024-11-04,2024-11-04
最大回撤终点,max_drawdown_end,2025-03-14,2025-03-11
Calmar比率,calmar,1.5950759979821327,0.432566224761264
日胜率_参考,win_rate,0.1273209549071618,0.10256410256410256
累计资本利得_BP,capital_gain_total_bp,65.34000000000012,9.440000000001875
年化资本利得_BP,capital_gain_annualized_bp,14.571398230088521,2.1052035398234272
资本利得交易笔数,capital_gain_trade_count,56,56
已平仓交易笔数,capital_gain_closed_trade_count,55,55
资本利得盈利笔数,capital_gain_winning_trades,41,30
资本利得亏损笔数,capital_gain_losing_trades,12,25
资本利得持平笔数,capital_gain_flat_trades,2,0
资本利得交易胜率,capital_gain_trade_win_rate,0.7454545454545455,0.5454545454545454
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.1841818181818204,0.15545454545457987
资本利得中位数_BP,capital_gain_median_trade_bp,1.1800000000000008,0.12999999999999123
平均每笔盈利_BP,capital_gain_avg_win_bp,2.2121951219512948,1.842333333333365
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.1308333333335794,-1.868799999999962
资本利得盈亏比,capital_gain_profit_loss_ratio,1.0381830842163657,0.985837614155288
最佳交易_BP,capital_gain_best_trade_bp,11.069999999998998,9.45999999999999
最差交易_BP,capital_gain_worst_trade_bp,-12.33999999999999,-8.620000000000017
平均每笔持有交易日,capital_gain_avg_holding_days,3.7142857142857144,3.7142857142857144
最长单笔持有交易日,capital_gain_max_holding_days,14,14
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-12.33999999999999,-13.979999999999029
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-11-04,2024-11-04
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-03-14,2025-03-11
最长连续亏损笔数,capital_gain_longest_losing_streak,3,3
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.21000000000000185,0.8899999999999879
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
