指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1129,1129
期末净值,final_nav,1.1110755701721755,1.042125343980554
累计收益率,total_return,0.11107557017217551,0.04212534398055401
年化收益率,annual_return,0.023809876019304177,0.009260775344484884
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.009809876019304177,-0.004739224655515116
年化波动率,annual_volatility,0.009331640551765403,0.009458282275110202
夏普比率,sharpe,1.0512488093477088,-0.5010661045702295
最大回撤,max_drawdown,-0.00617895643107591,-0.011153880497478896
最大回撤起点,max_drawdown_start,2024-11-08,2022-11-24
最大回撤终点,max_drawdown_end,2025-03-14,2023-11-27
Calmar比率,calmar,3.8533814382566027,0.8302738537119965
日胜率_参考,win_rate,0.13463241806908768,0.10628875110717449
累计资本利得_BP,capital_gain_total_bp,96.230000000001,24.300000000000985
年化资本利得_BP,capital_gain_annualized_bp,21.498191489361925,5.428723404255539
资本利得交易笔数,capital_gain_trade_count,30,30
已平仓交易笔数,capital_gain_closed_trade_count,30,30
资本利得盈利笔数,capital_gain_winning_trades,27,19
资本利得亏损笔数,capital_gain_losing_trades,3,11
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.9,0.6333333333333333
平均单笔资本利得_BP,capital_gain_avg_trade_bp,3.2076666666666998,0.8100000000000329
资本利得中位数_BP,capital_gain_median_trade_bp,3.2000000000005113,0.8399999999999903
平均每笔盈利_BP,capital_gain_avg_win_bp,3.988148148148186,3.1778947368421044
平均每笔亏损_BP,capital_gain_avg_loss_bp,-3.8166666666666678,-3.2799999999999088
资本利得盈亏比,capital_gain_profit_loss_ratio,1.044929645803018,0.9688703465982296
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000015,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-7.339999999999986,-7.440000000000986
平均每笔持有交易日,capital_gain_avg_holding_days,7.233333333333333,7.233333333333333
最长单笔持有交易日,capital_gain_max_holding_days,19,19
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-7.4399999999999835,-16.629999999999043
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-11-07,2022-11-24
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-03-14,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,1,2
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
