交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-03-01,2022-03-01,2022-03-01,多头,1.0,1.0,1,0.950000000000048,-2.7500000000000093,3.7000000000000575,是,是,已平仓
2,2022-04-07,2022-04-08,2022-04-08,多头,1.0,1.0,2,1.3900000000000023,0.750000000000993,0.6399999999990094,是,是,已平仓
3,2022-04-14,2022-04-14,2022-04-14,多头,1.0,1.0,1,2.6300000000000283,-0.25000000000000716,2.8800000000000354,是,是,已平仓
4,2023-09-15,2023-09-15,2023-09-15,多头,1.0,1.0,1,0.18999999999998185,-3.249999999999989,3.4399999999999706,是,是,已平仓
5,2023-10-27,2023-10-30,2023-10-30,多头,1.0,1.0,2,3.060000000000007,0.11000000000000593,2.950000000000001,是,是,已平仓
6,2023-11-02,2023-11-02,2023-11-02,多头,1.0,1.0,1,1.269999999999015,2.999999999999982,-1.7300000000009668,是,是,已平仓
7,2023-11-14,2023-12-01,2023-12-01,多头,1.0,1.0,14,4.5900000000000105,-1.7100000000000106,6.300000000000021,是,是,已平仓
8,2023-12-06,2023-12-14,2023-12-14,多头,1.0,1.0,7,1.3200000000000016,2.74,-1.4199999999999986,是,是,已平仓
9,2023-12-18,2023-12-20,2023-12-20,多头,1.0,1.0,3,2.79999999999999,0.05000000000001542,2.7499999999999747,是,是,已平仓
10,2023-12-22,2024-01-03,2024-01-03,多头,1.0,1.0,8,3.580000000000978,3.699999999999988,-0.11999999999901023,是,是,已平仓
11,2024-01-05,2024-01-05,2024-01-05,多头,1.0,1.0,1,2.420000000000026,1.9299999999990158,0.4900000000010103,是,是,已平仓
12,2024-01-17,2024-01-17,2024-01-17,多头,1.0,1.0,1,2.2799999999999905,1.7500000000000155,0.5299999999999749,是,是,已平仓
13,2024-04-01,2024-04-03,2024-04-03,多头,1.0,1.0,3,1.310000000000998,0.6399999999990095,0.6700000000019884,是,是,已平仓
14,2024-04-19,2024-04-19,2024-04-19,多头,1.0,1.0,1,-0.7300000000000015,-0.030000000001001448,-0.6999999999990001,否,是,已平仓
15,2024-06-04,2024-06-05,2024-06-05,多头,1.0,1.0,2,1.970000000000999,0.449999999999999,1.5200000000009999,是,是,已平仓
16,2024-06-07,2024-06-07,2024-06-07,多头,1.0,1.0,1,1.349999999999997,-0.049999999999980616,1.3999999999999777,是,是,已平仓
17,2024-07-03,2024-07-05,2024-07-05,多头,1.0,1.0,3,2.149999999999999,-3.8499999999999996,5.999999999999998,是,是,已平仓
18,2024-07-11,2024-07-15,2024-07-15,多头,1.0,1.0,3,2.109999999998988,1.6600000000000295,0.44999999999895834,是,是,已平仓
19,2024-08-07,2024-08-07,2024-08-07,多头,1.0,1.0,1,2.1500000000010053,0.7699999999990006,1.3800000000020047,是,是,已平仓
20,2024-09-02,2024-09-02,2024-09-02,多头,1.0,1.0,1,1.349999999999997,2.4699999999990006,-1.1199999999990036,是,是,已平仓
21,2024-09-30,2024-10-08,2024-10-08,多头,1.0,1.0,2,-5.520000000000004,-2.1399999999999895,-3.3800000000000145,否,是,已平仓
22,2024-10-10,2024-10-11,2024-10-11,多头,1.0,1.0,2,-0.5399999999999849,3.680000000000003,-4.219999999999988,否,是,已平仓
23,2024-11-07,2024-11-15,2024-11-15,多头,1.0,1.0,7,1.849999999999977,2.8599999999999803,-1.0100000000000033,是,是,已平仓
24,2025-04-01,2025-04-02,2025-04-02,多头,1.0,1.0,2,3.860000000000009,2.4199999999999915,1.4400000000000177,是,是,已平仓
25,2025-05-09,2025-05-09,2025-05-09,多头,1.0,1.0,1,0.0,-0.20000000000002655,0.20000000000002655,否,是,已平仓
26,2025-05-13,2025-05-15,2025-05-15,多头,1.0,1.0,3,0.04000000000000542,0.8199999999999873,-0.7799999999999818,是,是,已平仓
27,2025-06-30,2025-07-01,2025-07-01,多头,1.0,1.0,2,-0.7499999999999868,0.29000000000001247,-1.0399999999999991,否,是,已平仓
28,2025-08-07,2025-08-08,2025-08-08,多头,1.0,1.0,2,0.3500000000000031,1.0800000000000045,-0.7300000000000014,是,是,已平仓
29,2025-09-02,2025-09-03,2025-09-03,多头,1.0,1.0,2,0.999999999999994,2.7299999999999893,-1.7299999999999953,是,是,已平仓
30,2025-09-29,2025-09-30,2025-09-30,多头,1.0,1.0,2,-0.9999999999989878,1.6299999999999997,-2.6299999999989874,否,是,已平仓
31,2025-10-10,2025-10-13,2025-10-13,多头,1.0,1.0,2,1.830000000000026,0.8299999999999974,1.0000000000000286,是,是,已平仓
32,2025-12-08,2025-12-11,2025-12-11,多头,1.0,1.0,4,1.0899999999999799,0.7599999999999968,0.3299999999999831,是,是,已平仓
33,2025-12-16,2025-12-18,2025-12-18,多头,1.0,1.0,3,0.6800000000000208,1.320000000001008,-0.6400000000009871,是,是,已平仓
34,2025-12-23,2025-12-29,2025-12-29,多头,1.0,1.0,5,-0.19000000000001638,-1.68999999999999,1.4999999999999736,否,是,已平仓
35,2026-02-11,2026-02-13,2026-02-13,多头,1.0,1.0,3,1.6299999999999994,1.6599999999999948,-0.029999999999995364,是,是,已平仓
36,2026-03-06,2026-03-10,2026-03-10,多头,1.0,1.0,3,-0.42000000000000376,-2.7600000000000193,2.3400000000000154,否,是,已平仓
37,2026-04-01,2026-04-02,2026-04-02,多头,1.0,1.0,2,-0.8699999999989966,-0.37999999999999845,-0.4899999999989981,否,是,已平仓
38,2026-04-15,2026-04-15,2026-04-15,多头,1.0,1.0,1,-0.29000000000001247,0.1999999999990204,-0.4899999999990329,否,是,已平仓
39,2026-04-29,2026-04-30,2026-04-30,多头,1.0,1.0,2,1.1200000000000099,1.8100000000000058,-0.689999999999996,是,是,已平仓
40,2026-09-11,,2026-09-11,多头,1.0,1.0,1,-0.25000000000000716,-1.020000000000014,0.7700000000000069,否,否,未平仓
