指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1129,1129
期末净值,final_nav,1.047690335229585,1.0295325702582674
累计收益率,total_return,0.04769033522958499,0.029532570258267388
年化收益率,annual_return,0.010462322310286654,0.006523339825950769
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,-0.0035376776897133467,-0.007476660174049231
年化波动率,annual_volatility,0.005767217009903083,0.005870492690164306
夏普比率,sharpe,-0.6134115785202258,-1.273600116490388
最大回撤,max_drawdown,-0.005432309268553204,-0.00582506056589438
最大回撤起点,max_drawdown_start,2024-09-30,2022-01-17
最大回撤终点,max_drawdown_end,2024-10-11,2023-11-27
Calmar比率,calmar,1.925943791685686,1.119875021410902
日胜率_参考,win_rate,0.06731620903454384,0.05934455270150576
累计资本利得_BP,capital_gain_total_bp,41.76000000000409,22.029999999996008
年化资本利得_BP,capital_gain_annualized_bp,9.329361702128573,4.9215957446799585
资本利得交易笔数,capital_gain_trade_count,40,40
已平仓交易笔数,capital_gain_closed_trade_count,39,39
资本利得盈利笔数,capital_gain_winning_trades,29,27
资本利得亏损笔数,capital_gain_losing_trades,9,12
资本利得持平笔数,capital_gain_flat_trades,1,0
资本利得交易胜率,capital_gain_trade_win_rate,0.7435897435897436,0.6923076923076923
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.0771794871795923,0.591025641025539
资本利得中位数_BP,capital_gain_median_trade_bp,1.310000000000998,0.7599999999999968
平均每笔盈利_BP,capital_gain_avg_win_bp,1.8041379310345549,1.5596296296295202
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.1455555555553327,-1.5883333333334184
资本利得盈亏比,capital_gain_profit_loss_ratio,1.5749021706415278,0.9819284131979664
最佳交易_BP,capital_gain_best_trade_bp,4.5900000000000105,3.699999999999988
最差交易_BP,capital_gain_worst_trade_bp,-5.520000000000004,-3.8499999999999996
平均每笔持有交易日,capital_gain_avg_holding_days,2.7,2.7
最长单笔持有交易日,capital_gain_max_holding_days,14,14
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-6.429999999999978,-8.929999999999044
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-09-30,2022-01-17
资本利得最大回撤终点,capital_gain_max_drawdown_end,2024-10-11,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,3,2
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,-0.25000000000000716,-1.020000000000014
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
