指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1129,1129
期末净值,final_nav,1.185391805611795,1.1017869618228209
累计收益率,total_return,0.1853918056117949,0.10178696182282088
年化收益率,annual_return,0.038726155365973014,0.021891506262506466
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.024726155365973015,0.007891506262506466
年化波动率,annual_volatility,0.01395649407101677,0.015270738418539806
夏普比率,sharpe,1.7716595041817436,0.5167730627174907
最大回撤,max_drawdown,-0.00749304425275088,-0.018411441492342084
最大回撤起点,max_drawdown_start,2022-09-13,2022-08-18
最大回撤终点,max_drawdown_end,2022-11-25,2022-11-30
Calmar比率,calmar,5.168280615953348,1.1890164206649356
日胜率_参考,win_rate,0.2763507528786537,0.254207263064659
累计资本利得_BP,capital_gain_total_bp,139.52000000000797,59.71999999999204
年化资本利得_BP,capital_gain_annualized_bp,31.16936170212944,13.341702127657797
资本利得交易笔数,capital_gain_trade_count,98,98
已平仓交易笔数,capital_gain_closed_trade_count,97,97
资本利得盈利笔数,capital_gain_winning_trades,61,52
资本利得亏损笔数,capital_gain_losing_trades,32,44
资本利得持平笔数,capital_gain_flat_trades,4,1
资本利得交易胜率,capital_gain_trade_win_rate,0.6288659793814433,0.5360824742268041
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.4460824742268863,0.626082474226722
资本利得中位数_BP,capital_gain_median_trade_bp,0.6799999999999862,0.3299999999999831
平均每笔盈利_BP,capital_gain_avg_win_bp,3.4278688524591145,3.3682692307690947
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.150937499999938,-2.6004545454545664
资本利得盈亏比,capital_gain_profit_loss_ratio,1.5936626947362316,1.2952617213235358
最佳交易_BP,capital_gain_best_trade_bp,18.569999999999006,21.239999999999974
最差交易_BP,capital_gain_worst_trade_bp,-7.739999999998998,-10.469999999999994
平均每笔持有交易日,capital_gain_avg_holding_days,5.030612244897959,5.030612244897959
最长单笔持有交易日,capital_gain_max_holding_days,56,56
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-14.130000000000049,-28.86000000000287
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-09-05,2022-01-20
资本利得最大回撤终点,capital_gain_max_drawdown_end,2023-01-20,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,3,6
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,-0.7500000000000213,-1.010000000000004
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
