信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,估值|地方债-国债利差_得分,估值|地方债-国债利差变化_得分,估值|地方债-NCD利差_得分,估值|地方债-NCD利差变化_得分,估值|地方债-国债利差变化加速度_得分
2022-01-17,2022-01-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,25.0,15.0
2022-01-24,2022-02-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,15.0
2022-02-14,2022-02-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,5.0,0.0,15.0
2022-02-21,2022-02-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,50.0,15.0
2022-02-28,2022-03-07,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,15.0,0.0,2.5,25.0,0.0
2022-03-07,2022-03-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,0.0,25.0,30.0
2022-03-14,2022-03-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,15.0,0.0,0.0,25.0,0.0
2022-03-21,2022-03-28,1.0,看多,0.002253259631317839,0.0001622364260596143,0.0020910232052582245,0.0006270674603174595,0.0016247379791951631,1.9199999999990056,-0.4499999999999993,2.369999999999005,是,其他,是,否,有效进攻,15.0,0.0,0.0,25.0,30.0
2022-03-28,2022-04-04,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,0.0,25.0,15.0
2022-04-04,2022-04-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,2.5,0.0,15.0
2022-04-11,2022-04-18,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,5.0,25.0,15.0
2022-04-18,2022-04-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,25.0,15.0
2022-04-25,2022-05-02,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,0.0,15.0
2022-05-02,2022-05-09,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,25.0,15.0
2022-05-09,2022-05-16,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,25.0,15.0
2022-05-16,2022-05-23,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,0.0,15.0
2022-05-23,2022-05-30,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,25.0,0.0
2022-05-30,2022-06-06,1.0,看多,-0.0010429175367514532,-0.004984245158317302,0.003941327621565849,0.00048268253968253934,-0.0015245105792590806,-1.789999999999986,-6.269999999999991,4.480000000000005,否,其他,否,是,其他,7.5,0.0,5.0,50.0,15.0
2022-06-06,2022-06-13,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,5.0,25.0,30.0
2022-06-13,2022-06-20,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,5.0,25.0,0.0
2022-06-20,2022-06-27,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,5.0,0.0,30.0
2022-06-27,2022-07-04,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,5.0,0.0,15.0
2022-07-04,2022-07-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,25.0,15.0
2022-07-11,2022-07-18,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,25.0,15.0
2022-07-18,2022-07-25,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,0.0,0.0
2022-07-25,2022-08-01,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,25.0,30.0
2022-08-01,2022-08-08,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,0.0,15.0
2022-08-08,2022-08-15,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,0.0,15.0
2022-08-15,2022-08-22,1.0,看多,0.00685915281880578,0.013340138420251835,-0.006480985601446054,0.0005847539682539678,0.006257357666696496,7.319999999998994,14.720000000000011,-7.400000000001017,是,有效进攻,是,否,有效进攻,0.0,0.0,5.0,50.0,15.0
2022-08-22,2022-08-29,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,5.0,25.0,0.0
2022-08-29,2022-09-05,1.0,看多,0.003428050939035421,0.0022911871359452274,0.0011368638030901934,0.0005796031746031742,0.002848410082649861,3.33,2.039999999999993,1.2900000000000071,是,有效进攻,是,否,有效进攻,7.5,0.0,5.0,50.0,30.0
2022-09-05,2022-09-12,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,5.0,0.0,0.0
2022-09-12,2022-09-19,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,5.0,25.0,15.0
2022-09-19,2022-09-26,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,5.0,25.0,15.0
2022-09-26,2022-10-17,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,25.0,15.0
2022-10-17,2022-10-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,25.0,15.0
2022-10-24,2022-10-31,1.0,看多,0.0018312476878383777,0.005959051330408638,-0.00412780364257026,0.0005856507936507937,0.0012475326779881292,1.4600000000000029,6.250000000000005,-4.790000000000003,是,有效进攻,是,否,有效进攻,0.0,0.0,5.0,50.0,30.0
2022-10-31,2022-11-07,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,5.0,25.0,0.0
2022-11-07,2022-11-14,1.0,看多,-0.0009090318776384665,-0.0023349392596029306,0.001425907381964464,0.0005871269841269838,-0.001495966546716076,-1.7499999999999807,-3.3100000000000143,1.5600000000000336,否,其他,否,是,其他,0.0,0.0,5.0,50.0,30.0
2022-11-14,2022-11-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,50.0,15.0
2022-11-21,2022-11-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,50.0,15.0
2022-11-28,2022-12-05,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,15.0
2022-12-05,2022-12-12,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,25.0,0.0
2022-12-12,2022-12-19,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,50.0,15.0
2022-12-19,2022-12-26,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,50.0,0.0
2022-12-26,2023-01-02,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,0.0,0.0,0.0
2023-01-02,2023-01-09,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,30.0
2023-01-09,2023-01-16,1.0,看多,0.004154695373544959,-0.005283604258432106,0.009438299631977065,0.0006013095238095238,0.0035524322079840062,4.179999999999983,-6.819999999999014,10.999999999998998,是,其他,否,否,其他,0.0,0.0,0.0,50.0,30.0
2023-01-16,2023-02-06,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,50.0,0.0
2023-02-06,2023-02-13,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,25.0,0.0
2023-02-13,2023-02-20,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,25.0,15.0
2023-02-20,2023-02-27,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,50.0,15.0
2023-02-27,2023-03-06,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,50.0,15.0
2023-03-06,2023-03-13,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,25.0,15.0
2023-03-13,2023-03-20,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,0.0,25.0,15.0
2023-03-20,2023-03-27,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,25.0,30.0
2023-03-27,2023-04-03,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,25.0,15.0
2023-04-03,2023-04-10,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,15.0
2023-04-10,2023-04-17,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,50.0,15.0
2023-04-17,2023-04-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,25.0,15.0
2023-04-24,2023-05-01,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,25.0,15.0
2023-05-01,2023-05-08,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,0.0,25.0,15.0
2023-05-08,2023-05-15,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,0.0,0.0,15.0
2023-05-15,2023-05-22,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,0.0,0.0,15.0
2023-05-22,2023-05-29,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,0.0,25.0,30.0
2023-05-29,2023-06-05,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,2.5,0.0,15.0
2023-06-05,2023-06-12,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,2.5,0.0,0.0
2023-06-12,2023-06-19,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,2.5,0.0,15.0
2023-06-19,2023-06-26,1.0,看多,0.0004628064431964063,-0.0003370626703270707,0.000799869113523477,0.00034420634920634885,0.00011953331812291929,0.13999999999899515,-0.7500000000009931,0.8899999999999882,是,其他,否,否,其他,7.5,0.0,2.5,50.0,15.0
2023-06-26,2023-07-03,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,2.5,25.0,15.0
2023-07-03,2023-07-10,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,2.5,0.0,15.0
2023-07-10,2023-07-17,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,2.5,0.0,15.0
2023-07-17,2023-07-24,1.0,看多,0.002588707153480918,0.0036995109227437872,-0.0011108037692628692,0.0005676706349206346,0.0020189142380487267,2.3500000000000254,3.6500000000009787,-1.3000000000009533,是,有效进攻,是,否,有效进攻,7.5,0.0,2.5,50.0,15.0
2023-07-24,2023-07-31,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,2.5,25.0,0.0
2023-07-31,2023-08-07,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,2.5,25.0,30.0
2023-08-07,2023-08-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,5.0,25.0,0.0
2023-08-14,2023-08-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,5.0,25.0,15.0
2023-08-21,2023-08-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,2.5,25.0,15.0
2023-08-28,2023-09-04,1.0,看多,0.00012278870817561405,-0.0007875974239749395,0.0009103861321505535,0.000554654761904762,-0.0004313159925478898,-0.5000000000000142,-1.4799999999990172,0.979999999999003,否,其他,否,否,其他,7.5,0.0,2.5,50.0,15.0
2023-09-04,2023-09-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,2.5,25.0,0.0
2023-09-11,2023-09-18,1.0,看多,0.0021039549044530315,0.00029542195703324836,0.001808532947419783,0.0005664087301587293,0.001537104258583409,1.78999999999898,-0.2500000000000071,2.039999999998987,是,其他,是,否,有效进攻,7.5,0.0,0.0,50.0,15.0
2023-09-18,2023-09-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,0.0,25.0,15.0
2023-09-25,2023-10-16,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,0.0,0.0,25.0,15.0
2023-10-16,2023-10-23,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,15.0,0.0,0.0,25.0,0.0
2023-10-23,2023-10-30,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,15.0,0.0,0.0,25.0,15.0
2023-10-30,2023-11-06,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,15.0,0.0,0.0,25.0,15.0
2023-11-06,2023-11-13,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,15.0,0.0,0.0,25.0,0.0
2023-11-13,2023-11-20,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,15.0,0.0,0.0,25.0,15.0
2023-11-20,2023-11-27,1.0,看多,0.0018232893015637242,-0.004052770345616574,0.005876059647180298,0.0005971428571428567,0.0012270361250903124,1.439999999999983,-5.2899999999990115,6.729999999998995,是,其他,否,否,其他,15.0,0.0,0.0,25.0,30.0
2023-11-27,2023-12-04,1.0,看多,0.0026414334586579713,0.004248520328899996,-0.001607086870242025,0.0005969007936507937,0.0020517386655876683,2.4100000000000166,4.279999999999006,-1.8699999999989898,是,有效进攻,是,否,有效进攻,15.0,0.0,0.0,50.0,30.0
2023-12-04,2023-12-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,15.0,0.0,0.0,25.0,0.0
2023-12-11,2023-12-18,1.0,看多,0.003522896058886671,0.004078593438047617,-0.0005556973791609465,0.0005841468253968253,0.0029344881915712925,3.4299999999999953,4.089999999999997,-0.6600000000000019,是,有效进攻,是,否,有效进攻,15.0,0.0,0.0,50.0,30.0
2023-12-18,2024-01-08,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,15.0,0.0,0.0,25.0,15.0
2024-01-08,2024-01-15,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,15.0,0.0,0.0,0.0,15.0
2024-01-15,2024-01-22,1.0,看多,0.00358465169329536,0.0017984788899900739,0.001786172803305286,0.0004390555555554984,0.003142096914553702,3.6400000000009687,1.6000000000000043,2.0400000000009646,是,有效进攻,是,否,有效进攻,,,,,
2024-01-22,2024-01-29,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,
2024-01-29,2024-02-05,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,
2024-02-05,2024-02-26,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,
2024-02-26,2024-03-04,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,
2024-03-04,2024-03-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,
2024-03-11,2024-03-18,1.0,看多,-0.001171623151018597,-0.0028704044539112905,0.0016987813028926935,0.0005014999999998075,-0.0016714232358165998,-1.909999999998995,-3.7499999999999685,1.8400000000009735,否,其他,否,是,其他,,,,,
2024-03-18,2024-03-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,
2024-03-25,2024-04-01,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,
2024-04-01,2024-04-08,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,
2024-04-08,2024-04-15,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,
2024-04-15,2024-04-22,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,
2024-04-22,2024-04-29,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,
2024-04-29,2024-05-06,1.0,看多,0.0001444731031152724,0.0006523150422956814,-0.000507841939180409,0.00019559126984126983,-2.4487002499199752e-05,-0.009999999999004139,0.5599999999989986,-0.5699999999980028,否,其他,是,否,有效进攻,,,,,
