指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1129,1129
期末净值,final_nav,1.1685898956497205,1.1018161769787203
累计收益率,total_return,0.1685898956497205,0.10181617697872025
年化收益率,annual_return,0.0354187067634717,0.02189755970384799
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.021418706763471698,0.00789755970384799
年化波动率,annual_volatility,0.012579314069228206,0.01400354343218021
夏普比率,sharpe,1.7026927418774453,0.5639686656521063
最大回撤,max_drawdown,-0.006555083293301012,-0.012473781099144321
最大回撤起点,max_drawdown_start,2025-09-04,2022-08-04
最大回撤终点,max_drawdown_end,2025-09-25,2022-09-30
Calmar比率,calmar,5.403242823728564,1.7554869313323227
日胜率_参考,win_rate,0.24269264836138174,0.2178919397697077
累计资本利得_BP,capital_gain_total_bp,132.830000000001,68.25000000000105
年化资本利得_BP,capital_gain_annualized_bp,29.674787234042775,15.247340425532151
资本利得交易笔数,capital_gain_trade_count,49,49
已平仓交易笔数,capital_gain_closed_trade_count,48,48
资本利得盈利笔数,capital_gain_winning_trades,31,30
资本利得亏损笔数,capital_gain_losing_trades,17,18
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.6458333333333334,0.625
平均单笔资本利得_BP,capital_gain_avg_trade_bp,2.756875000000021,1.411458333333356
资本利得中位数_BP,capital_gain_median_trade_bp,1.4950000000005068,0.9500000000005169
平均每笔盈利_BP,capital_gain_avg_win_bp,4.8906451612903865,3.8153333333334016
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.1341176470588783,-2.5950000000000544
资本利得盈亏比,capital_gain_profit_loss_ratio,4.3122908579840535,1.4702633269107213
最佳交易_BP,capital_gain_best_trade_bp,19.28999999999896,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-2.6199999999999832,-8.550000000000017
平均每笔持有交易日,capital_gain_avg_holding_days,8.673469387755102,8.673469387755102
最长单笔持有交易日,capital_gain_max_holding_days,31,31
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-7.770000000000977,-18.930000000000017
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-09-04,2022-08-04
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-09-25,2023-03-13
最长连续亏损笔数,capital_gain_longest_losing_streak,4,3
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.4999999999999798,0.4999999999999798
