指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1131,1131
期末净值,final_nav,1.0394451197300205,1.0189757843620846
累计收益率,total_return,0.03944511973002052,0.01897578436208458
年化收益率,annual_return,0.008664875086777712,0.004200917306417029
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,-0.005335124913222288,-0.009799082693582971
年化波动率,annual_volatility,0.005598775401253344,0.007673264117086457
夏普比率,sharpe,-0.9529092579830876,-1.2770422787562914
最大回撤,max_drawdown,-0.005575796936960642,-0.007690343100621222
最大回撤起点,max_drawdown_start,2025-09-17,2025-04-22
最大回撤终点,max_drawdown_end,2025-09-25,2025-09-24
Calmar比率,calmar,1.5540155397949127,0.5462587626393003
日胜率_参考,win_rate,0.06631299734748011,0.058355437665782495
累计资本利得_BP,capital_gain_total_bp,31.12000000000295,9.540000000001978
年化资本利得_BP,capital_gain_annualized_bp,6.940035398230747,2.127504424779202
资本利得交易笔数,capital_gain_trade_count,56,56
已平仓交易笔数,capital_gain_closed_trade_count,56,56
资本利得盈利笔数,capital_gain_winning_trades,35,33
资本利得亏损笔数,capital_gain_losing_trades,20,22
资本利得持平笔数,capital_gain_flat_trades,1,1
资本利得交易胜率,capital_gain_trade_win_rate,0.625,0.5892857142857143
平均单笔资本利得_BP,capital_gain_avg_trade_bp,0.5557142857143385,0.17035714285717818
资本利得中位数_BP,capital_gain_median_trade_bp,0.5549999999999999,0.24500000000000213
平均每笔盈利_BP,capital_gain_avg_win_bp,1.4168571428572307,1.6539393939393914
平均每笔亏损_BP,capital_gain_avg_loss_bp,-0.9235000000000058,-2.047272727272633
资本利得盈亏比,capital_gain_profit_loss_ratio,1.5342253847939598,0.8078744819420134
最佳交易_BP,capital_gain_best_trade_bp,5.310000000001008,6.909999999999972
最差交易_BP,capital_gain_worst_trade_bp,-2.6200000000000183,-5.289999999999982
平均每笔持有交易日,capital_gain_avg_holding_days,2.2142857142857144,2.2142857142857144
最长单笔持有交易日,capital_gain_max_holding_days,12,12
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-6.680000000001023,-10.929999999999026
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-09-17,2025-04-22
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-09-25,2025-09-24
最长连续亏损笔数,capital_gain_longest_losing_streak,3,3
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
