指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1131,1131
期末净值,final_nav,1.1804918213115219,1.0796717556922062
累计收益率,total_return,0.18049182131152186,0.07967175569220619
年化收益率,annual_return,0.03769729066860128,0.0172421631179982
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.02369729066860128,0.003242163117998199
年化波动率,annual_volatility,0.013184333236290983,0.014233926948744048
夏普比率,sharpe,1.7973825633724503,0.22777713625151605
最大回撤,max_drawdown,-0.007339761995066252,-0.0210019239922854
最大回撤起点,max_drawdown_start,2024-08-05,2022-01-20
最大回撤终点,max_drawdown_end,2024-08-12,2022-05-16
Calmar比率,calmar,5.1360372031056585,0.8209801694517005
日胜率_参考,win_rate,0.2661361626878868,0.23076923076923078
累计资本利得_BP,capital_gain_total_bp,141.55999999999779,42.179999999999126
年化资本利得_BP,capital_gain_annualized_bp,31.56913274336234,9.406513274336088
资本利得交易笔数,capital_gain_trade_count,130,130
已平仓交易笔数,capital_gain_closed_trade_count,129,129
资本利得盈利笔数,capital_gain_winning_trades,81,64
资本利得亏损笔数,capital_gain_losing_trades,43,62
资本利得持平笔数,capital_gain_flat_trades,5,3
资本利得交易胜率,capital_gain_trade_win_rate,0.627906976744186,0.49612403100775193
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.09573643410851,0.3200775193798382
资本利得中位数_BP,capital_gain_median_trade_bp,0.5199999999999996,0.0
平均每笔盈利_BP,capital_gain_avg_win_bp,2.535925925925912,2.70796874999997
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.4897674418604907,-2.12935483870966
资本利得盈亏比,capital_gain_profit_loss_ratio,1.7022293914269802,1.2717320292379903
最佳交易_BP,capital_gain_best_trade_bp,17.439999999999994,19.31000000000002
最差交易_BP,capital_gain_worst_trade_bp,-7.410000000000991,-12.309999999999995
平均每笔持有交易日,capital_gain_avg_holding_days,3.4692307692307693,3.4692307692307693
最长单笔持有交易日,capital_gain_max_holding_days,28,28
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-10.040000000000017,-29.39999999999985
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-09-05,2022-01-20
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-11-25,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,4,6
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.21000000000000185,0.8899999999999879
