交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-04-06,2022-04-22,2022-04-22,多头,1.0,1.0,13,-1.789999999999985,-6.659999999999999,4.870000000000014,否,是,已平仓
2,2022-05-05,2022-05-06,2022-05-06,多头,1.0,1.0,2,5.58999999999997,1.1300000000000199,4.459999999999949,是,是,已平仓
3,2022-07-11,2022-07-22,2022-07-22,多头,1.0,1.0,10,9.049999999999962,5.140000000000006,3.9099999999999557,是,是,已平仓
4,2022-08-01,2022-09-23,2022-09-23,多头,1.0,1.0,39,7.530000000000973,7.5799999999990115,-0.049999999998038724,是,是,已平仓
5,2023-07-10,2023-07-14,2023-07-14,多头,1.0,1.0,5,4.409999999998998,-0.4099999999999937,4.819999999998992,是,是,已平仓
6,2023-11-06,2023-11-10,2023-11-10,多头,1.0,1.0,5,2.030000000000018,1.6900000000000248,0.3399999999999932,是,是,已平仓
7,2023-11-27,2024-01-12,2024-01-12,多头,1.0,1.0,34,21.10000000000001,18.809999999999004,2.2900000000010046,是,是,已平仓
8,2024-04-01,2024-04-03,2024-04-03,多头,1.0,1.0,3,1.310000000000998,0.6399999999990097,0.6700000000019882,是,是,已平仓
9,2024-09-02,2024-09-06,2024-09-06,多头,1.0,1.0,5,3.250000000000024,3.1600000000000033,0.09000000000002073,是,是,已平仓
10,2024-10-08,2024-10-18,2024-10-18,多头,1.0,1.0,9,-0.819999999999987,4.340000000000003,-5.15999999999999,否,是,已平仓
11,2024-11-04,2024-11-15,2024-11-15,多头,1.0,1.0,10,5.099999999998994,4.580000000000002,0.5199999999989924,是,是,已平仓
12,2024-12-23,2025-01-10,2025-01-10,多头,1.0,1.0,14,7.430000000000005,6.799999999999996,0.6300000000000088,是,是,已平仓
13,2025-03-10,2025-03-14,2025-03-14,多头,1.0,1.0,5,-7.339999999999986,-3.149999999999993,-4.189999999999992,否,是,已平仓
14,2025-04-18,2025-05-16,2025-05-16,多头,1.0,1.0,18,4.979999999999983,-2.9999999999999827,7.979999999999965,是,是,已平仓
15,2025-06-03,2025-06-13,2025-06-13,多头,1.0,1.0,9,6.74000000000001,2.720000000000014,4.019999999999996,是,是,已平仓
16,2025-06-30,2025-07-04,2025-07-04,多头,1.0,1.0,5,2.7500000000000098,0.2900000000000125,2.4599999999999973,是,是,已平仓
17,2025-08-11,2025-08-15,2025-08-15,多头,1.0,1.0,5,-2.0000000000000226,-5.739999999999009,3.7399999999989864,否,是,已平仓
18,2025-09-01,2025-09-05,2025-09-05,多头,1.0,1.0,5,0.47999999999902343,1.1900000000000106,-0.7100000000009872,是,是,已平仓
19,2025-09-15,2025-10-17,2025-10-17,多头,1.0,1.0,19,0.14000000000000162,4.240000000000007,-4.100000000000006,是,是,已平仓
20,2025-11-03,2025-11-07,2025-11-07,多头,1.0,1.0,5,3.7500000000000036,-1.8799999999999721,5.629999999999976,是,是,已平仓
21,2025-12-08,2025-12-26,2025-12-26,多头,1.0,1.0,15,2.039999999999993,1.0399999999999996,0.9999999999999933,是,是,已平仓
22,2026-01-12,2026-01-16,2026-01-16,多头,1.0,1.0,5,1.9200000000000121,3.580000000000007,-1.659999999999995,是,是,已平仓
23,2026-05-06,2026-05-08,2026-05-08,多头,1.0,1.0,3,0.6000000000000099,-1.7500000000000155,2.3500000000000254,是,是,已平仓
24,2026-07-17,2026-07-17,2026-07-17,多头,1.0,1.0,1,0.0,0.0,0.0,否,是,已平仓
25,2026-08-03,2026-08-07,2026-08-07,多头,1.0,1.0,5,1.0999999999999899,0.2699999999999926,0.8299999999999973,是,是,已平仓
26,2026-08-17,2026-08-21,2026-08-21,多头,1.0,1.0,5,-5.551115123125783e-17,1.250000000000001,-1.250000000000001,否,是,已平仓
27,2026-09-07,,2026-09-11,多头,1.0,1.0,5,-0.7500000000000214,-0.9500000000000134,0.19999999999999196,否,否,未平仓
