信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给|发行量_得分,供给|发行占比_得分,供给|10Y以上发行_得分,需求|银行总净买入_得分,估值|地方债-国债利差_得分,估值|地方债-NCD利差_得分,估值|地方债-NCD利差变化_得分
2022-01-17,2022-01-24,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,7.5,15.0,0.0,0.0,0.0,0.0
2022-01-24,2022-02-14,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,5.0,0.0,10.0,0.0
2022-02-14,2022-02-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,15.0,15.0,10.0,0.0,20.0,0.0
2022-02-21,2022-02-28,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,5.0,0.0,10.0,0.0
2022-02-28,2022-03-07,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,0.0,0.0,0.0,20.0,10.0,0.0
2022-03-07,2022-03-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,15.0,0.0,10.0,10.0,10.0,0.0
2022-03-14,2022-03-21,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,7.5,0.0,0.0,20.0,0.0,0.0
2022-03-21,2022-03-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,7.5,0.0,0.0,20.0,10.0,0.0
2022-03-28,2022-04-04,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,0.0,15.0,5.0,10.0,0.0,0.0
2022-04-04,2022-04-11,1.0,看多,0.0017610490349533325,0.0021733070047331715,-0.000412257969779839,0.000370797619047619,0.0013901123624985969,1.6400000000000097,2.1400000000009953,-0.5000000000009857,是,有效进攻,是,否,有效进攻,5.0,15.0,30.0,10.0,10.0,10.0,0.0
2022-04-11,2022-04-18,1.0,看多,0.0012560089962778687,0.0001230747570133417,0.001132934239264527,0.0006159126984126985,0.0006481736023328387,0.7700000000000071,-0.49000000000097554,1.2600000000009826,是,其他,是,否,有效进攻,5.0,15.0,30.0,5.0,10.0,20.0,0.0
2022-04-18,2022-04-25,1.0,看多,-0.002946447672324992,-0.006601410332734758,0.0036549626604097663,0.0006201587301587301,-0.00356487385558649,-4.200000000000001,-8.31000000000002,4.110000000000019,否,其他,否,是,其他,2.5,15.0,30.0,10.0,0.0,20.0,0.0
