交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-13,2022-02-25,2022-02-25,多头,1.0,1.0,27,0.390000000000043,1.0800000000000043,-0.6899999999999613,是,是,已平仓
2,2022-03-01,2022-03-03,2022-03-03,多头,1.0,1.0,3,-0.4799999999999942,-5.499999999999984,5.01999999999999,否,是,已平仓
3,2022-04-08,2022-04-11,2022-04-11,多头,1.0,1.0,2,1.670000000000005,-2.859999999999981,4.529999999999986,是,是,已平仓
4,2022-04-26,2022-05-30,2022-05-30,多头,1.0,1.0,22,10.769999999999982,9.349999999999014,1.420000000000968,是,是,已平仓
5,2022-06-24,2022-06-24,2022-06-24,多头,1.0,1.0,1,0.020000000000991447,-1.7499999999999807,1.7700000000009721,是,是,已平仓
6,2022-06-28,2022-07-04,2022-07-04,多头,1.0,1.0,5,-2.4300000000000015,-1.1600000000000152,-1.2699999999999863,否,是,已平仓
7,2022-07-06,2022-08-12,2022-08-12,多头,1.0,1.0,28,11.960000000000997,9.860000000000007,2.100000000000991,是,是,已平仓
8,2022-08-17,2022-08-30,2022-08-30,多头,1.0,1.0,10,3.620000000000012,2.1599999999990027,1.4600000000010094,是,是,已平仓
9,2022-09-05,2022-09-05,2022-09-05,多头,1.0,1.0,1,0.04999999999900917,0.460000000000009,-0.41000000000099984,是,是,已平仓
10,2022-09-07,2022-09-07,2022-09-07,多头,1.0,1.0,1,-0.470000000000019,-0.7499999999999868,0.2799999999999678,否,是,已平仓
11,2022-09-09,2022-09-14,2022-09-14,多头,1.0,1.0,3,-2.3099999999999854,-3.690000000000984,1.3800000000009987,否,是,已平仓
12,2022-09-21,2022-10-13,2022-10-13,多头,1.0,1.0,12,-4.3100000000000085,-6.119999999999978,1.8099999999999694,否,是,已平仓
13,2022-10-17,2022-10-25,2022-10-25,多头,1.0,1.0,7,0.7099999999990103,-3.0099999999989855,3.719999999997996,是,是,已平仓
14,2022-11-02,2022-11-11,2022-11-11,多头,1.0,1.0,8,-3.6299999999999875,-7.25,3.6200000000000125,否,是,已平仓
15,2022-11-25,2022-11-25,2022-11-25,多头,1.0,1.0,1,-2.5599999999990213,-3.499999999999996,0.9400000000009747,否,是,已平仓
16,2022-11-30,2022-12-01,2022-12-01,多头,1.0,1.0,2,1.8299999999999912,1.9999999999999878,-0.1699999999999966,是,是,已平仓
17,2022-12-22,2023-01-05,2023-01-05,多头,1.0,1.0,10,-1.1200000000000099,3.0200000000000014,-4.140000000000011,否,是,已平仓
18,2023-01-19,2023-01-20,2023-01-20,多头,1.0,1.0,2,-0.6500000000000257,-1.0899999999999799,0.4399999999999542,否,是,已平仓
19,2023-02-21,2023-03-13,2023-03-13,多头,1.0,1.0,15,1.7800000000009826,4.669999999999015,-2.8899999999980324,是,是,已平仓
20,2023-03-21,2023-03-24,2023-03-24,多头,1.0,1.0,4,-0.7499999999990155,-1.7199999999999855,0.9700000000009701,否,是,已平仓
21,2023-04-07,2023-04-18,2023-04-18,多头,1.0,1.0,8,3.3000000000000047,2.85999999999998,0.4400000000000248,是,是,已平仓
22,2023-04-26,2023-06-15,2023-06-15,多头,1.0,1.0,34,10.450000000000008,16.75000000000003,-6.30000000000002,是,是,已平仓
23,2023-07-04,2023-07-26,2023-07-26,多头,1.0,1.0,17,0.6400000000000152,-0.28000000000000336,0.9200000000000186,是,是,已平仓
24,2023-08-03,2023-09-04,2023-09-04,多头,1.0,1.0,23,6.159999999999982,4.009999999999984,2.1499999999999986,是,是,已平仓
25,2023-09-19,2023-10-10,2023-10-10,多头,1.0,1.0,10,-5.2800000000000065,-3.109999999999016,-2.1700000000009902,否,是,已平仓
26,2023-10-18,2023-10-18,2023-10-18,多头,1.0,1.0,1,-0.029999999999995308,-1.7000000000000002,1.6700000000000048,否,是,已平仓
27,2023-11-08,2023-11-29,2023-11-29,多头,1.0,1.0,16,-0.2800000000010092,-1.9399999999999982,1.659999999998989,否,是,已平仓
28,2023-12-06,2024-01-05,2024-01-05,多头,1.0,1.0,22,14.770000000000028,14.750000000000005,0.020000000000022666,是,是,已平仓
29,2024-01-11,2024-01-11,2024-01-11,多头,1.0,1.0,1,1.4799999999999882,-0.09999999999999593,1.579999999999984,是,是,已平仓
30,2024-01-19,2024-01-24,2024-01-24,多头,1.0,1.0,4,1.3200000000000016,0.5000000000000144,0.8199999999999872,是,是,已平仓
31,2024-02-01,2024-02-08,2024-02-08,多头,1.0,1.0,6,1.6599999999999948,-0.4900000000000042,2.149999999999999,是,是,已平仓
32,2024-02-21,2024-03-07,2024-03-07,多头,1.0,1.0,12,9.59999999999999,13.579999999999982,-3.9799999999999915,是,是,已平仓
33,2024-03-11,2024-03-13,2024-03-13,多头,1.0,1.0,3,-2.3899999999989894,-5.009999999999979,2.62000000000099,否,是,已平仓
34,2024-03-15,2024-03-15,2024-03-15,多头,1.0,1.0,1,1.2600000000000111,2.2499999999990234,-0.9899999999990123,是,是,已平仓
35,2024-03-21,2024-03-25,2024-03-25,多头,1.0,1.0,3,-3.1199999999999974,-2.0000000000000226,-1.1199999999999748,否,是,已平仓
36,2024-04-03,2024-04-08,2024-04-08,多头,1.0,1.0,2,1.2100000000010018,1.0500000000000091,0.16000000000099268,是,是,已平仓
37,2024-04-10,2024-04-29,2024-04-29,多头,1.0,1.0,14,-0.3599999999999808,-8.029999999999982,7.670000000000001,否,是,已平仓
38,2024-05-10,2024-05-13,2024-05-13,多头,1.0,1.0,2,2.459999999999997,2.85999999999998,-0.39999999999998304,是,是,已平仓
39,2024-05-15,2024-05-15,2024-05-15,多头,1.0,1.0,1,0.1000000000000306,-0.8199999999999874,0.920000000000018,是,是,已平仓
40,2024-05-21,2024-05-21,2024-05-21,多头,1.0,1.0,1,-1.3100000000000265,-0.3599999999999784,-0.9500000000000481,否,是,已平仓
41,2024-05-24,2024-05-28,2024-05-28,多头,1.0,1.0,3,1.0099999999999694,0.68999999999899,0.3200000000009794,是,是,已平仓
42,2024-06-04,2024-06-12,2024-06-12,多头,1.0,1.0,6,5.64000000000002,0.9299999999999935,4.710000000000027,是,是,已平仓
43,2024-06-14,2024-06-17,2024-06-17,多头,1.0,1.0,2,0.6899999999999961,0.6899999999989898,1.0063061495202419e-12,是,是,已平仓
44,2024-06-19,2024-06-25,2024-06-25,多头,1.0,1.0,5,1.8800000000009787,1.8699999999990253,0.010000000001953335,是,是,已平仓
45,2024-06-28,2024-07-01,2024-07-01,多头,1.0,1.0,2,-4.950000000000024,-4.049999999999991,-0.9000000000000332,否,是,已平仓
46,2024-07-03,2024-07-03,2024-07-03,多头,1.0,1.0,1,2.149999999999999,-0.5699999999990089,2.7199999999990077,是,是,已平仓
47,2024-07-15,2024-07-15,2024-07-15,多头,1.0,1.0,1,0.0099999999999753,0.6300000000000056,-0.6200000000000303,是,是,已平仓
48,2024-07-17,2024-08-12,2024-08-12,多头,1.0,1.0,19,4.320000000000988,1.0499999999990024,3.2700000000019855,是,是,已平仓
49,2024-09-05,2024-09-06,2024-09-06,多头,1.0,1.0,2,1.1699999999990192,-0.5199999999989935,1.6899999999980126,是,是,已平仓
50,2024-09-18,2024-09-24,2024-09-24,多头,1.0,1.0,5,-0.6199999999999957,-0.04000000000000492,-0.5799999999999907,否,是,已平仓
51,2024-10-16,2024-10-23,2024-10-23,多头,1.0,1.0,6,-0.8400000000000076,-2.279999999999991,1.4399999999999833,否,是,已平仓
52,2024-11-07,2024-12-17,2024-12-17,多头,1.0,1.0,29,37.51999999999999,39.970000000000006,-2.450000000000017,是,是,已平仓
53,2024-12-24,2025-01-06,2025-01-06,多头,1.0,1.0,9,10.779999999999992,10.529999999999982,0.25000000000001066,是,是,已平仓
54,2025-02-06,2025-02-18,2025-02-18,多头,1.0,1.0,9,-2.8399999999999954,-7.990000000000012,5.150000000000016,否,是,已平仓
55,2025-03-04,2025-03-07,2025-03-07,多头,1.0,1.0,4,-7.689999999999989,-10.469999999999994,2.7800000000000047,否,是,已平仓
56,2025-03-20,2025-04-14,2025-04-14,多头,1.0,1.0,17,18.569999999999006,21.239999999999974,-2.670000000000968,是,是,已平仓
57,2025-04-16,2025-04-23,2025-04-23,多头,1.0,1.0,6,1.7600000000009968,-1.8100000000000063,3.570000000001003,是,是,已平仓
58,2025-04-28,2025-05-15,2025-05-15,多头,1.0,1.0,11,4.539999999999995,-1.9200000000000115,6.460000000000006,是,是,已平仓
59,2025-05-23,2025-06-04,2025-06-04,多头,1.0,1.0,8,-0.7500000000009929,4.8199999999999985,-5.5700000000009915,否,是,已平仓
60,2025-06-11,2025-06-25,2025-06-25,多头,1.0,1.0,11,3.709999999999998,0.2500000000000073,3.459999999999991,是,是,已平仓
61,2025-06-30,2025-07-14,2025-07-14,多头,1.0,1.0,11,1.1800000000000008,-2.6400000000000032,3.820000000000004,是,是,已平仓
62,2025-08-04,2025-08-08,2025-08-08,多头,1.0,1.0,5,-0.2100000000000016,1.6800000000000148,-1.8900000000000163,否,是,已平仓
63,2025-09-01,2025-09-03,2025-09-03,多头,1.0,1.0,3,1.4799999999990168,3.9499999999999953,-2.4700000000009785,是,是,已平仓
64,2025-09-05,2025-09-08,2025-09-08,多头,1.0,1.0,2,-4.500000000000995,-4.539999999999996,0.039999999999000835,否,是,已平仓
65,2025-09-22,2025-09-22,2025-09-22,多头,1.0,1.0,1,0.2300000000000218,1.4199999999999977,-1.189999999999976,是,是,已平仓
66,2025-10-22,2025-10-22,2025-10-22,多头,1.0,1.0,1,0.0,0.6399999999999808,-0.6399999999999808,否,是,已平仓
67,2025-10-27,2025-11-14,2025-11-14,多头,1.0,1.0,15,4.749999999999999,3.459999999999991,1.290000000000008,是,是,已平仓
68,2025-11-18,2025-11-18,2025-11-18,多头,1.0,1.0,1,-0.0500000000000153,-0.1200000000000159,0.07000000000000059,否,是,已平仓
69,2025-11-20,2025-11-21,2025-11-21,多头,1.0,1.0,2,-0.059999999999990596,0.1299999999999913,-0.18999999999998188,否,是,已平仓
70,2025-12-29,2026-01-05,2026-01-05,多头,1.0,1.0,4,-2.0699999999999887,-2.0799999999999987,0.010000000000010001,否,是,已平仓
71,2026-01-22,2026-01-28,2026-01-28,多头,1.0,1.0,5,1.3400000000000225,1.4799999999999882,-0.1399999999999657,是,是,已平仓
