training_rank,training_objective,training_capital_gain_total_bp,training_capital_gain_excess_bp,oos_capital_gain_total_bp,oos_capital_gain_excess_bp
1,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
2,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
3,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
4,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
5,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
6,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
7,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
8,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
9,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
10,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
11,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
12,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
13,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
14,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
15,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
16,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
17,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
18,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
19,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
20,225.12337931034506,133.360000000001,57.84999999999904,15.509999999998996,-4.2700000000020175
