期数,权重搜索版本,训练起始日,训练截止日,样本外起始日,样本外结束日,搜索模式,候选目标函数,上一期参数在当前窗口目标函数,目标函数改善,最小改善阈值,候选参数是否变化,首次定参,是否切换新参数,参数来源,采用参数,参数配置文件,样本外资本利得_BP,样本外超额_BP,样本外交易胜率
1,v2,2022-01-17,2024-01-17,2024-01-18,2024-04-17,combined,91.82444444444546,,,0.0,False,True,False,历史参数复用,联合搜索·历史实验·联合搜索·基础配置·100-重收益-权重搜索最优·周频·仓位1/0/0·无止盈止损·训练至20250101·v2·周频·仓位1/0/0·无止盈止损·训练至20240117·v2,periods/01/参数配置.json,12.459999999999,5.08999999999895,1.0
2,v2,2022-04-18,2024-04-17,2024-04-18,2024-07-17,combined,106.37926470588086,100.45944444444392,5.919820261436925,0.0,True,False,True,历史参数复用,联合搜索·历史实验·联合搜索·基础配置·100-重收益-权重搜索最优·周频·仓位1/0/0·无止盈止损·训练至20250101·v2·周频·仓位1/0/0·无止盈止损·训练至20240417·v2,periods/02/参数配置.json,10.77000000000102,11.46000000000105,1.0
3,v2,2022-07-18,2024-07-17,2024-07-18,2024-10-17,combined,103.25380952380686,102.6074999999986,0.6463095238082701,0.0,True,False,True,历史参数复用,联合搜索·历史实验·联合搜索·基础配置·100-重收益-权重搜索最优·周频·仓位1/0/0·无止盈止损·训练至20250101·v2·周频·仓位1/0/0·无止盈止损·训练至20240717·v2,periods/03/参数配置.json,6.040000000000004,-0.3199999999999727,1.0
4,v2,2022-10-17,2024-10-17,2024-10-18,2025-01-17,combined,101.56868421052762,100.97749999999984,0.5911842105277856,0.0,True,False,True,历史参数复用,联合搜索·历史实验·联合搜索·基础配置·100-重收益-权重搜索最优·周频·仓位1/0/0·无止盈止损·训练至20250101·v2·周频·仓位1/0/0·无止盈止损·训练至20241017·v2,periods/04/参数配置.json,36.29999999999998,-0.8900000000000245,0.5
5,v2,2023-01-17,2025-01-17,2025-01-20,2025-04-17,combined,137.8825000000028,133.561944444446,4.320555555556808,0.0,True,False,True,历史参数复用,联合搜索·历史实验·联合搜索·基础配置·100-重收益-权重搜索最优·周频·仓位1/0/0·无止盈止损·训练至20250101·v2·周频·仓位1/0/0·无止盈止损·训练至20250117·v2,periods/05/参数配置.json,16.629999999999978,0.2000000000009976,1.0
6,v2,2023-04-17,2025-04-17,2025-04-18,2025-07-17,combined,152.57750000000306,152.57750000000306,0.0,0.0,False,False,False,历史参数复用,联合搜索·历史实验·联合搜索·基础配置·100-重收益-权重搜索最优·周频·仓位1/0/0·无止盈止损·训练至20250101·v2·周频·仓位1/0/0·无止盈止损·训练至20250117·v2,periods/06/参数配置.json,8.31999999999996,7.599999999999935,0.6666666666666666
7,v2,2023-07-17,2025-07-17,2025-07-18,2025-10-17,combined,144.8436842105283,144.8436842105283,0.0,0.0,False,False,False,历史参数复用,联合搜索·历史实验·联合搜索·基础配置·100-重收益-权重搜索最优·周频·仓位1/0/0·无止盈止损·训练至20250101·v2·周频·仓位1/0/0·无止盈止损·训练至20250117·v2,periods/07/参数配置.json,-4.350000000001993,-2.8800000000019788,0.0
8,v2,2023-10-17,2025-10-17,2025-10-20,2026-01-16,combined,133.2952380952363,133.2952380952363,0.0,0.0,False,False,False,历史参数复用,联合搜索·历史实验·联合搜索·基础配置·100-重收益-权重搜索最优·周频·仓位1/0/0·无止盈止损·训练至20250101·v2·周频·仓位1/0/0·无止盈止损·训练至20250117·v2,periods/08/参数配置.json,1.279999999999996,1.880000000000007,0.5
9,v2,2024-01-16,2026-01-16,2026-01-19,2026-04-16,combined,113.89404761904582,113.89404761904582,0.0,0.0,False,False,False,历史参数复用,联合搜索·历史实验·联合搜索·基础配置·100-重收益-权重搜索最优·周频·仓位1/0/0·无止盈止损·训练至20250101·v2·周频·仓位1/0/0·无止盈止损·训练至20250117·v2,periods/09/参数配置.json,3.2100000000009894,-0.9799999999999724,0.0
10,v2,2024-04-16,2026-04-16,2026-04-17,2026-07-16,combined,95.27460526315812,95.27460526315812,0.0,0.0,True,False,True,历史参数复用,联合搜索·历史实验·联合搜索·基础配置·100-重收益-权重搜索最优·周频·仓位1/0/0·无止盈止损·训练至20250101·v2·周频·仓位1/0/0·无止盈止损·训练至20260416·v2,periods/10/参数配置.json,7.34000000000002,3.540000000000036,1.0
11,v2,2024-07-16,2026-07-16,2026-07-17,2026-09-18,combined,89.1405882352943,88.14308823529306,0.9975000000012386,0.0,True,False,True,历史参数复用,联合搜索·历史实验·联合搜索·基础配置·100-重收益-权重搜索最优·周频·仓位1/0/0·无止盈止损·训练至20250101·v2·周频·仓位1/0/0·无止盈止损·训练至20260716·v2,periods/11/参数配置.json,5.749999999999991,0.029999999999024,1.0
