信号日期,基线仓位,基线策略资本利得_BP,基线基准资本利得_BP,基线资本利得超额_BP,基线资本利得判断类型,最优仓位,最优策略资本利得_BP,最优资本利得超额_BP,最优资本利得判断类型,仓位是否变化,资本利得判断是否变化,资本利得改善_BP
2022-01-17,1.0,8.139999999999988,7.600000000000003,0.5399999999999849,有效进攻,1.0,8.139999999999988,0.5399999999999849,有效进攻,否,否,0.0
2022-01-24,0.0,0.0,-7.91,7.91,有效防守,0.0,0.0,7.91,有效防守,否,否,0.0
2022-02-14,1.0,-2.2799999999999905,-0.8400000000000074,-1.439999999999983,该空没空,1.0,-2.2799999999999905,-1.439999999999983,该空没空,否,否,0.0
2022-02-21,0.0,0.0,2.2499999999999956,-2.2499999999999956,低仓少吃,0.0,0.0,-2.2499999999999956,低仓少吃,否,否,0.0
2022-02-28,0.0,0.0,-3.7500000000000036,3.7500000000000036,有效防守,0.0,0.0,3.7500000000000036,有效防守,否,否,0.0
2022-03-07,0.0,0.0,2.2300000000000098,-2.2300000000000098,低仓少吃,0.0,0.0,-2.2300000000000098,低仓少吃,否,否,0.0
2022-03-14,0.0,0.0,-0.2500000000000069,0.2500000000000069,有效防守,0.0,0.0,0.2500000000000069,有效防守,否,否,0.0
2022-03-21,0.0,0.0,-0.4499999999999993,0.4499999999999993,有效防守,0.0,0.0,0.4499999999999993,有效防守,否,否,0.0
2022-03-28,0.0,0.0,2.29,-2.29,低仓少吃,0.0,0.0,-2.29,低仓少吃,否,否,0.0
2022-04-04,0.0,0.0,2.1400000000009953,-2.1400000000009953,低仓少吃,0.0,0.0,-2.1400000000009953,低仓少吃,否,否,0.0
2022-04-11,1.0,0.7700000000000071,-0.49000000000097554,1.2600000000009826,其他,1.0,0.7700000000000071,1.2600000000009826,其他,否,否,0.0
2022-04-18,1.0,-4.200000000000001,-8.31000000000002,4.110000000000019,其他,1.0,-4.200000000000001,4.110000000000019,其他,否,否,0.0
2022-04-25,0.0,0.0,0.22999999999998733,-0.22999999999998733,低仓少吃,0.0,0.0,-0.22999999999998733,低仓少吃,否,否,0.0
2022-05-02,1.0,5.58999999999997,1.1300000000000199,4.459999999999949,有效进攻,1.0,5.58999999999997,4.459999999999949,有效进攻,否,否,0.0
2022-05-09,0.0,0.0,1.3300000000000116,-1.3300000000000116,低仓少吃,0.0,0.0,-1.3300000000000116,低仓少吃,否,否,0.0
2022-05-16,0.0,0.0,2.399999999999972,-2.399999999999972,低仓少吃,0.0,0.0,-2.399999999999972,低仓少吃,否,否,0.0
2022-05-23,0.0,0.0,9.259999999999998,-9.259999999999998,低仓少吃,0.0,0.0,-9.259999999999998,低仓少吃,否,否,0.0
2022-05-30,0.0,0.0,-6.269999999999991,6.269999999999991,有效防守,0.0,0.0,6.269999999999991,有效防守,否,否,0.0
2022-06-06,0.0,0.0,0.7500000000000216,-0.7500000000000216,低仓少吃,0.0,0.0,-0.7500000000000216,低仓少吃,否,否,0.0
2022-06-13,0.0,0.0,-2.2600000000000047,2.2600000000000047,有效防守,0.0,0.0,2.2600000000000047,有效防守,否,否,0.0
2022-06-20,0.0,0.0,-2.260000000000005,2.260000000000005,有效防守,0.0,0.0,2.260000000000005,有效防守,否,否,0.0
2022-06-27,0.0,0.0,-2.7699999999999942,2.7699999999999942,有效防守,0.0,0.0,2.7699999999999942,有效防守,否,否,0.0
2022-07-04,1.0,-0.49999999999997957,-1.2900000000000063,0.7900000000000267,其他,1.0,-0.49999999999997957,0.7900000000000267,其他,否,否,0.0
2022-07-11,1.0,5.229999999999958,5.269999999999997,-0.040000000000039115,有效进攻,1.0,5.229999999999958,-0.040000000000039115,有效进攻,否,否,0.0
2022-07-18,1.0,3.8200000000000034,-0.129999999999991,3.9499999999999944,其他,1.0,3.8200000000000034,3.9499999999999944,其他,否,否,0.0
2022-07-25,1.0,2.84000000000003,3.1000000000009837,-0.2600000000009537,有效进攻,1.0,2.84000000000003,-0.2600000000009537,有效进攻,否,否,0.0
2022-08-01,1.0,3.90999999999999,2.2099999999990185,1.7000000000009714,有效进攻,1.0,3.90999999999999,1.7000000000009714,有效进攻,否,否,0.0
2022-08-08,1.0,-1.369999999999011,-0.08000000000001067,-1.2899999999990002,该空没空,1.0,-1.369999999999011,-1.2899999999990002,该空没空,否,否,0.0
2022-08-15,0.0,0.0,14.720000000000011,-14.720000000000011,低仓少吃,0.0,0.0,-14.720000000000011,低仓少吃,否,否,0.0
2022-08-22,0.0,0.0,-5.55,5.55,有效防守,0.0,0.0,5.55,有效防守,否,否,0.0
2022-08-29,1.0,3.33,2.039999999999993,1.2900000000000071,有效进攻,1.0,3.33,1.2900000000000071,有效进攻,否,否,0.0
2022-09-05,1.0,-0.37999999999999834,-1.2399999999999909,0.8599999999999925,其他,1.0,-0.37999999999999834,0.8599999999999925,其他,否,否,0.0
2022-09-12,1.0,-0.4900000000010103,-3.8000000000000185,3.3099999999990084,其他,1.0,-0.4900000000010103,3.3099999999990084,其他,否,否,0.0
2022-09-19,0.0,0.0,-0.7199999999999913,0.7199999999999913,有效防守,0.0,0.0,0.7199999999999913,有效防守,否,否,0.0
2022-09-26,1.0,-2.899999999999986,-1.7500000000000147,-1.1499999999999715,该空没空,1.0,-2.899999999999986,-1.1499999999999715,该空没空,否,否,0.0
2022-10-17,0.0,0.0,-3.0099999999989855,3.0099999999989855,有效防守,0.0,0.0,3.0099999999989855,有效防守,否,否,0.0
2022-10-24,0.0,0.0,6.250000000000005,-6.250000000000005,低仓少吃,0.0,0.0,-6.250000000000005,低仓少吃,否,否,0.0
2022-10-31,0.0,0.0,-3.7000000000009945,3.7000000000009945,有效防守,0.0,0.0,3.7000000000009945,有效防守,否,否,0.0
2022-11-07,1.0,-1.7499999999999807,-3.3100000000000143,1.5600000000000336,其他,1.0,-1.7499999999999807,1.5600000000000336,其他,否,否,0.0
2022-11-14,0.0,0.0,-8.96000000000001,8.96000000000001,有效防守,0.0,0.0,8.96000000000001,有效防守,否,否,0.0
2022-11-21,1.0,2.360000000001007,-0.49999999999997957,2.8600000000009866,其他,1.0,2.360000000001007,2.8600000000009866,其他,否,否,0.0
2022-11-28,0.0,0.0,-3.760000000000013,3.760000000000013,有效防守,0.0,0.0,3.760000000000013,有效防守,否,否,0.0
2022-12-05,0.0,0.0,-2.2699999999990084,2.2699999999990084,有效防守,0.0,0.0,2.2699999999990084,有效防守,否,否,0.0
