实验编号,实验阶段,调整模块,候选参数,供给低分位,供给高分位,需求低分位,需求高分位,地方债国债利差低分位,地方债国债利差高分位,地方债NCD利差低分位,地方债NCD利差高分位,利差周变化阈值_BP,看空总分阈值,看空最少利空模块数,看空要求供给或需求利空,看空连续确认周期数,目标函数,策略累计收益率,基准累计收益率,累计超额收益率,策略年化收益率,策略夏普比率,策略最大回撤,累计资本利得_BP,基准累计资本利得_BP,资本利得超额_BP,资本利得交易胜率,开仓交易总数,已平仓交易数,平均单笔资本利得_BP,平均每笔盈利_BP,最佳交易_BP,最差交易_BP,资本利得最大回撤_BP,未平仓交易数,未平仓浮动资本利得_BP,调仓周期胜率,看空信号数,相对基线变化信号数,策略Carry贡献,策略资本利得贡献,最新总分,最新仓位
单模块最优阈值组合,组合基线,全部,单模块最优阈值组合,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,30.0,0,0,1,111.2727500000009,0.13459240096309144,0.10347953373246854,0.031112867230622898,0.038939391557323955,2.071684125634614,-0.011717476437036689,94.34499999999952,66.08999999999945,28.255000000000067,1.0,13,12,7.099166666666627,7.099166666666627,42.199999999999534,0.10500000000000087,-14.659999999999016,1,9.155,0.6488095238095238,16,5,0.044401166666666644,0.08313662619100037,67.5,0.5
看空<30_仅总分,看空触发条件,总分与确认规则,仅总分,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,30.0,0,0,1,111.2727500000009,0.13459240096309144,0.10347953373246854,0.031112867230622898,0.038939391557323955,2.071684125634614,-0.011717476437036689,94.34499999999952,66.08999999999945,28.255000000000067,1.0,13,12,7.099166666666627,7.099166666666627,42.199999999999534,0.10500000000000087,-14.659999999999016,1,9.155,0.6488095238095238,16,5,0.044401166666666644,0.08313662619100037,67.5,0.5
看空<30_至少2个模块利空,看空触发条件,总分与确认规则,至少2个模块利空,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,30.0,2,0,1,111.2727500000009,0.13459240096309144,0.10347953373246854,0.031112867230622898,0.038939391557323955,2.071684125634614,-0.011717476437036689,94.34499999999952,66.08999999999945,28.255000000000067,1.0,13,12,7.099166666666627,7.099166666666627,42.199999999999534,0.10500000000000087,-14.659999999999016,1,9.155,0.6488095238095238,16,5,0.044401166666666644,0.08313662619100037,67.5,0.5
15/85_x_25/75,关键模块交叉,地方债国债利差阈值 × 供给分位阈值,x_25/75,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,30.0,2,0,1,111.2727500000009,0.13459240096309144,0.10347953373246854,0.031112867230622898,0.038939391557323955,2.071684125634614,-0.011717476437036689,94.34499999999952,66.08999999999945,28.255000000000067,1.0,13,12,7.099166666666627,7.099166666666627,42.199999999999534,0.10500000000000087,-14.659999999999016,1,9.155,0.6488095238095238,16,5,0.044401166666666644,0.08313662619100037,67.5,0.5
20/80_x_25/75,关键模块交叉,地方债国债利差阈值 × 供给分位阈值,x_25/75,25.0,75.0,25.0,75.0,20.0,80.0,35.0,65.0,1.5,30.0,2,0,1,110.85525000000068,0.1324966824029341,0.10145710616508397,0.03103957623785014,0.03835846825252154,2.0083084353159375,-0.011717476437037466,92.39499999999902,64.24999999999947,28.14499999999954,1.0,13,12,7.040833333333254,7.040833333333254,42.199999999999534,0.10500000000000087,-14.659999999999016,1,7.904999999999996,0.6428571428571429,17,3,0.04428371825396822,0.08140860360581631,67.5,0.5
地方债NCD利差阈值_35/65,单模块敏感性,地方债NCD利差阈值,35/65,25.0,75.0,25.0,75.0,20.0,80.0,35.0,65.0,2.0,30.0,0,0,1,110.49050000000089,0.1324776133935459,0.10304582625999159,0.02943178713355432,0.038353178972097,2.0198604936819384,-0.011717476437037022,92.63999999999952,66.14999999999948,26.490000000000038,1.0,13,12,7.061249999999962,7.061249999999962,42.199999999999534,0.10500000000000087,-14.659999999999016,1,7.904999999999996,0.6428571428571429,17,2,0.044052922619047585,0.08161967604321049,67.5,0.5
看空<25_仅总分,看空触发条件,总分与确认规则,仅总分,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,25.0,0,0,1,110.40475000000056,0.13330661950140077,0.10331555281698801,0.02999106668441276,0.03858306781942078,2.011980994365402,-0.0117174764370368,91.5299999999985,64.49499999999897,27.034999999999528,1.0,9,8,10.296874999999812,10.296874999999812,44.74499999999903,0.41499999999999876,-14.659999999999016,1,9.155,0.6666666666666666,11,8,0.045649829365079345,0.08076113301194267,67.5,0.5
看空<25_至少2个模块利空,看空触发条件,总分与确认规则,至少2个模块利空,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,25.0,2,0,1,110.40475000000056,0.13330661950140077,0.10331555281698801,0.02999106668441276,0.03858306781942078,2.011980994365402,-0.0117174764370368,91.5299999999985,64.49499999999897,27.034999999999528,1.0,9,8,10.296874999999812,10.296874999999812,44.74499999999903,0.41499999999999876,-14.659999999999016,1,9.155,0.6666666666666666,11,8,0.045649829365079345,0.08076113301194267,67.5,0.5
利差周变化阈值_±1.5BP,单模块敏感性,利差周变化阈值,±1.5BP,25.0,75.0,25.0,75.0,20.0,80.0,25.0,75.0,1.5,30.0,0,0,1,110.26500000000065,0.12859554045764066,0.09677985071472994,0.03181568974291071,0.03727509005604279,1.9048783318623177,-0.0117174764370368,88.349999999999,59.32999999999948,29.01999999999952,1.0,12,11,7.313181818181729,7.313181818181729,41.01499999999953,0.41499999999999876,-14.659999999999016,1,7.904999999999996,0.6428571428571429,16,1,0.04429710515873013,0.07794766162925741,67.5,0.5
地方债国债利差阈值_15/85,单模块敏感性,地方债国债利差阈值,15/85,25.0,75.0,25.0,75.0,15.0,85.0,25.0,75.0,2.0,30.0,0,0,1,109.91025000000089,0.12965240698207525,0.10041679520087854,0.029235611781196713,0.03756884793408033,1.9570479983147842,-0.011717476437037244,89.84499999999949,63.43999999999947,26.405000000000015,1.0,12,11,7.3354545454545015,7.3354545454545015,41.01499999999953,0.41499999999999876,-14.659999999999016,1,9.155,0.6428571428571429,16,1,0.04388198015873013,0.07929187471190376,67.5,0.5
阈值原始基线,基线,全部,阈值原始基线,25.0,75.0,25.0,75.0,20.0,80.0,25.0,75.0,2.0,30.0,0,0,1,109.90025000000088,0.12857653713578432,0.09836182442824715,0.030214712707537172,0.03726980629422405,1.9156488090291062,-0.011717476437037244,88.59499999999949,61.229999999999485,27.365000000000002,1.0,12,11,7.3354545454545015,7.3354545454545015,41.01499999999953,0.41499999999999876,-14.659999999999016,1,7.904999999999996,0.6428571428571429,16,0,0.044066309523809494,0.07815873406665158,67.5,0.5
供给分位阈值_25/75,单模块敏感性,供给分位阈值,25/75,25.0,75.0,25.0,75.0,20.0,80.0,25.0,75.0,2.0,30.0,0,0,1,109.90025000000088,0.12857653713578432,0.09836182442824715,0.030214712707537172,0.03726980629422405,1.9156488090291062,-0.011717476437037244,88.59499999999949,61.229999999999485,27.365000000000002,1.0,12,11,7.3354545454545015,7.3354545454545015,41.01499999999953,0.41499999999999876,-14.659999999999016,1,7.904999999999996,0.6428571428571429,16,0,0.044066309523809494,0.07815873406665158,67.5,0.5
银行需求分位阈值_20/80,单模块敏感性,银行需求分位阈值,20/80,25.0,75.0,20.0,80.0,20.0,80.0,25.0,75.0,2.0,30.0,0,0,1,109.90025000000088,0.12857653713578432,0.09836182442824715,0.030214712707537172,0.03726980629422405,1.9156488090291062,-0.011717476437037244,88.59499999999949,61.229999999999485,27.365000000000002,1.0,12,11,7.3354545454545015,7.3354545454545015,41.01499999999953,0.41499999999999876,-14.659999999999016,1,7.904999999999996,0.6428571428571429,16,0,0.044066309523809494,0.07815873406665158,67.5,0.5
银行需求分位阈值_25/75,单模块敏感性,银行需求分位阈值,25/75,25.0,75.0,25.0,75.0,20.0,80.0,25.0,75.0,2.0,30.0,0,0,1,109.90025000000088,0.12857653713578432,0.09836182442824715,0.030214712707537172,0.03726980629422405,1.9156488090291062,-0.011717476437037244,88.59499999999949,61.229999999999485,27.365000000000002,1.0,12,11,7.3354545454545015,7.3354545454545015,41.01499999999953,0.41499999999999876,-14.659999999999016,1,7.904999999999996,0.6428571428571429,16,0,0.044066309523809494,0.07815873406665158,67.5,0.5
地方债国债利差阈值_20/80,单模块敏感性,地方债国债利差阈值,20/80,25.0,75.0,25.0,75.0,20.0,80.0,25.0,75.0,2.0,30.0,0,0,1,109.90025000000088,0.12857653713578432,0.09836182442824715,0.030214712707537172,0.03726980629422405,1.9156488090291062,-0.011717476437037244,88.59499999999949,61.229999999999485,27.365000000000002,1.0,12,11,7.3354545454545015,7.3354545454545015,41.01499999999953,0.41499999999999876,-14.659999999999016,1,7.904999999999996,0.6428571428571429,16,0,0.044066309523809494,0.07815873406665158,67.5,0.5
地方债NCD利差阈值_25/75,单模块敏感性,地方债NCD利差阈值,25/75,25.0,75.0,25.0,75.0,20.0,80.0,25.0,75.0,2.0,30.0,0,0,1,109.90025000000088,0.12857653713578432,0.09836182442824715,0.030214712707537172,0.03726980629422405,1.9156488090291062,-0.011717476437037244,88.59499999999949,61.229999999999485,27.365000000000002,1.0,12,11,7.3354545454545015,7.3354545454545015,41.01499999999953,0.41499999999999876,-14.659999999999016,1,7.904999999999996,0.6428571428571429,16,0,0.044066309523809494,0.07815873406665158,67.5,0.5
地方债NCD利差阈值_30/70,单模块敏感性,地方债NCD利差阈值,30/70,25.0,75.0,25.0,75.0,20.0,80.0,30.0,70.0,2.0,30.0,0,0,1,109.90025000000088,0.12857653713578432,0.09836182442824715,0.030214712707537172,0.03726980629422405,1.9156488090291062,-0.011717476437037244,88.59499999999949,61.229999999999485,27.365000000000002,1.0,12,11,7.3354545454545015,7.3354545454545015,41.01499999999953,0.41499999999999876,-14.659999999999016,1,7.904999999999996,0.6428571428571429,16,0,0.044066309523809494,0.07815873406665158,67.5,0.5
