"日期","10Y 一般债 好 新券"
"2026-01-04",2.0366
"2026-01-05",2.0451
"2026-01-06",2.0655
"2026-01-07",2.0744
"2026-01-08",2.0709
"2026-01-09",2.0664
"2026-01-12",2.0518
"2026-01-13",2.0451
"2026-01-14",2.0363
"2026-01-15",2.03
"2026-01-16",2.0259
"2026-01-19",2.0154
"2026-01-20",2.0094
"2026-01-21",2.0006
"2026-01-22",1.9936
"2026-01-23",1.9821
"2026-01-26",1.9819
"2026-01-27",1.9921
"2026-01-28",1.9898
"2026-01-29",1.9824
"2026-01-30",1.9803
"2026-02-02",1.9864
"2026-02-03",1.9914
"2026-02-04",1.9924
"2026-02-05",1.9899
"2026-02-06",1.9838
"2026-02-09",1.9786
"2026-02-10",1.9815
"2026-02-11",1.9775
"2026-02-12",1.9767
"2026-02-13",1.9769
"2026-02-14",1.974
"2026-02-24",1.9706
"2026-02-25",1.9764
"2026-02-26",1.9896
"2026-02-27",1.9892
"2026-02-28",1.9866
"2026-03-02",1.9795
"2026-03-03",1.9761
"2026-03-04",1.9724
"2026-03-05",1.9696
"2026-03-06",1.9696
"2026-03-09",1.9881
"2026-03-10",1.9841
"2026-03-11",1.9843
"2026-03-12",1.9836
"2026-03-13",1.9819
"2026-03-16",1.9933
"2026-03-17",1.9903
"2026-03-18",1.9863
"2026-03-19",1.9818
"2026-03-20",1.9851
"2026-03-23",1.9936
"2026-03-24",1.9904
"2026-03-25",1.9884
"2026-03-26",1.9833
"2026-03-27",1.981
"2026-03-30",1.9721
"2026-03-31",1.9708
"2026-04-01",1.9776
"2026-04-02",1.9738
"2026-04-03",1.9705
"2026-04-07",1.9615
"2026-04-08",1.9559
"2026-04-09",1.956
"2026-04-10",1.9513
"2026-04-13",1.9449
"2026-04-14",1.9358
"2026-04-15",1.9246
"2026-04-16",1.9215
"2026-04-17",1.9074
"2026-04-20",1.9033
"2026-04-21",1.8952
"2026-04-22",1.8853
"2026-04-23",1.8898
"2026-04-24",1.8985
"2026-04-27",1.9113
"2026-04-28",1.9087
"2026-04-29",1.8997
"2026-04-30",1.8997
"2026-05-06",1.9077
"2026-05-07",1.905
"2026-05-08",1.896
"2026-05-09",1.893
"2026-05-11",1.8881
"2026-05-12",1.881
"2026-05-13",1.8742
"2026-05-14",1.8717
"2026-05-15",1.8701
"2026-05-18",1.8651
"2026-05-19",1.8577
"2026-05-20",1.851
"2026-05-21",1.8511
"2026-05-22",1.8539
"2026-05-25",1.8537
"2026-05-26",1.8473
"2026-05-27",1.8364
"2026-05-28",1.8202
"2026-05-29",1.8181
"2026-06-01",1.809
"2026-06-02",1.8028
"2026-06-03",1.8028
"2026-06-04",1.7946
"2026-06-05",1.7946
"2026-06-08",1.8046
"2026-06-09",1.8098
"2026-06-10",1.8217
"2026-06-11",1.8291
"2026-06-12",1.835
"2026-06-15",1.8387
"2026-06-16",1.8334
"2026-06-17",1.8287
"2026-06-18",1.8217
"2026-06-22",1.8254
"2026-06-23",1.8267
"2026-06-24",1.8301
"2026-06-25",1.8299
"2026-06-26",1.8254
"2026-06-29",1.8161
"2026-06-30",1.819
"2026-07-01",1.8287
"2026-07-02",1.8293
"2026-07-03",1.8382
"2026-07-06",1.828
"2026-07-07",1.8236
"2026-07-08",1.8232
"2026-07-09",1.8193
"2026-07-10",1.8176
"2026-07-13",1.8158
"2026-07-14",1.8166
"2026-07-15",1.8137
"2026-07-16",1.8102
"2026-07-17",1.8072
"2026-07-20",1.8086
"2026-07-21",1.8086
"2026-07-22",1.8
"2026-07-23",1.798
"2026-07-24",1.7949
"2026-07-27",1.7925
"2026-07-28",1.7881
"2026-07-29",1.7904
"2026-07-30",1.7901
"2026-07-31",1.785
"2026-08-03",1.782
"2026-08-04",1.7787
"2026-08-05",1.7758
"2026-08-06",1.7752
"2026-08-07",1.7707
"2026-08-10",1.7655
"2026-08-11",1.767
"2026-08-12",1.7653
"2026-08-13",1.7598
"2026-08-14",1.7503
"2026-08-17",1.7485
"2026-08-18",1.7432
"2026-08-19",1.7432
"2026-08-20",1.7521
"2026-08-21",1.7521
"2026-08-24",1.7492
"2026-08-25",1.75
"2026-08-26",1.7526
"2026-08-27",1.762
"2026-08-28",1.7624
"2026-08-31",1.7633
"2026-09-01",1.7581
"2026-09-02",1.7581
"2026-09-03",1.7541
"2026-09-04",1.7545
"2026-09-07",""
