频率,指标,最新周期起始,最新周期结束,最新值
周度,信号产生日期,2026-09-14,2026-09-20,2026-09-13
周度,信号适用开始日期,2026-09-14,2026-09-20,2026-09-14
周度,信号适用结束日期,2026-09-14,2026-09-20,2026-09-18
周度,供给信息截至日期,2026-09-14,2026-09-20,2026-09-13
周度,银行需求取数日期,2026-09-14,2026-09-20,2026-09-11
周度,利差取数日期,2026-09-14,2026-09-20,2026-09-11
周度,非银情绪取数日期,2026-09-14,2026-09-20,2026-09-13
周度,未来一周地方债发行量,2026-09-14,2026-09-20,2029.1137
周度,未来一周地方债发行量_1年内滚动分位数,2026-09-14,2026-09-20,58.82352941176471
周度,未来一周地方债发行量/（国债发行量+地方债发行量）,2026-09-14,2026-09-20,0.4010808652116279
周度,未来一周地方债发行量/（国债发行量+地方债发行量）_1年内滚动分位数,2026-09-14,2026-09-20,56.86274509803921
周度,地方债发行10年以上绝对发行量,2026-09-14,2026-09-20,928.9127
周度,地方债发行10年以上绝对发行量_1年内滚动分位数,2026-09-14,2026-09-20,56.86274509803921
周度,过去一周是否有地方债“发飞”,2026-09-14,2026-09-20,未知
周度,银行过去一周净买入金额,2026-09-14,2026-09-20,35.68999999999996
周度,银行过去一周净买入金额_3M滚动分位数,2026-09-14,2026-09-20,77.77777777777779
周度,银行过去一周净买入金额_1Y滚动分位数,2026-09-14,2026-09-20,75.0
周度,10年好地区一般债-10年国债活跃券利差,2026-09-14,2026-09-20,6.489999999999996
周度,10年好地区一般债-10年国债活跃券利差_1年内滚动分位数,2026-09-14,2026-09-20,3.9215686274509802
周度,上述利差周度变化情况,2026-09-14,2026-09-20,-0.9200000000000097
周度,10年好地区一般债-1年国股行NCD利差,2026-09-14,2026-09-20,26.979999999999983
周度,10年好地区一般债-1年国股行NCD利差_1年内滚动分位数,2026-09-14,2026-09-20,0.0
周度,基煜纯债基金周度净申购情况,2026-09-14,2026-09-20,1.148355
日度,信号产生日期,2026-09-14,2026-09-14,2026-09-13
日度,信号适用开始日期,2026-09-14,2026-09-14,2026-09-14
日度,信号适用结束日期,2026-09-14,2026-09-14,2026-09-14
日度,供给取数日期,2026-09-14,2026-09-14,2026-09-13
日度,银行需求取数日期,2026-09-14,2026-09-14,2026-09-11
日度,利差取数日期,2026-09-14,2026-09-14,2026-09-11
日度,非银情绪取数日期,2026-09-14,2026-09-14,2026-09-11
日度,未来一周地方债发行量,2026-09-14,2026-09-14,2029.1137
日度,未来一周地方债发行量_1年内滚动分位数,2026-09-14,2026-09-14,58.35616438356165
日度,未来一周地方债发行量/（国债发行量+地方债发行量）,2026-09-14,2026-09-14,0.4010808652116279
日度,未来一周地方债发行量/（国债发行量+地方债发行量）_1年内滚动分位数,2026-09-14,2026-09-14,54.34173669467787
日度,地方债发行10年以上绝对发行量,2026-09-14,2026-09-14,928.9127
日度,地方债发行10年以上绝对发行量_1年内滚动分位数,2026-09-14,2026-09-14,60.0
日度,过去一周是否有地方债“发飞”,2026-09-14,2026-09-14,未知
日度,银行过去一周净买入金额,2026-09-14,2026-09-14,35.68999999999996
日度,银行过去一周净买入金额_3M滚动分位数,2026-09-14,2026-09-14,77.77777777777779
日度,银行过去一周净买入金额_1Y滚动分位数,2026-09-14,2026-09-14,75.0
日度,10年好地区一般债-10年国债活跃券利差,2026-09-14,2026-09-14,6.489999999999996
日度,10年好地区一般债-10年国债活跃券利差_1年内滚动分位数,2026-09-14,2026-09-14,7.258064516129033
日度,上述利差周度变化情况,2026-09-14,2026-09-14,-0.9200000000000097
日度,10年好地区一般债-1年国股行NCD利差,2026-09-14,2026-09-14,26.979999999999983
日度,10年好地区一般债-1年国股行NCD利差_1年内滚动分位数,2026-09-14,2026-09-14,1.2096774193548387
日度,基煜纯债基金周度净申购情况,2026-09-14,2026-09-14,1.148355
