日期,未来一周地方债发行量,未来一周国债发行量,地方债发行10年以上绝对发行量,未来一周地方债发行量/（国债发行量+地方债发行量）,未来一周地方债发行量_1年内滚动分位数,未来一周地方债发行量/（国债发行量+地方债发行量）_1年内滚动分位数,地方债发行10年以上绝对发行量_1年内滚动分位数,过去一周是否有地方债“发飞”
2020-01-02,1325.71,850.0000000000027,547.2202000000002,0.6093229336630334,,,,未知
2020-01-03,999.41,850.0000000000027,454.8100000000003,0.5403939634802443,0.0,0.0,0.0,未知
2020-01-04,1150.08,750.0000000000027,520.7200000000003,0.6052797776935699,0.5,0.5,0.5,未知
2020-01-05,1150.08,750.0000000000027,520.7200000000003,0.6052797776935699,0.6666666666666666,0.6666666666666666,0.6666666666666666,未知
2020-01-06,1150.08,750.0000000000027,520.7200000000003,0.6052797776935699,0.75,0.75,0.75,未知
2020-01-07,1744.08,750.0000000000027,502.1323000000003,0.6992879137798299,1.0,1.0,0.2,未知
2020-01-08,2042.29,750.0000000000027,684.3023000000003,0.7314032568250425,1.0,1.0,1.0,未知
2020-01-09,2142.29,750.0000000000027,718.3023000000003,0.7406899031563218,1.0,1.0,1.0,未知
2020-01-10,3194.82,750.0000000000027,1172.2325,0.8098772567569618,1.0,1.0,1.0,未知
2020-01-11,4839.38,750.0000000000027,1587.1889,0.8658169600206101,1.0,1.0,1.0,未知
2020-01-12,4839.38,750.0000000000027,1587.1889,0.8658169600206101,1.0,1.0,1.0,未知
2020-01-13,4839.38,750.0000000000027,1587.1889,0.8658169600206101,1.0,1.0,1.0,未知
2020-01-14,4197.877799999999,750.0000000000027,1659.0095,0.8484198619456603,0.75,0.75,1.0,未知
2020-01-15,4482.6378,750.0000000000027,1720.4395,0.8566688487401131,0.7692307692307693,0.7692307692307693,1.0,未知
2020-01-16,4382.6378,100.0000000000027,1686.4395,0.9776917064323147,0.7142857142857143,1.0,0.9285714285714286,未知
2020-01-17,2780.6978,100.0000000000027,1008.8993,0.9652861886449864,0.5333333333333333,0.9333333333333333,0.5333333333333333,未知
2020-01-18,985.4678,0.0,528.0329000000003,1.0,0.0,1.0,0.3125,未知
2020-01-19,985.4678,0.0,528.0329000000003,1.0,0.058823529411764705,1.0,0.35294117647058826,未知
2020-01-20,985.4678,0.0,528.0329000000003,1.0,0.1111111111111111,1.0,0.3888888888888889,未知
2020-01-21,582.97,0.0,243.6000000000003,1.0,0.0,1.0,0.0,未知
2020-01-22,0.0,0.0,0.0,,0.0,,0.0,未知
2020-01-23,0.0,0.0,0.0,,0.047619047619047616,,0.047619047619047616,未知
2020-01-24,0.0,0.0,0.0,,0.09090909090909091,,0.09090909090909091,未知
2020-01-25,0.0,0.0,0.0,,0.13043478260869565,,0.13043478260869565,未知
2020-01-26,0.0,0.0,0.0,,0.16666666666666666,,0.16666666666666666,未知
2020-01-27,0.0,0.0,0.0,,0.2,,0.2,未知
2020-01-28,0.0,0.0,0.0,,0.23076923076923078,,0.23076923076923078,未知
2020-01-29,0.0,0.0,0.0,,0.25925925925925924,,0.25925925925925924,未知
2020-01-30,0.0,440.0000000000027,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,未知
2020-01-31,0.0,440.0000000000027,0.0,0.0,0.3103448275862069,0.047619047619047616,0.3103448275862069,未知
2020-02-01,0.0,640.0000000000027,0.0,0.0,0.3333333333333333,0.09090909090909091,0.3333333333333333,未知
2020-02-02,0.0,640.0000000000027,0.0,0.0,0.3548387096774194,0.13043478260869565,0.3548387096774194,未知
2020-02-03,0.0,640.0000000000027,0.0,0.0,0.375,0.16666666666666666,0.375,未知
2020-02-04,692.0,640.0000000000027,238.3900000000003,0.5195195195195185,0.42424242424242425,0.2,0.3939393939393939,未知
2020-02-05,692.0,640.0000000000027,238.3900000000003,0.5195195195195185,0.4411764705882353,0.23076923076923078,0.4117647058823529,未知
2020-02-06,692.0,630.0000000000027,238.3900000000003,0.5234493192133121,0.45714285714285713,0.25925925925925924,0.42857142857142855,未知
2020-02-07,692.0,630.0000000000027,238.3900000000003,0.5234493192133121,0.4722222222222222,0.2857142857142857,0.4444444444444444,未知
2020-02-08,692.0,530.0000000000027,238.3900000000003,0.5662847790507353,0.4864864864864865,0.3448275862068966,0.4594594594594595,未知
2020-02-09,692.0,530.0000000000027,238.3900000000003,0.5662847790507353,0.5,0.36666666666666664,0.47368421052631576,未知
2020-02-10,692.0,530.0000000000027,238.3900000000003,0.5662847790507353,0.5128205128205128,0.3870967741935484,0.48717948717948717,未知
2020-02-11,0.0,530.0000000000027,0.0,0.0,0.325,0.15625,0.325,未知
2020-02-12,147.32,530.0000000000027,0.0,0.2175042815803452,0.34146341463414637,0.18181818181818182,0.34146341463414637,未知
2020-02-13,147.32,680.0000000000027,0.0,0.1780689455108054,0.35714285714285715,0.17647058823529413,0.35714285714285715,未知
2020-02-14,247.3,680.0000000000027,91.0200000000003,0.26668823465976416,0.37209302325581395,0.22857142857142856,0.37209302325581395,未知
