日期,基煜纯债基金净申购情况_日度原始值
2020-01-13,-0.001108
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,-0.000238
2020-01-20,-0.000269
2020-01-21,
2020-01-22,
2020-01-23,
2020-02-03,-0.028154
2020-02-04,-0.000169
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-17,
2020-02-18,
2020-02-19,0.041626
2020-02-20,0.034689
2020-02-21,
2020-02-24,
2020-02-25,
2020-02-26,-0.005621
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,0.020813
2020-03-04,0.055502
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,0.033995
2020-03-13,
2020-03-16,0.020813
2020-03-17,
2020-03-18,
2020-03-19,0.194603
2020-03-20,
2020-03-23,0.007812
2020-03-24,0.009713
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,-0.002777
2020-04-03,
2020-04-07,-0.013917
2020-04-08,0.036076
2020-04-09,
2020-04-10,0.007808
2020-04-13,
2020-04-14,
2020-04-15,0.041626
2020-04-16,-0.042528
2020-04-17,
2020-04-20,
2020-04-21,0.013875
2020-04-22,0.013875
2020-04-23,-0.007114
2020-04-24,
2020-04-27,
2020-04-28,0.039506
2020-04-29,0.041626
2020-04-30,
2020-05-06,-0.0029
2020-05-07,
2020-05-08,-0.000733
2020-05-11,
2020-05-12,-0.00333
2020-05-13,
2020-05-14,
2020-05-15,0.019148
2020-05-18,0.000278
2020-05-19,0.013875
2020-05-20,
2020-05-21,0.00025
2020-05-22,0.009782
2020-05-25,0.002567
2020-05-26,
2020-05-27,
2020-05-28,0.065492
2020-05-29,0.029628
2020-06-01,
2020-06-02,-0.009279
2020-06-03,-0.038098
2020-06-04,-0.00049
2020-06-05,-0.007085
2020-06-08,0.0228
2020-06-09,-0.001428
2020-06-10,0.000416
2020-06-11,0.014014
2020-06-12,0.007493
2020-06-15,0.014153
2020-06-16,0.016243
2020-06-17,0.009629
2020-06-18,0.024976
2020-06-19,0.004163
2020-06-22,
2020-06-23,-0.062473
2020-06-24,-0.006944
2020-06-29,0.074372
2020-06-30,0.004856
2020-07-01,0.000786
2020-07-02,-0.061618
2020-07-03,
2020-07-06,-0.006292
2020-07-07,-0.024954
2020-07-08,-0.011474
2020-07-09,0.000278
2020-07-10,
2020-07-13,-0.041389
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-20,-0.006646
2020-07-21,0.002914
2020-07-22,
2020-07-23,0.001041
2020-07-24,-0.01385
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-03,-0.007748
2020-08-04,-0.000116
2020-08-05,
2020-08-06,
2020-08-07,-9.1e-05
2020-08-10,
2020-08-11,0.009966
2020-08-12,0.034134
2020-08-13,0.018732
2020-08-14,0.009713
2020-08-17,0.00555
2020-08-18,-0.0001
2020-08-19,
2020-08-20,0.031913
2020-08-21,0.020536
2020-08-24,
2020-08-25,-0.025393
2020-08-26,0.006756
2020-08-27,0.002775
2020-08-28,
2020-08-31,-0.027429
2020-09-01,0.008325
2020-09-02,0.020813
2020-09-03,0.001388
2020-09-04,
2020-09-07,
2020-09-08,-0.013766
2020-09-09,2.8e-05
2020-09-10,0.002769
2020-09-11,
2020-09-14,0.009713
2020-09-15,5e-05
2020-09-16,0.009713
2020-09-17,0.027751
2020-09-18,-0.001667
2020-09-21,-0.01912
2020-09-22,-0.006809
2020-09-23,
2020-09-24,0.014194
2020-09-25,0.000694
2020-09-28,
2020-09-29,0.045368
2020-09-30,
2020-10-09,0.000208
2020-10-12,0.000139
2020-10-13,0.013875
2020-10-14,
2020-10-15,0.004163
2020-10-16,0.016836
2020-10-19,
2020-10-20,-0.016438
2020-10-21,0.009416
2020-10-22,0.001388
2020-10-23,0.000833
2020-10-26,0.004856
2020-10-27,-0.001391
2020-10-28,0.023588
2020-10-29,0.00555
2020-10-30,
2020-11-02,0.023545
2020-11-03,0.012341
2020-11-04,0.012488
2020-11-05,0.052727
2020-11-06,0.021507
2020-11-09,0.002775
2020-11-10,-0.008408
2020-11-11,-0.00898
2020-11-12,
2020-11-13,-0.03136
2020-11-16,0.003483
2020-11-17,0.009033
2020-11-18,0.002081
2020-11-19,-0.034117
2020-11-20,0.001497
2020-11-23,
2020-11-24,0.045121
2020-11-25,-0.027243
2020-11-26,
2020-11-27,7.5e-05
2020-11-30,0.014264
2020-12-01,0.021507
2020-12-02,9.9e-05
2020-12-03,0.015402
2020-12-04,0.000694
2020-12-07,0.000125
2020-12-08,0.0
2020-12-09,0.000389
2020-12-10,5.7e-05
2020-12-11,-0.002951
2020-12-14,
2020-12-15,0.000526
2020-12-16,0.000139
2020-12-17,1e-06
2020-12-18,-0.005483
2020-12-21,0.019426
2020-12-22,0.008432
2020-12-23,0.030526
2020-12-24,-0.014429
2020-12-25,0.008045
2020-12-28,0.024282
2020-12-29,0.013922
2020-12-30,0.002498
2020-12-31,0.016734
2021-01-04,0.008046
2021-01-05,0.019426
2021-01-06,-0.000766
2021-01-07,0.014984
2021-01-08,0.00444
2021-01-11,
2021-01-12,0.002781
2021-01-13,
2021-01-14,5e-05
2021-01-15,0.003469
2021-01-18,-0.011239
2021-01-19,0.001086
2021-01-20,7.3e-05
2021-01-21,0.002306
2021-01-22,0.008799
2021-01-25,-0.001731
2021-01-26,-0.024474
2021-01-27,0.003995
2021-01-28,0.015287
2021-01-29,
2021-02-01,
2021-02-02,-0.00481
2021-02-03,0.007631
2021-02-04,-0.026643
2021-02-05,-0.011972
2021-02-08,-0.006173
2021-02-09,
2021-02-10,
2021-02-18,0.00561
2021-02-19,0.003966
2021-02-22,0.001271
2021-02-23,0.008325
2021-02-24,0.006952
2021-02-25,0.013945
2021-02-26,-0.001617
2021-03-01,0.09463
2021-03-02,0.027751
2021-03-03,0.034488
2021-03-04,0.00324
2021-03-05,0.004163
2021-03-08,-0.022807
2021-03-09,0.003147
2021-03-10,0.028319
2021-03-11,0.031948
2021-03-12,0.013182
2021-03-15,0.017974
2021-03-16,-0.093502
2021-03-17,0.009713
2021-03-18,0.006952
2021-03-19,0.041626
2021-03-22,0.032607
2021-03-23,-0.032169
2021-03-24,0.006244
2021-03-25,0.025215
2021-03-26,0.004163
2021-03-29,0.054392
2021-03-30,0.004163
2021-03-31,0.013875
2021-04-01,0.131817
2021-04-02,0.013875
2021-04-06,0.118397
2021-04-07,0.006938
2021-04-08,0.059305
2021-04-09,0.012597
2021-04-12,0.131262
2021-04-13,0.062578
2021-04-14,0.006938
2021-04-15,0.031502
2021-04-16,0.015124
2021-04-19,0.007354
2021-04-20,-0.004169
2021-04-21,0.01221
2021-04-22,0.012726
2021-04-23,0.046899
2021-04-26,0.00351
2021-04-27,-0.01284
2021-04-28,0.009297
2021-04-29,0.042043
2021-04-30,0.014014
2021-05-06,0.003066
2021-05-07,0.014292
2021-05-10,0.000282
2021-05-11,0.025056
2021-05-12,0.017414
2021-05-13,0.006422
2021-05-14,0.026016
2021-05-17,0.009778
2021-05-18,0.019495
2021-05-19,0.012203
2021-05-20,0.00784
2021-05-21,0.020328
2021-05-24,0.019148
2021-05-25,0.003947
2021-05-26,-0.000698
2021-05-27,0.00555
2021-05-28,0.020813
2021-05-31,0.013182
2021-06-01,0.010407
2021-06-02,0.020034
2021-06-03,-0.025037
2021-06-04,0.010634
2021-06-07,-0.007774
2021-06-08,-0.028725
2021-06-09,-0.056285
2021-06-10,6.4e-05
2021-06-11,0.005756
2021-06-15,0.020813
2021-06-16,0.004159
2021-06-17,0.00898
2021-06-18,0.009713
2021-06-21,0.022899
2021-06-22,0.01228
2021-06-23,0.007829
2021-06-24,-0.01524
2021-06-25,0.051116
2021-06-28,-0.015887
2021-06-29,0.007451
2021-06-30,0.018333
2021-07-01,0.018072
2021-07-02,-0.026238
2021-07-05,0.022894
2021-07-06,0.002043
2021-07-07,0.112391
2021-07-08,0.197739
2021-07-09,0.031913
2021-07-12,0.056889
2021-07-13,0.018801
2021-07-14,0.050765
2021-07-15,0.025252
2021-07-16,0.073482
2021-07-19,0.03305
2021-07-20,0.031588
2021-07-21,0.06692
2021-07-22,0.059668
2021-07-23,0.029276
2021-07-26,-0.001697
2021-07-27,0.016651
2021-07-28,0.0558
2021-07-29,0.080081
2021-07-30,-0.009612
2021-08-02,-0.007722
2021-08-03,0.045207
2021-08-04,0.065017
2021-08-05,0.04192
2021-08-06,0.071817
2021-08-09,0.033805
2021-08-10,0.007876
2021-08-11,0.047379
2021-08-12,0.035074
2021-08-13,0.033239
2021-08-16,-0.00013
2021-08-17,0.015167
2021-08-18,0.031045
2021-08-19,0.135357
2021-08-20,0.083638
2021-08-23,0.00576
2021-08-24,0.024709
2021-08-25,0.038999
2021-08-26,-0.21781
2021-08-27,0.02983
2021-08-30,0.025844
2021-08-31,0.000624
2021-09-01,0.021483
2021-09-02,0.045949
2021-09-03,0.02231
2021-09-06,0.023962
2021-09-07,0.042175
2021-09-08,0.037841
2021-09-09,0.002721
2021-09-10,0.048124
2021-09-13,0.007368
2021-09-14,-0.038401
2021-09-15,0.000662
2021-09-16,0.119843
2021-09-17,0.04232
2021-09-22,0.209921
2021-09-23,0.023253
2021-09-24,0.044732
2021-09-27,0.02711
2021-09-28,0.033167
2021-09-29,0.028042
2021-09-30,0.024569
2021-10-08,-0.020562
2021-10-11,-0.053792
2021-10-12,-0.001899
2021-10-13,0.001455
2021-10-14,0.003817
2021-10-15,0.003053
2021-10-18,-0.022346
2021-10-19,-0.002556
2021-10-20,0.096834
2021-10-21,0.024282
2021-10-22,0.004406
2021-10-25,-0.006892
2021-10-26,0.003082
2021-10-27,0.023355
2021-10-28,0.006672
2021-10-29,0.107243
2021-11-01,0.010564
2021-11-02,0.054566
2021-11-03,0.058148
2021-11-04,0.015927
2021-11-05,0.066734
2021-11-08,0.026073
2021-11-09,0.006232
2021-11-10,0.000297
2021-11-11,0.060741
2021-11-12,0.033024
2021-11-15,0.019588
2021-11-16,0.017149
2021-11-17,0.113011
2021-11-18,0.179939
2021-11-19,0.025827
2021-11-22,0.000208
2021-11-23,0.032459
2021-11-24,0.1114
2021-11-25,0.105726
2021-11-26,0.027848
2021-11-29,0.000848
2021-11-30,0.009227
2021-12-01,0.044238
2021-12-02,0.017471
2021-12-03,0.035868
2021-12-06,0.083781
2021-12-07,0.201255
2021-12-08,0.026946
2021-12-09,0.203584
2021-12-10,0.058241
2021-12-13,0.009417
2021-12-14,0.00157
2021-12-15,0.008046
2021-12-16,0.238517
2021-12-17,0.093871
2021-12-20,0.028445
2021-12-21,-0.100219
2021-12-22,0.110935
2021-12-23,0.026121
2021-12-24,-0.011798
2021-12-27,0.030863
2021-12-28,-0.039241
2021-12-29,0.062007
2021-12-30,0.212835
2021-12-31,0.005048
2022-01-04,0.103491
2022-01-05,0.4036
2022-01-06,0.236468
2022-01-07,0.129296
2022-01-10,0.05137
2022-01-11,0.073763
2022-01-12,0.039009
2022-01-13,0.068683
2022-01-14,0.026571
2022-01-17,0.021501
2022-01-18,0.127551
2022-01-19,0.197612
2022-01-20,0.065187
2022-01-21,0.116809
2022-01-24,0.076459
2022-01-25,0.049848
2022-01-26,0.111864
2022-01-27,0.078853
2022-01-28,0.030248
2022-02-07,-0.063909
2022-02-08,0.06589
2022-02-09,0.156246
2022-02-10,0.633391
2022-02-11,0.096846
2022-02-14,-0.002862
2022-02-15,-0.038583
2022-02-16,0.112741
2022-02-17,0.086839
2022-02-18,0.15345
2022-02-21,-0.100967
2022-02-22,0.01325
2022-02-23,0.030582
2022-02-24,0.052904
2022-02-25,-0.023466
2022-02-28,-0.032958
2022-03-01,0.033057
2022-03-02,0.051908
2022-03-03,-0.048464
2022-03-04,-0.06149
2022-03-07,-0.118651
2022-03-08,-0.063099
2022-03-09,0.022651
2022-03-10,-0.057254
2022-03-11,-0.166337
2022-03-14,-0.015712
2022-03-15,-0.511292
2022-03-16,-0.247033
2022-03-17,0.022244
2022-03-18,-0.028692
2022-03-21,0.007029
2022-03-22,-0.112711
2022-03-23,-0.305388
2022-03-24,-0.076974
2022-03-25,-0.009434
2022-03-28,-0.060695
2022-03-29,-0.074593
2022-03-30,0.037641
2022-03-31,0.014014
2022-04-01,0.010477
2022-04-06,-0.001132
2022-04-07,0.090349
2022-04-08,0.011207
2022-04-11,-0.114352
2022-04-12,-0.045131
2022-04-13,0.012832
2022-04-14,0.042454
2022-04-15,0.040364
2022-04-18,-0.19649
2022-04-19,-0.087884
2022-04-20,0.00334
2022-04-21,0.029138
2022-04-22,-0.007927
2022-04-25,0.075466
2022-04-26,-0.020998
2022-04-27,0.053997
2022-04-28,0.020463
2022-04-29,0.002243
2022-05-05,-0.029398
2022-05-06,3e-06
2022-05-09,0.013503
2022-05-10,0.033379
2022-05-11,-0.006856
2022-05-12,0.002403
2022-05-13,0.058551
2022-05-16,0.044315
2022-05-17,-0.073153
2022-05-18,0.071992
2022-05-19,-0.001541
2022-05-20,0.032097
2022-05-23,0.09457
2022-05-24,0.012807
2022-05-25,0.074196
2022-05-26,0.029252
2022-05-27,0.013484
2022-05-30,-0.258956
2022-05-31,0.012981
2022-06-01,0.027033
2022-06-02,0.005305
2022-06-06,-0.059894
2022-06-07,-0.107134
2022-06-08,0.006694
2022-06-09,0.014755
2022-06-10,-0.067461
2022-06-13,-0.010623
2022-06-14,-0.153346
2022-06-15,-0.093322
2022-06-16,-0.096644
2022-06-17,0.14601
2022-06-20,-0.086221
2022-06-21,0.019541
2022-06-22,-0.06848
2022-06-23,0.049389
2022-06-24,-0.010092
2022-06-27,0.011916
2022-06-28,0.043355
2022-06-29,-0.029519
2022-06-30,0.022637
2022-07-01,-0.003043
2022-07-04,-0.046916
2022-07-05,0.058816
2022-07-06,-0.026212
2022-07-07,0.058681
2022-07-08,0.012264
2022-07-11,0.011577
2022-07-12,-0.026334
2022-07-13,0.087455
2022-07-14,0.040748
2022-07-15,0.027023
2022-07-18,-0.021113
2022-07-19,0.03284
2022-07-20,0.084215
2022-07-21,-0.006293
2022-07-22,0.001201
2022-07-25,0.009072
2022-07-26,0.112708
